date,course,round_key,side,hole_number,strokes,par,score_vs_par
2026-08-30,Howard D. Kellogg Golf Course - Championship Course,de2dbf4b70b94a8f,front,1,6,4,2
2026-08-30,Howard D. Kellogg Golf Course - Championship Course,de2dbf4b70b94a8f,front,2,10,5,5
2026-08-30,Howard D. Kellogg Golf Course - Championship Course,de2dbf4b70b94a8f,front,3,9,4,5
2026-08-30,Howard D. Kellogg Golf Course - Championship Course,de2dbf4b70b94a8f,front,4,4,3,1
2026-08-30,Howard D. Kellogg Golf Course - Championship Course,de2dbf4b70b94a8f,front,5,7,5,2
2026-08-30,Howard D. Kellogg Golf Course - Championship Course,de2dbf4b70b94a8f,front,6,8,4,4
2026-08-30,Howard D. Kellogg Golf Course - Championship Course,de2dbf4b70b94a8f,front,7,7,4,3
2026-08-30,Howard D. Kellogg Golf Course - Championship Course,de2dbf4b70b94a8f,front,8,7,3,4
2026-08-30,Howard D. Kellogg Golf Course - Championship Course,de2dbf4b70b94a8f,front,9,7,4,3
2026-08-30,Howard D. Kellogg Golf Course - Championship Course,de2dbf4b70b94a8f,back,10,5,4,1
2026-08-30,Howard D. Kellogg Golf Course - Championship Course,de2dbf4b70b94a8f,back,11,8,5,3
2026-08-30,Howard D. Kellogg Golf Course - Championship Course,de2dbf4b70b94a8f,back,12,4,3,1
2026-08-30,Howard D. Kellogg Golf Course - Championship Course,de2dbf4b70b94a8f,back,13,7,4,3
2026-08-30,Howard D. Kellogg Golf Course - Championship Course,de2dbf4b70b94a8f,back,14,6,4,2
2026-08-30,Howard D. Kellogg Golf Course - Championship Course,de2dbf4b70b94a8f,back,15,5,4,1
2026-08-30,Howard D. Kellogg Golf Course - Championship Course,de2dbf4b70b94a8f,back,16,4,3,1
2026-08-30,Howard D. Kellogg Golf Course - Championship Course,de2dbf4b70b94a8f,back,17,11,5,6
2026-08-30,Howard D. Kellogg Golf Course - Championship Course,de2dbf4b70b94a8f,back,18,5,4,1
