date,course,side,tee,score,par,score_vs_par,completed_holes_in_round,round_key
2026-06-11,Howard D. Kellogg Golf Course - Pitch & Putt,back,White,38,27,11,18,1a52dc2fb4f6c0c4
2026-06-11,Howard D. Kellogg Golf Course - Pitch & Putt,front,White,40,27,13,18,1a52dc2fb4f6c0c4
2025-10-03,Madison Golf Course,front,,48,35,13,18,18e2a1e66a89c08b
2025-10-03,Madison Golf Course,back,,49,34,15,18,18e2a1e66a89c08b
2026-08-22,Madison Golf Course,front,White,50,35,15,9,5a32b26f34b14ea3
2026-08-26,Madison Golf Course,front,White,50,35,15,9,86a424f216ca470d
2026-05-24,Howard D. Kellogg Golf Course - Championship Course,front,Red,51,36,15,9,4831aa4ad4c12fde
2025-09-06,Howard D. Kellogg Golf Course - Championship Course,front,,53,36,17,18,ef601ff15f38b7c0
2025-10-15,Quail Meadows Golf Club,back,,54,36,18,9,b7a04ef748bfca26
2025-11-01,Howard D. Kellogg Golf Course - Championship Course,front,,54,36,18,13,13ba51caf3ba0bc4
2026-05-20,Madison Golf Course,back,White,54,34,20,9,610ba6220bf6d476
2026-03-06,Newman Golf Course,front,White,55,36,19,18,c492d4628db89fdd
2026-02-15,Howard D. Kellogg Golf Course - Executive,front,White,55,34,21,9,27cf418da4438579
2026-08-17,Howard D. Kellogg Golf Course - Executive,front,White,55,34,21,9,bcb7dac1dbb043df
2025-10-17,Quail Meadows Golf Club,front,,56,36,20,9,43a4c4df25a7888a
2026-04-23,Newman Golf Course,front,White,56,36,20,18,8eea4c114d48467c
2026-05-05,Newman Golf Course,front,White,56,36,20,9,50bf96bd001618eb
2026-05-12,Newman Golf Course,back,White,56,36,20,9,06af624ffe1852ec
2026-08-28,Newman Golf Course,front,White,56,36,20,18,5e15f8b06b39958d
2026-08-28,Newman Golf Course,back,White,56,36,20,18,5e15f8b06b39958d
2025-09-14,Howard D. Kellogg Golf Course - Executive,front,White,56,34,22,9,62dc76d8ecd92eda
2026-02-13,Howard D. Kellogg Golf Course - Executive,front,White,56,34,22,9,4f90abd5dc161244
2026-07-20,Howard D. Kellogg Golf Course - Championship Course,front,Red,57,36,21,9,3cacf6dc5b997752
2026-04-03,Orange Beach Golf Center - Orange Beach,front,White,57,27,30,9,c9b2351f4ee0b0f6
2025-09-12,Newman Golf Course,front,,58,36,22,9,54117f620a5a0ecf
2026-04-23,Newman Golf Course,back,White,58,36,22,18,8eea4c114d48467c
2026-06-15,Newman Golf Course,back,,58,36,22,18,07f60cb633d6e45b
2026-07-22,Newman Golf Course,front,White,58,36,22,9,aa4d78ced538aa28
2025-09-28,Quail Meadows Golf Club,front,,59,36,23,9,2a2200b0ff5254c5
2026-06-15,Newman Golf Course,front,,59,36,23,18,07f60cb633d6e45b
2026-08-02,Newman Golf Course,back,White,59,36,23,18,34b16b12346c212f
2025-11-05,Newman Golf Course,front,,60,36,24,9,c35adb592f3ef7c4
2026-02-16,Newman Golf Course,front,Gold,60,36,24,9,d002f247bebc7965
2026-02-17,Newman Golf Course,front,Gold,60,36,24,9,4c0d929b1f8c53a9
2026-05-07,Newman Golf Course,back,White,60,36,24,17,863aee656a5c2242
2026-08-02,Newman Golf Course,front,White,60,36,24,18,34b16b12346c212f
2025-10-05,Newman Golf Course,front,,61,36,25,18,7d7753ec9dc6fde4
2025-10-10,Newman Golf Course,front,,61,36,25,9,b63088c12cf5afba
2026-02-24,Newman Golf Course,front,Gold,61,36,25,9,8993663b3a94589c
2026-08-19,Howard D. Kellogg Golf Course - Championship Course,front,White,61,36,25,9,9bf5e192ccd57107
2026-03-06,Newman Golf Course,back,White,62,36,26,18,c492d4628db89fdd
2026-08-23,Newman Golf Course,front,White,62,36,26,9,d776bd78847a2543
2026-04-25,Madison Golf Course,front,White,62,35,27,9,ddac14546aea7a2e
2025-10-12,Newman Golf Course,front,,64,36,28,18,94d6571d65a7ab16
2026-07-30,Newman Golf Course,front,White,64,36,28,9,2a06bc5e8b0fe384
2026-02-19,Newman Golf Course,back,Gold,65,36,29,9,7922c7e8feb01862
2025-09-06,Howard D. Kellogg Golf Course - Championship Course,back,,66,36,30,18,ef601ff15f38b7c0
2026-04-14,Newman Golf Course,front,White,66,36,30,18,508fecf3510e60b3
2025-10-05,Newman Golf Course,back,,67,36,31,18,7d7753ec9dc6fde4
2025-10-12,Newman Golf Course,back,,69,36,33,18,94d6571d65a7ab16
2026-04-14,Newman Golf Course,back,White,69,36,33,18,508fecf3510e60b3
2026-02-25,Newman Golf Course,back,White,73,36,37,9,67926527969ae145
2026-03-31,Isle Dauphine Golf Club,front,White,74,36,38,9,a9d4bda9d571a3d3
