date,course,round_key,side,hole_number,strokes,par,score_vs_par
2026-09-13,Newman Golf Course,50cb7a5e1e77aff0,front,1,7,4,3
2026-09-13,Newman Golf Course,50cb7a5e1e77aff0,front,2,4,3,1
2026-09-13,Newman Golf Course,50cb7a5e1e77aff0,front,3,6,5,1
2026-09-13,Newman Golf Course,50cb7a5e1e77aff0,front,4,7,4,3
2026-09-13,Newman Golf Course,50cb7a5e1e77aff0,front,5,6,4,2
2026-09-13,Newman Golf Course,50cb7a5e1e77aff0,front,6,3,3,0
2026-09-13,Newman Golf Course,50cb7a5e1e77aff0,front,7,6,4,2
2026-09-13,Newman Golf Course,50cb7a5e1e77aff0,front,8,8,4,4
2026-09-13,Newman Golf Course,50cb7a5e1e77aff0,front,9,7,5,2
2026-09-13,Newman Golf Course,50cb7a5e1e77aff0,back,10,6,4,2
2026-09-13,Newman Golf Course,50cb7a5e1e77aff0,back,11,7,4,3
2026-09-13,Newman Golf Course,50cb7a5e1e77aff0,back,12,4,3,1
2026-09-13,Newman Golf Course,50cb7a5e1e77aff0,back,13,9,4,5
2026-09-13,Newman Golf Course,50cb7a5e1e77aff0,back,14,5,4,1
2026-09-13,Newman Golf Course,50cb7a5e1e77aff0,back,15,5,3,2
2026-09-13,Newman Golf Course,50cb7a5e1e77aff0,back,16,8,5,3
2026-09-13,Newman Golf Course,50cb7a5e1e77aff0,back,17,8,5,3
2026-09-13,Newman Golf Course,50cb7a5e1e77aff0,back,18,7,4,3
