date,course,tee,completed_holes,round_key,gross_score,score_vs_par,putts,penalties,gir,gir_opportunities,gir_pct,fairways_hit,fairway_opportunities,fairway_pct,three_putts
2025-09-06,Howard D. Kellogg Golf Course - Championship Course,,18,ef601ff15f38b7c0,119,47,47,6,3,18,16.7,3,14,21.4,9
2025-09-12,Newman Golf Course,,9,54117f620a5a0ecf,58,22,20,2,1,9,11.1,0,7,0.0,3
2025-09-14,Howard D. Kellogg Golf Course - Executive,White,9,62dc76d8ecd92eda,56,22,21,2,0,9,0.0,4,7,57.1,3
2025-09-28,Quail Meadows Golf Club,,9,2a2200b0ff5254c5,59,23,19,1,1,9,11.1,3,7,42.9,3
2025-10-03,Madison Golf Course,,18,18e2a1e66a89c08b,97,28,36,2,4,18,22.2,2,14,14.3,5
2025-10-05,Newman Golf Course,,18,7d7753ec9dc6fde4,128,56,36,6,0,18,0.0,1,14,7.1,3
2025-10-10,Newman Golf Course,,9,b63088c12cf5afba,61,25,20,1,0,9,0.0,2,7,28.6,2
2025-10-12,Newman Golf Course,,18,94d6571d65a7ab16,133,61,36,0,0,18,0.0,0,14,0.0,0
2025-10-15,Quail Meadows Golf Club,,9,b7a04ef748bfca26,54,18,22,1,1,9,11.1,2,7,28.6,4
2025-10-17,Quail Meadows Golf Club,,9,43a4c4df25a7888a,56,20,19,1,1,9,11.1,0,7,0.0,1
2025-11-01,Howard D. Kellogg Golf Course - Championship Course,,13,13ba51caf3ba0bc4,79,28,30,2,2,13,15.4,7,10,70.0,4
2025-11-05,Newman Golf Course,,9,c35adb592f3ef7c4,60,24,18,2,0,9,0.0,0,7,0.0,1
2026-02-13,Howard D. Kellogg Golf Course - Executive,White,9,4f90abd5dc161244,56,22,22,1,0,9,0.0,2,7,28.6,4
2026-02-15,Howard D. Kellogg Golf Course - Executive,White,9,27cf418da4438579,55,21,20,1,1,9,11.1,1,7,14.3,2
2026-02-16,Newman Golf Course,Gold,9,d002f247bebc7965,60,24,21,1,0,9,0.0,1,7,14.3,4
2026-02-17,Newman Golf Course,Gold,9,4c0d929b1f8c53a9,60,24,18,1,0,9,0.0,0,7,0.0,2
2026-02-19,Newman Golf Course,Gold,9,7922c7e8feb01862,65,29,20,4,0,9,0.0,0,7,0.0,3
2026-02-24,Newman Golf Course,Gold,9,8993663b3a94589c,61,25,18,3,0,9,0.0,0,7,0.0,0
2026-02-25,Newman Golf Course,White,9,67926527969ae145,73,37,19,4,0,9,0.0,1,7,14.3,1
2026-03-06,Newman Golf Course,White,18,c492d4628db89fdd,117,45,38,4,0,18,0.0,7,14,50.0,3
2026-03-31,Isle Dauphine Golf Club,White,9,a9d4bda9d571a3d3,74,38,24,6,0,9,0.0,0,7,0.0,6
2026-04-03,Orange Beach Golf Center - Orange Beach,White,9,c9b2351f4ee0b0f6,57,30,18,0,0,9,0.0,0,0,,0
2026-04-14,Newman Golf Course,White,18,508fecf3510e60b3,135,63,37,8,0,18,0.0,4,14,28.6,3
2026-04-23,Newman Golf Course,White,18,8eea4c114d48467c,114,42,36,1,0,18,0.0,4,14,28.6,3
2026-04-25,Madison Golf Course,White,9,ddac14546aea7a2e,62,27,18,0,1,9,11.1,2,7,28.6,0
2026-05-05,Newman Golf Course,White,9,50bf96bd001618eb,56,20,20,0,0,9,0.0,0,7,0.0,4
2026-05-12,Newman Golf Course,White,9,06af624ffe1852ec,56,20,18,4,0,9,0.0,2,7,28.6,2
2026-05-20,Madison Golf Course,White,9,610ba6220bf6d476,54,20,20,0,1,9,11.1,4,7,57.1,3
2026-05-24,Howard D. Kellogg Golf Course - Championship Course,Red,9,4831aa4ad4c12fde,51,15,19,1,2,9,22.2,5,7,71.4,2
2026-06-15,Newman Golf Course,,18,07f60cb633d6e45b,117,45,35,5,1,18,5.6,5,14,35.7,2
2026-07-20,Howard D. Kellogg Golf Course - Championship Course,Red,9,3cacf6dc5b997752,57,21,25,3,1,9,11.1,1,7,14.3,5
2026-07-22,Newman Golf Course,White,9,aa4d78ced538aa28,58,22,17,7,0,9,0.0,0,7,0.0,1
2026-07-30,Newman Golf Course,White,9,2a06bc5e8b0fe384,64,28,17,5,0,9,0.0,1,7,14.3,1
2026-08-02,Newman Golf Course,White,18,34b16b12346c212f,119,47,41,6,0,18,0.0,4,14,28.6,5
2026-08-17,Howard D. Kellogg Golf Course - Executive,White,9,bcb7dac1dbb043df,55,21,25,2,1,9,11.1,4,7,57.1,6
2026-08-19,Howard D. Kellogg Golf Course - Championship Course,White,9,9bf5e192ccd57107,61,25,20,4,0,9,0.0,2,7,28.6,4
2026-08-22,Madison Golf Course,White,9,5a32b26f34b14ea3,50,15,20,0,1,9,11.1,1,7,14.3,2
2026-08-23,Newman Golf Course,White,9,d776bd78847a2543,62,26,22,1,0,9,0.0,2,7,28.6,4
2026-08-26,Madison Golf Course,White,9,86a424f216ca470d,50,15,17,1,1,9,11.1,3,7,42.9,2
2026-08-28,Newman Golf Course,White,18,5e15f8b06b39958d,112,40,36,7,1,18,5.6,7,14,50.0,2
