date,course,tee,completed_holes,round_key,gross_score,gross_over_par,adjusted_score_9,adjusted_score_18,rating,slope,penalties,penalties_per_9,penalties_per_18,putts,three_putts,fairways,fairways_left,fairways_right,sand_shots,score_differential,differential_type
2025-09-06,Howard D. Kellogg Golf Course - Championship Course,,18,ef601ff15f38b7c0,119,47,59.5,119.0,,,6,3.0,6.0,47,9,3,4,3,1,47.0,estimate_over_par
2025-09-12,Newman Golf Course,,9,54117f620a5a0ecf,58,22,58.0,116.0,,,2,2.0,4.0,20,3,0,0,0,1,,nine_hole
2025-09-14,Howard D. Kellogg Golf Course - Executive,White,9,62dc76d8ecd92eda,56,22,56.0,112.0,64.8,105,2,2.0,4.0,21,3,4,2,1,1,,nine_hole
2025-09-28,Quail Meadows Golf Club,,9,2a2200b0ff5254c5,59,23,59.0,118.0,,,1,1.0,2.0,19,3,3,2,1,0,,nine_hole
2025-10-03,Madison Golf Course,,18,18e2a1e66a89c08b,97,28,48.5,97.0,,,2,1.0,2.0,36,5,2,1,0,0,28.0,estimate_over_par
2025-10-05,Newman Golf Course,,18,7d7753ec9dc6fde4,128,56,64.0,128.0,,,6,3.0,6.0,36,3,1,5,6,1,56.0,estimate_over_par
2025-10-10,Newman Golf Course,,9,b63088c12cf5afba,61,25,61.0,122.0,,,1,1.0,2.0,20,2,2,1,3,1,,nine_hole
2025-10-12,Newman Golf Course,,18,94d6571d65a7ab16,133,61,66.5,133.0,,,0,0.0,0.0,36,0,0,0,0,0,61.0,estimate_over_par
2025-10-15,Quail Meadows Golf Club,,9,b7a04ef748bfca26,54,18,54.0,108.0,,,1,1.0,2.0,22,4,2,1,4,0,,nine_hole
2025-10-17,Quail Meadows Golf Club,,9,43a4c4df25a7888a,56,20,56.0,112.0,,,1,1.0,2.0,19,1,0,2,1,0,,nine_hole
2025-11-01,Howard D. Kellogg Golf Course - Championship Course,,13,13ba51caf3ba0bc4,79,28,54.7,109.4,,,2,1.38,2.77,30,4,7,2,0,0,,incomplete
2025-11-05,Newman Golf Course,,9,c35adb592f3ef7c4,60,24,60.0,120.0,,,2,2.0,4.0,18,1,0,4,3,1,,nine_hole
2026-02-13,Howard D. Kellogg Golf Course - Executive,White,9,4f90abd5dc161244,56,22,56.0,112.0,64.8,105,1,1.0,2.0,22,4,2,2,3,0,,nine_hole
2026-02-15,Howard D. Kellogg Golf Course - Executive,White,9,27cf418da4438579,55,21,55.0,110.0,64.8,105,1,1.0,2.0,20,2,1,4,2,0,,nine_hole
2026-02-16,Newman Golf Course,Gold,9,d002f247bebc7965,60,24,60.0,120.0,66.9,117,1,1.0,2.0,21,4,1,4,2,1,,nine_hole
2026-02-17,Newman Golf Course,Gold,9,4c0d929b1f8c53a9,60,24,60.0,120.0,66.9,117,1,1.0,2.0,18,2,0,3,4,1,,nine_hole
2026-02-19,Newman Golf Course,Gold,9,7922c7e8feb01862,65,29,65.0,130.0,66.9,117,4,4.0,8.0,20,3,0,4,2,1,,nine_hole
2026-02-24,Newman Golf Course,Gold,9,8993663b3a94589c,61,25,61.0,122.0,66.9,117,3,3.0,6.0,18,0,0,3,1,0,,nine_hole
2026-02-25,Newman Golf Course,White,9,67926527969ae145,73,37,73.0,146.0,70.9,127,4,4.0,8.0,19,1,1,1,4,2,,nine_hole
2026-02-27,Newman Golf Course,White,6,7cd43d51f26a7e12,38,15,57.0,114.0,70.9,127,1,1.5,3.0,11,0,2,0,2,0,,incomplete
2026-03-06,Newman Golf Course,White,18,c492d4628db89fdd,117,45,58.5,117.0,70.9,127,4,2.0,4.0,38,3,7,4,3,1,41.0,whs_18
2026-03-31,Isle Dauphine Golf Club,White,9,a9d4bda9d571a3d3,74,38,74.0,148.0,69.5,120,6,6.0,12.0,24,6,0,1,2,0,,nine_hole
