component,club,shots,sg_per_shot,sg_sum,avg_start_yards,avg_shot_yards,recent_shots,recent_sg_per_shot,delta_recent_vs_all
Approach,D,7,-0.3757,-2.6300,273.2857,136.4286,1.0000,-0.1100,0.2657
Approach,6i,16,-0.4344,-6.9500,188.6875,159.8125,6.0000,-0.4583,-0.0240
Approach,PW,21,-0.4481,-9.4100,128.7143,107.0476,4.0000,-0.4650,-0.0169
Approach,SW,102,-0.4994,-50.9400,93.6373,69.1078,22.0000,-0.4755,0.0240
Approach,5w,19,-0.5189,-9.8600,237.7895,141.4737,2.0000,-0.3800,0.1389
Approach,LW,7,-0.5229,-3.6600,64.5714,47.4286,2.0000,-0.5400,-0.0171
Approach,AW,25,-0.5304,-13.2600,107.1200,79.7200,7.0000,-0.5443,-0.0139
Approach,7i,36,-0.5336,-19.2100,173.9444,148.4444,9.0000,-0.5256,0.0080
Approach,8i,39,-0.5382,-20.9900,153.2821,131.1538,8.0000,-0.5438,-0.0056
Approach,9i,27,-0.5544,-14.9700,140.7037,117.9259,8.0000,-0.5813,-0.0268
Approach,7w,15,-0.5620,-8.4300,214.5333,170.7333,7.0000,-0.5414,0.0206
Approach,5h,54,-0.5778,-31.2000,201.2593,157.4259,12.0000,-0.5450,0.0328
Approach,3w,7,-0.6286,-4.4000,247.1429,164.1429,3.0000,-0.5700,0.0586
Driving,D,28,-0.5650,-15.8200,401.0357,236.6071,12.0000,-0.4730,0.0920
Putting,(unknown),647,-0.3113,-201.4300,16.1252,12.9104,111.0000,-0.2878,0.0235
Recovery,5h,4,-0.2250,-0.9000,204.2500,110.2500,1.0000,-0.8900,-0.6650
Recovery,7i,5,-0.2500,-1.2500,146.2000,97.8000,1.0000,-0.2100,0.0400
Recovery,SW,11,-0.3173,-3.4900,80.3636,45.0000,2.0000,-0.5150,-0.1977
Recovery,5w,3,-0.3200,-0.9600,221.0000,116.0000,1.0000,-0.9900,-0.6700
Recovery,8i,4,-0.3475,-1.3900,123.5000,77.2500,1.0000,-0.4300,-0.0825
Recovery,7w,3,-0.3533,-1.0600,171.3333,110.6667,1.0000,-0.4800,-0.1267
Recovery,AW,3,-0.3667,-1.1000,87.0000,52.6667,1.0000,-0.2100,0.1567
Recovery,PW,6,-0.3983,-2.3900,112.3333,63.1667,2.0000,-0.2600,0.1383
Recovery,9i,3,-0.4767,-1.4300,105.0000,66.3333,1.0000,-0.5100,-0.0333
Sand,SW,27,-0.4907,-13.2500,25.5926,20.1111,6.0000,-0.5317,-0.0409
Sand,LW,3,-0.7433,-2.2300,23.0000,17.3333,0.0000,,
Short game,LW,17,-0.3182,-5.4100,14.1765,11.1765,5.0000,-0.2340,0.0842
Short game,PW,12,-0.3333,-4.0000,25.9167,19.5000,3.0000,-0.2800,0.0533
Short game,AW,20,-0.3545,-7.0900,27.2500,18.3000,7.0000,-0.3214,0.0331
Short game,SW,237,-0.3958,-93.8000,28.3924,20.9325,65.0000,-0.3537,0.0421
Short game,8i,7,-0.4171,-2.9200,24.4286,14.0000,2.0000,-0.2650,0.1521
Short game,7i,8,-0.4425,-3.5400,24.5000,14.5000,2.0000,-0.3900,0.0525
Short game,9i,10,-0.4750,-4.7500,22.2000,15.5000,2.0000,-0.5000,-0.0250
Tee / layup,7w,23,-0.6061,-13.9400,198.9565,195.4348,9.0000,-0.4811,0.1250
Tee / layup,5w,12,-0.6208,-7.4500,220.3333,203.0833,4.0000,-0.4925,0.1283
Tee / layup,5h,70,-0.6670,-46.6900,196.0714,182.9571,15.0000,-0.6033,0.0637
Tee / layup,7i,31,-0.6958,-21.5700,173.4194,165.4516,7.0000,-0.6200,0.0758
Tee / layup,6i,18,-0.7017,-12.6300,186.6667,173.0556,5.0000,-0.6300,0.0717
Tee / layup,3w,10,-0.7170,-7.1700,228.8000,209.9000,3.0000,-0.6767,0.0403
Tee / layup,8i,8,-0.7288,-5.8300,158.6250,147.1250,1.0000,-0.7900,-0.0613
Tee / layup,9i,5,-0.7560,-3.7800,145.8000,135.2000,1.0000,-0.6900,0.0660
Tee / layup,AW,3,-0.7867,-2.3600,128.3333,106.0000,0.0000,,
Tee / layup,PW,4,-0.8200,-3.2800,137.2500,120.2500,0.0000,,
