date,course_name,completed_holes,component,shots,sg_sum,sg_per_shot,sg_per18,season_median_sg_per_shot,vs_season_median_per_shot
2025-09-14,Howard D. Kellogg Golf Course - Executive,9.0000,Approach,9,-4.8700,-0.5411,-9.7400,-0.5411,0.0000
2025-09-14,Howard D. Kellogg Golf Course - Executive,9.0000,Short game,15,-9.4200,-0.6280,-18.8400,-0.3900,-0.2380
2025-09-14,Howard D. Kellogg Golf Course - Executive,9.0000,Tee / layup,9,-6.3500,-0.7056,-12.7000,-0.7100,0.0044
2025-10-05,Newman Golf Course,18.0000,Approach,18,-10.2800,-0.5711,-10.2800,-0.5411,-0.0300
2025-10-05,Newman Golf Course,18.0000,Driving,2,-1.3900,-0.6950,-1.3900,-0.5650,-0.1300
2025-10-05,Newman Golf Course,18.0000,Putting,36,-16.7600,-0.4656,-16.7600,-0.3113,-0.1543
2025-10-05,Newman Golf Course,18.0000,Recovery,7,-4.1700,-0.5957,-4.1700,-0.3433,-0.2524
2025-10-05,Newman Golf Course,18.0000,Sand,1,-0.2100,-0.2100,-0.2100,-0.4150,0.2050
2025-10-05,Newman Golf Course,18.0000,Short game,24,-11.5200,-0.4800,-11.5200,-0.3900,-0.0900
2025-10-05,Newman Golf Course,18.0000,Tee / layup,17,-10.6800,-0.6282,-10.6800,-0.7100,0.0818
2025-10-10,Newman Golf Course,9.0000,Approach,13,-7.3800,-0.5677,-14.7600,-0.5411,-0.0266
2025-10-10,Newman Golf Course,9.0000,Putting,20,-7.7800,-0.3890,-15.5600,-0.3113,-0.0777
2025-10-10,Newman Golf Course,9.0000,Recovery,1,-0.5900,-0.5900,-1.1800,-0.3433,-0.2467
2025-10-10,Newman Golf Course,9.0000,Short game,10,-4.9700,-0.4970,-9.9400,-0.3900,-0.1070
2025-10-10,Newman Golf Course,9.0000,Tee / layup,8,-6.4300,-0.8037,-12.8600,-0.7100,-0.0937
2025-10-12,Newman Golf Course,18.0000,Approach,22,-13.0900,-0.5950,-13.0900,-0.5411,-0.0539
2025-10-12,Newman Golf Course,18.0000,Driving,2,-1.7700,-0.8850,-1.7700,-0.5650,-0.3200
2025-10-12,Newman Golf Course,18.0000,Putting,35,-18.8800,-0.5394,-18.8800,-0.3113,-0.2282
2025-10-12,Newman Golf Course,18.0000,Recovery,13,-7.1900,-0.5531,-7.1900,-0.3433,-0.2098
2025-10-12,Newman Golf Course,18.0000,Sand,1,-0.4400,-0.4400,-0.4400,-0.4150,-0.0250
2025-10-12,Newman Golf Course,18.0000,Short game,30,-14.4100,-0.4803,-14.4100,-0.3900,-0.0903
2025-10-12,Newman Golf Course,18.0000,Tee / layup,16,-13.6900,-0.8556,-13.6900,-0.7100,-0.1456
2025-10-15,Quail Meadows Golf Club,9.0000,Approach,11,-6.1800,-0.5618,-12.3600,-0.5411,-0.0207
2025-10-15,Quail Meadows Golf Club,9.0000,Putting,22,-8.1100,-0.3686,-16.2200,-0.3113,-0.0574
2025-10-15,Quail Meadows Golf Club,9.0000,Recovery,1,-0.0100,-0.0100,-0.0200,-0.3433,0.3333
2025-10-15,Quail Meadows Golf Club,9.0000,Sand,1,-0.5600,-0.5600,-1.1200,-0.4150,-0.1450
2025-10-15,Quail Meadows Golf Club,9.0000,Short game,13,-5.5600,-0.4277,-11.1200,-0.3900,-0.0377
2025-10-15,Quail Meadows Golf Club,9.0000,Tee / layup,7,-5.0000,-0.7143,-10.0000,-0.7100,-0.0043
2025-10-17,Quail Meadows Golf Club,9.0000,Approach,11,-6.6700,-0.6064,-13.3400,-0.5411,-0.0652
2025-10-17,Quail Meadows Golf Club,9.0000,Putting,19,-7.1500,-0.3763,-14.3000,-0.3113,-0.0650
2025-10-17,Quail Meadows Golf Club,9.0000,Recovery,3,-0.7000,-0.2333,-1.4000,-0.3433,0.1100
2025-10-17,Quail Meadows Golf Club,9.0000,Sand,1,-0.7800,-0.7800,-1.5600,-0.4150,-0.3650
2025-10-17,Quail Meadows Golf Club,9.0000,Short game,13,-4.6600,-0.3585,-9.3200,-0.3900,0.0315
