round_key,tee_shots,approach_shots,recovery_shots,chips,pitches,tracked_putts,short_game_holes,first_short_on_green,seven_iron_count,seven_iron_avg_yards,driver_tee_shots,driver_tee_penalties,non_putt_shots
06af624ffe1852ec,9,12,2,3,4,9,6,3,2,152.5,0,0,30
07f60cb633d6e45b,19,24,11,8,12,14,15,9,0,,4,0,74
13ba51caf3ba0bc4,4,1,0,0,0,0,0,0,0,,2,0,5
18e2a1e66a89c08b,1,0,0,0,0,0,0,0,0,,1,0,1
2a06bc5e8b0fe384,10,13,4,7,7,8,8,4,4,153.0,1,0,41
34b16b12346c212f,18,33,3,5,12,17,15,13,7,153.1,5,0,71
3cacf6dc5b997752,9,10,2,2,5,13,6,4,0,,6,2,28
43a4c4df25a7888a,1,0,0,0,0,0,0,0,0,,1,0,1
4831aa4ad4c12fde,9,14,1,0,6,10,6,5,0,,7,0,30
4c0d929b1f8c53a9,9,16,3,7,6,9,8,4,1,166.0,5,0,41
508fecf3510e60b3,18,31,14,11,10,6,15,9,4,156.0,0,0,84
50bf96bd001618eb,10,11,3,4,6,9,7,4,2,166.0,5,0,34
5a32b26f34b14ea3,9,12,3,1,4,15,5,4,2,155.5,6,0,29
610ba6220bf6d476,10,7,2,4,7,11,7,3,2,164.5,4,0,30
62dc76d8ecd92eda,9,9,0,7,8,0,9,4,6,171.5,0,0,33
67926527969ae145,10,12,10,6,7,9,8,6,0,,1,1,45
7922c7e8feb01862,10,16,1,5,9,11,8,3,1,141.0,2,0,41
7cd43d51f26a7e12,6,8,5,3,4,5,6,5,0,,0,0,26
7d7753ec9dc6fde4,4,4,0,0,1,0,1,1,0,,4,1,9
863aee656a5c2242,24,37,10,5,14,15,12,8,14,160.9,10,1,90
8993663b3a94589c,7,6,2,0,0,1,0,0,0,,3,0,15
8eea4c114d48467c,18,25,10,9,13,0,17,12,2,139.5,1,0,75
9bf5e192ccd57107,9,15,1,5,7,14,9,7,5,141.2,7,0,37
a9d4bda9d571a3d3,6,9,0,0,0,2,0,0,0,,0,0,15
aa4d78ced538aa28,9,14,3,2,5,3,5,3,1,131.0,7,3,33
b63088c12cf5afba,6,5,0,0,2,3,1,0,0,,3,0,13
bcb7dac1dbb043df,9,13,0,2,4,14,6,6,4,145.0,7,1,28
c492d4628db89fdd,20,30,5,6,14,14,13,8,6,158.0,2,0,75
d002f247bebc7965,5,2,0,4,2,2,3,2,0,,2,1,13
d776bd78847a2543,9,16,1,5,8,12,8,5,11,155.8,2,1,39
ddac14546aea7a2e,9,19,0,6,6,2,5,1,0,,4,0,40
ef601ff15f38b7c0,1,2,0,3,0,0,1,0,0,,0,0,6
