club,shots,carry_avg,carry_median,total_avg,ball_speed_avg,launch_avg,apex_avg,offline_abs_avg
3W,4,177.8,179.0,190.0,139.8,13.2,47.2,30.2
5H,4,161.0,161.5,168.2,127.5,17.5,62.5,31.2
5W,4,174.2,174.0,182.0,135.5,13.5,50.0,32.0
6I,4,143.0,143.5,148.2,119.2,18.8,66.2,33.2
7I,3,136.7,138.0,141.7,114.0,20.0,70.3,32.7
7W,4,158.2,159.0,165.8,126.8,15.2,56.0,24.5
8I,4,131.8,131.0,135.5,108.5,22.0,75.8,19.5
9I,4,107.2,106.5,108.5,89.2,23.8,70.8,44.0
AW,5,72.2,76.0,73.4,68.2,33.8,59.0,21.8
DR,4,195.8,195.5,214.8,139.8,12.0,42.0,53.5
LW,4,53.2,53.5,54.5,50.2,43.0,38.5,10.0
PW,12,74.6,77.0,76.8,67.8,32.1,54.4,28.9
SW,4,69.0,70.0,71.0,64.0,38.2,55.8,15.0
