session_id,date,source_image,club,shot_number,flat_carry_yd,total_yd,ball_speed_mph,launch_deg,apex_ft,landing_deg,curve_ft,curve_dir,offline_ft,offline_dir,notes,exclude_flag,offline_signed_ft,curve_signed_ft
toptracer_2026_05,5/3/26,IMG_7636.jpeg,PW,1,80.0,80.0,76.0,33.0,75.0,58.0,11.0,R,36.0,R,good wedge flight,False,36.0,11.0
toptracer_2026_05,5/3/26,IMG_7636.jpeg,PW,2,78.0,83.0,72.0,23.0,39.0,39.0,40.0,L,81.0,L,big pull/curve,False,-81.0,-40.0
toptracer_2026_05,5/3/26,IMG_7636.jpeg,PW,3,76.0,82.0,70.0,24.0,37.0,36.0,31.0,L,80.0,L,big pull/curve,False,-80.0,-31.0
toptracer_2026_05,5/3/26,IMG_7636.jpeg,PW,4,67.0,68.0,64.0,31.0,48.0,49.0,0.0,R,2.0,R,solid directional shot,False,2.0,0.0
toptracer_2026_05,5/3/26,IMG_7636.jpeg,PW,5,55.0,57.0,56.0,34.0,40.0,48.0,0.0,R,1.0,R,short but straight,False,1.0,0.0
toptracer_2026_05,5/3/26,IMG_7636.jpeg,PW,6,42.0,45.0,48.0,41.0,33.0,47.0,0.0,L,22.0,R,short high contact,False,22.0,-0.0
toptracer_2026_05,5/3/26,IMG_7636.jpeg,PW,7,35.0,71.0,66.0,7.0,4.0,9.0,5.0,R,52.0,R,thin/bladed,True,52.0,5.0
toptracer_2026_05,5/3/26,IMG_7636.jpeg,PW,8,55.0,57.0,55.0,41.0,46.0,50.0,2.0,L,20.0,R,short high contact,False,20.0,-2.0
toptracer_2026_05,5/3/26,IMG_7636.jpeg,PW,9,39.0,43.0,46.0,41.0,30.0,48.0,1.0,L,28.0,R,short high contact,False,28.0,-1.0
toptracer_2026_05,5/3/26,IMG_7637.jpeg,AW,1,76.0,76.0,70.0,38.0,71.0,53.0,7.0,L,6.0,R,solid,False,6.0,-7.0
toptracer_2026_05,5/3/26,IMG_7637.jpeg,AW,2,76.0,76.0,71.0,36.0,68.0,52.0,21.0,L,24.0,L,curve left,False,-24.0,-21.0
toptracer_2026_05,5/3/26,IMG_7637.jpeg,AW,3,70.0,71.0,69.0,38.0,68.0,55.0,3.0,L,6.0,R,solid,False,6.0,-3.0
toptracer_2026_05,5/3/26,IMG_7637.jpeg,AW,4,60.0,62.0,59.0,30.0,39.0,47.0,2.0,L,5.0,L,short,False,-5.0,-2.0
toptracer_2026_05,5/3/26,IMG_7637.jpeg,AW,5,79.0,82.0,72.0,27.0,49.0,43.0,24.0,L,68.0,L,big miss,False,-68.0,-24.0
toptracer_2026_05,5/3/26,IMG_7639.jpeg,9I,1,110.0,110.0,93.0,22.0,73.0,51.0,0.0,L,10.0,R,solid,False,10.0,-0.0
