session_id,date,source_image,club,shot_number,flat_carry_yd,total_yd,ball_speed_mph,launch_deg,apex_ft,landing_deg,curve_ft,curve_dir,offline_ft,offline_dir,notes,exclude_flag
toptracer_2026_05,5/3/26,IMG_7636.jpeg,PW,1,80,80,76,33,75,58,11,R,36,R,good wedge flight,FALSE
toptracer_2026_05,5/3/26,IMG_7636.jpeg,PW,2,78,83,72,23,39,39,40,L,81,L,big pull/curve,FALSE
toptracer_2026_05,5/3/26,IMG_7636.jpeg,PW,3,76,82,70,24,37,36,31,L,80,L,big pull/curve,FALSE
toptracer_2026_05,5/3/26,IMG_7636.jpeg,PW,4,67,68,64,31,48,49,0,R,2,R,solid directional shot,FALSE
toptracer_2026_05,5/3/26,IMG_7636.jpeg,PW,5,55,57,56,34,40,48,0,R,1,R,short but straight,FALSE
toptracer_2026_05,5/3/26,IMG_7636.jpeg,PW,6,42,45,48,41,33,47,0,L,22,R,short high contact,FALSE
toptracer_2026_05,5/3/26,IMG_7636.jpeg,PW,7,35,71,66,7,4,9,5,R,52,R,thin/bladed,TRUE
toptracer_2026_05,5/3/26,IMG_7636.jpeg,PW,8,55,57,55,41,46,50,2,L,20,R,short high contact,FALSE
toptracer_2026_05,5/3/26,IMG_7636.jpeg,PW,9,39,43,46,41,30,48,1,L,28,R,short high contact,FALSE
toptracer_2026_05,5/3/26,IMG_7637.jpeg,AW,1,76,76,70,38,71,53,7,L,6,R,solid,FALSE
toptracer_2026_05,5/3/26,IMG_7637.jpeg,AW,2,76,76,71,36,68,52,21,L,24,L,curve left,FALSE
toptracer_2026_05,5/3/26,IMG_7637.jpeg,AW,3,70,71,69,38,68,55,3,L,6,R,solid,FALSE
toptracer_2026_05,5/3/26,IMG_7637.jpeg,AW,4,60,62,59,30,39,47,2,L,5,L,short,FALSE
toptracer_2026_05,5/3/26,IMG_7637.jpeg,AW,5,79,82,72,27,49,43,24,L,68,L,big miss,FALSE
toptracer_2026_05,5/3/26,IMG_7639.jpeg,9I,1,110,110,93,22,73,51,0,L,10,R,solid,FALSE
toptracer_2026_05,5/3/26,IMG_7639.jpeg,9I,2,103,104,87,27,74,48,23,R,81,R,big right miss,FALSE
toptracer_2026_05,5/3/26,IMG_7639.jpeg,9I,3,115,115,92,26,86,51,0,L,19,R,solid,FALSE
toptracer_2026_05,5/3/26,IMG_7639.jpeg,9I,4,101,105,85,20,50,40,23,L,66,L,left miss,FALSE
toptracer_2026_05,5/3/26,IMG_7638.jpeg,PW,1,95,95,79,30,73,50,2,L,5,R,solid,FALSE
toptracer_2026_05,5/3/26,IMG_7638.jpeg,PW,2,108,110,85,27,76,46,18,R,52,R,right miss,FALSE
toptracer_2026_05,5/3/26,IMG_7638.jpeg,PW,3,102,103,82,29,77,48,0,L,8,R,solid,FALSE
toptracer_2026_05,5/3/26,IMG_7638.jpeg,PW,4,98,99,80,31,79,49,7,L,12,L,slight left,FALSE
toptracer_2026_05,5/3/26,IMG_7640.jpeg,8I,1,128,132,104,21,73,44,10,R,36,R,right miss,FALSE
toptracer_2026_05,5/3/26,IMG_7640.jpeg,8I,2,132,136,108,23,81,46,0,L,4,R,solid,FALSE
toptracer_2026_05,5/3/26,IMG_7640.jpeg,8I,3,137,140,113,20,70,40,14,L,28,L,left miss,FALSE
toptracer_2026_05,5/3/26,IMG_7640.jpeg,8I,4,130,134,109,24,79,47,3,R,10,R,solid,FALSE
toptracer_2026_05,5/3/26,IMG_7641.jpeg,7I,1,138,142,114,19,67,38,20,R,58,R,right miss,FALSE
toptracer_2026_05,5/3/26,IMG_7641.jpeg,7I,2,139,145,116,20,71,39,0,L,9,R,solid,FALSE
toptracer_2026_05,5/3/26,IMG_7641.jpeg,7I,3,14,52,70,4,2,7,12,R,226,R,top/thin,TRUE
toptracer_2026_05,5/3/26,IMG_7641.jpeg,7I,4,133,138,112,21,73,41,9,L,31,L,left miss,FALSE
toptracer_2026_05,5/3/26,IMG_7642.jpeg,6I,1,142,147,118,18,64,36,0,L,12,R,solid,FALSE
toptracer_2026_05,5/3/26,IMG_7642.jpeg,6I,2,145,150,121,19,67,37,16,R,48,R,right miss,FALSE
toptracer_2026_05,5/3/26,IMG_7642.jpeg,6I,3,146,152,122,18,65,36,5,L,18,L,solid,FALSE
toptracer_2026_05,5/3/26,IMG_7642.jpeg,6I,4,139,144,116,20,69,39,20,L,55,L,left miss,FALSE
toptracer_2026_05,5/3/26,IMG_7643.jpeg,5H,1,161,168,127,17,61,34,0,L,14,R,solid,FALSE
