organ,to_date,year,transplants
Intestine-Pancreas,199,1988,0
Intestine-Pancreas,199,1989,0
Intestine-Pancreas,199,1990,0
Intestine-Pancreas,199,1991,0
Intestine-Pancreas,199,1992,0
Intestine-Pancreas,199,1993,1
Intestine-Pancreas,199,1994,0
Intestine-Pancreas,199,1995,1
Intestine-Pancreas,199,1996,0
Intestine-Pancreas,199,1997,1
Intestine-Pancreas,199,1998,0
Intestine-Pancreas,199,1999,4
Intestine-Pancreas,199,2000,5
Intestine-Pancreas,199,2001,6
Intestine-Pancreas,199,2002,7
Intestine-Pancreas,199,2003,9
Intestine-Pancreas,199,2004,5
Intestine-Pancreas,199,2005,17
Intestine-Pancreas,199,2006,9
Intestine-Pancreas,199,2007,4
Intestine-Pancreas,199,2008,10
Intestine-Pancreas,199,2009,9
Intestine-Pancreas,199,2010,18
Intestine-Pancreas,199,2011,12
Intestine-Pancreas,199,2012,6
Intestine-Pancreas,199,2013,5
Intestine-Pancreas,199,2014,8
Intestine-Pancreas,199,2015,9
Intestine-Pancreas,199,2016,8
Intestine-Pancreas,199,2017,3
Intestine-Pancreas,199,2018,4
Intestine-Pancreas,199,2019,5
Intestine-Pancreas,199,2020,6
Intestine-Pancreas,199,2021,7
Intestine-Pancreas,199,2022,3
Intestine-Pancreas,199,2023,8
Intestine-Pancreas,199,2024,3
Intestine-Pancreas,199,2025,6
Intestine-Pancreas,199,2026,0
Kidney-Heart,4206,1988,3
Kidney-Heart,4206,1989,5
Kidney-Heart,4206,1990,12
Kidney-Heart,4206,1991,5
Kidney-Heart,4206,1992,9
Kidney-Heart,4206,1993,17
Kidney-Heart,4206,1994,19
Kidney-Heart,4206,1995,12
Kidney-Heart,4206,1996,21
Kidney-Heart,4206,1997,20
Kidney-Heart,4206,1998,35
Kidney-Heart,4206,1999,26
Kidney-Heart,4206,2000,29
Kidney-Heart,4206,2001,26
Kidney-Heart,4206,2002,40
Kidney-Heart,4206,2003,29
Kidney-Heart,4206,2004,46
Kidney-Heart,4206,2005,57
Kidney-Heart,4206,2006,40
Kidney-Heart,4206,2007,56
Kidney-Heart,4206,2008,66
Kidney-Heart,4206,2009,60
Kidney-Heart,4206,2010,60
Kidney-Heart,4206,2011,72
Kidney-Heart,4206,2012,78
Kidney-Heart,4206,2013,85
Kidney-Heart,4206,2014,104
Kidney-Heart,4206,2015,141
Kidney-Heart,4206,2016,140
Kidney-Heart,4206,2017,187
Kidney-Heart,4206,2018,203
Kidney-Heart,4206,2019,219
Kidney-Heart,4206,2020,290
Kidney-Heart,4206,2021,350
Kidney-Heart,4206,2022,389
Kidney-Heart,4206,2023,422
Kidney-Heart,4206,2024,373
Kidney-Heart,4206,2025,361
Kidney-Heart,4206,2026,99
Kidney-Heart-Lung,16,1988,0
Kidney-Heart-Lung,16,1989,0
Kidney-Heart-Lung,16,1990,0
Kidney-Heart-Lung,16,1991,0
Kidney-Heart-Lung,16,1992,0
Kidney-Heart-Lung,16,1993,0
Kidney-Heart-Lung,16,1994,0
Kidney-Heart-Lung,16,1995,0
Kidney-Heart-Lung,16,1996,0
Kidney-Heart-Lung,16,1997,0
Kidney-Heart-Lung,16,1998,0
Kidney-Heart-Lung,16,1999,0
Kidney-Heart-Lung,16,2000,0
Kidney-Heart-Lung,16,2001,0
Kidney-Heart-Lung,16,2002,0
Kidney-Heart-Lung,16,2003,0
Kidney-Heart-Lung,16,2004,1
Kidney-Heart-Lung,16,2005,0
Kidney-Heart-Lung,16,2006,0
Kidney-Heart-Lung,16,2007,0
Kidney-Heart-Lung,16,2008,0
Kidney-Heart-Lung,16,2009,1
Kidney-Heart-Lung,16,2010,0
Kidney-Heart-Lung,16,2011,1
Kidney-Heart-Lung,16,2012,0
Kidney-Heart-Lung,16,2013,0
Kidney-Heart-Lung,16,2014,1
Kidney-Heart-Lung,16,2015,0
Kidney-Heart-Lung,16,2016,0
Kidney-Heart-Lung,16,2017,2
Kidney-Heart-Lung,16,2018,2
Kidney-Heart-Lung,16,2019,1
Kidney-Heart-Lung,16,2020,1
Kidney-Heart-Lung,16,2021,0
Kidney-Heart-Lung,16,2022,3
Kidney-Heart-Lung,16,2023,0
Kidney-Heart-Lung,16,2024,2
Kidney-Heart-Lung,16,2025,1
Kidney-Heart-Lung,16,2026,0
Kidney-Intestine,56,1988,0
Kidney-Intestine,56,1989,0
Kidney-Intestine,56,1990,0
Kidney-Intestine,56,1991,0
Kidney-Intestine,56,1992,0
Kidney-Intestine,56,1993,0
Kidney-Intestine,56,1994,1
Kidney-Intestine,56,1995,1
Kidney-Intestine,56,1996,0
Kidney-Intestine,56,1997,1
Kidney-Intestine,56,1998,0
Kidney-Intestine,56,1999,0
Kidney-Intestine,56,2000,0
Kidney-Intestine,56,2001,0
Kidney-Intestine,56,2002,1
Kidney-Intestine,56,2003,1
Kidney-Intestine,56,2004,0
Kidney-Intestine,56,2005,2
Kidney-Intestine,56,2006,1
Kidney-Intestine,56,2007,2
Kidney-Intestine,56,2008,1
Kidney-Intestine,56,2009,5
Kidney-Intestine,56,2010,4
Kidney-Intestine,56,2011,1
Kidney-Intestine,56,2012,1
Kidney-Intestine,56,2013,1
Kidney-Intestine,56,2014,2
Kidney-Intestine,56,2015,2
Kidney-Intestine,56,2016,5
Kidney-Intestine,56,2017,1
Kidney-Intestine,56,2018,2
Kidney-Intestine,56,2019,3
Kidney-Intestine,56,2020,2
Kidney-Intestine,56,2021,1
Kidney-Intestine,56,2022,3
Kidney-Intestine,56,2023,3
Kidney-Intestine,56,2024,5
Kidney-Intestine,56,2025,3
Kidney-Intestine,56,2026,1
Kidney-Intestine-Pancreas,8,1988,0
Kidney-Intestine-Pancreas,8,1989,0
Kidney-Intestine-Pancreas,8,1990,0
Kidney-Intestine-Pancreas,8,1991,0
Kidney-Intestine-Pancreas,8,1992,0
Kidney-Intestine-Pancreas,8,1993,0
Kidney-Intestine-Pancreas,8,1994,0
Kidney-Intestine-Pancreas,8,1995,0
Kidney-Intestine-Pancreas,8,1996,0
