donor_type,organ,to_date,year,transplants
All Donor Types,All Organs,1077213,1988,12623
All Donor Types,All Organs,1077213,1989,13140
All Donor Types,All Organs,1077213,1990,15001
All Donor Types,All Organs,1077213,1991,15756
All Donor Types,All Organs,1077213,1992,16134
All Donor Types,All Organs,1077213,1993,17631
All Donor Types,All Organs,1077213,1994,18299
All Donor Types,All Organs,1077213,1995,19396
All Donor Types,All Organs,1077213,1996,19765
All Donor Types,All Organs,1077213,1997,20316
All Donor Types,All Organs,1077213,1998,21526
All Donor Types,All Organs,1077213,1999,22030
All Donor Types,All Organs,1077213,2000,23274
All Donor Types,All Organs,1077213,2001,24243
All Donor Types,All Organs,1077213,2002,24916
All Donor Types,All Organs,1077213,2003,25475
All Donor Types,All Organs,1077213,2004,27042
All Donor Types,All Organs,1077213,2005,28119
All Donor Types,All Organs,1077213,2006,28941
All Donor Types,All Organs,1077213,2007,28366
All Donor Types,All Organs,1077213,2008,27967
All Donor Types,All Organs,1077213,2009,28463
All Donor Types,All Organs,1077213,2010,28668
All Donor Types,All Organs,1077213,2011,28553
All Donor Types,All Organs,1077213,2012,28059
All Donor Types,All Organs,1077213,2013,28956
All Donor Types,All Organs,1077213,2014,29540
All Donor Types,All Organs,1077213,2015,30974
All Donor Types,All Organs,1077213,2016,33610
All Donor Types,All Organs,1077213,2017,34770
All Donor Types,All Organs,1077213,2018,36530
All Donor Types,All Organs,1077213,2019,39719
All Donor Types,All Organs,1077213,2020,39036
All Donor Types,All Organs,1077213,2021,41356
All Donor Types,All Organs,1077213,2022,42889
All Donor Types,All Organs,1077213,2023,46634
All Donor Types,All Organs,1077213,2024,48150
All Donor Types,All Organs,1077213,2025,49065
All Donor Types,All Organs,1077213,2026,12281
All Donor Types,Heart,102252,1988,1676
All Donor Types,Heart,102252,1989,1705
All Donor Types,Heart,102252,1990,2107
All Donor Types,Heart,102252,1991,2127
All Donor Types,Heart,102252,1992,2170
All Donor Types,Heart,102252,1993,2297
All Donor Types,Heart,102252,1994,2340
All Donor Types,Heart,102252,1995,2363
All Donor Types,Heart,102252,1996,2343
All Donor Types,Heart,102252,1997,2293
All Donor Types,Heart,102252,1998,2348
All Donor Types,Heart,102252,1999,2188
All Donor Types,Heart,102252,2000,2199
All Donor Types,Heart,102252,2001,2202
All Donor Types,Heart,102252,2002,2155
All Donor Types,Heart,102252,2003,2057
All Donor Types,Heart,102252,2004,2015
All Donor Types,Heart,102252,2005,2125
All Donor Types,Heart,102252,2006,2193
All Donor Types,Heart,102252,2007,2209
All Donor Types,Heart,102252,2008,2163
All Donor Types,Heart,102252,2009,2212
All Donor Types,Heart,102252,2010,2332
All Donor Types,Heart,102252,2011,2322
All Donor Types,Heart,102252,2012,2378
All Donor Types,Heart,102252,2013,2531
All Donor Types,Heart,102252,2014,2655
All Donor Types,Heart,102252,2015,2804
All Donor Types,Heart,102252,2016,3191
All Donor Types,Heart,102252,2017,3244
All Donor Types,Heart,102252,2018,3408
All Donor Types,Heart,102252,2019,3552
All Donor Types,Heart,102252,2020,3658
