,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,VCA - abdominal wall,VCA - head and neck,VCA - other genitourinary organ,VCA - upper limb,VCA - uterus
All Diagnosis,,"121,601","103,928","8,970",844,"2,502","4,104","1,043",29,172,1,2,1,2,3
Abca3 Transporter Mutation,,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Ahn: Type B- Hbsag+,,10,0,10,0,0,0,0,0,0,0,0,0,0,0
Dilated Myopathy: Post Partum,,37,0,0,0,0,37,0,0,0,0,0,0,0,0
Drug Related Interstitial Nephritis,,144,144,0,0,0,0,0,0,0,0,0,0,0,0
Eisenmenger'S Syn: Atrial Septal Defect,,2,0,0,0,0,0,1,1,0,0,0,0,0,0
Eisenmenger'S Syn: Multi Congenital Anomalies,,2,0,0,0,0,0,1,1,0,0,0,0,0,0
Ahn: Type C,,3,0,3,0,0,0,0,0,0,0,0,0,0,0
Fabry'S Disease,,48,48,0,0,0,0,0,0,0,0,0,0,0,0
Familial Cholestasis: Byler'S Disease,,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Familial Cholestasis: Other Specify,,7,0,7,0,0,0,0,0,0,0,0,0,0,0
Familial Nephropathy,,28,28,0,0,0,0,0,0,0,0,0,0,0,0
Fbp: Hirschsprung'S Disease,,4,0,0,0,0,0,0,0,4,0,0,0,0,0
Fbp: Microvillous Inclusion Disease,,2,0,0,0,0,0,0,0,2,0,0,0,0,0
Fbp: Other Specify,,2,0,0,0,0,0,0,0,2,0,0,0,0,0
Fbp: Pseudo-Obstruction-Myopathic,,2,0,0,0,0,0,0,0,2,0,0,0,0,0
Fbp: Pseudo-Obstruction-Neuropathic,,6,0,0,0,0,0,0,0,6,0,0,0,0,0
Fbp: Unspecified,,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Focal Glomerular Sclerosis (Focal Segmental -. Fs,,"4,732","4,728",0,1,3,0,0,0,0,0,0,0,0,0
Goodpasture'S Syndrome,,87,87,0,0,0,0,0,0,0,0,0,0,0,0
Gout,,8,8,0,0,0,0,0,0,0,0,0,0,0,0
Alcoholic Cirrhosis,,253,0,253,0,0,0,0,0,0,0,0,0,0,0
Graft Failure,,98,0,98,0,0,0,0,0,0,0,0,0,0,0
Graft Failure,,5,0,0,0,0,0,0,0,5,0,0,0,0,0
Granulomatous Lung Disease,,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Heart Re-Tx/Gf: Acute Rejection,,2,0,0,0,0,2,0,0,0,0,0,0,0,0
Heart Re-Tx/Gf: Chronic Rejection,,13,0,0,0,0,13,0,0,0,0,0,0,0,0
Heart Re-Tx/Gf: Coronary Artery Disease,,91,0,0,0,0,91,0,0,0,0,0,0,0,0
Heart Re-Tx/Gf: Non-Specific,,6,0,0,0,0,6,0,0,0,0,0,0,0,0
Alcoholic Cirrhosis With Hepatitis C,,12,0,12,0,0,0,0,0,0,0,0,0,0,0
Heart Re-Tx/Gf: Other Specify,,11,0,0,0,0,11,0,0,0,0,0,0,0,0
Heart Re-Tx/Gf: Primary Failure,,2,0,0,0,0,2,0,0,0,0,0,0,0,0
Heart Re-Tx/Gf: Restrictive/Constrictive,,8,0,0,0,0,8,0,0,0,0,0,0,0,0
Hemolytic Uremic Syndrome,,169,168,0,0,1,0,0,0,0,0,0,0,0,0
Henoch-Schoenlein Purpura,,22,22,0,0,0,0,0,0,0,0,0,0,0,0
Hepatorenal Syndrome,,768,768,0,0,0,0,0,0,0,0,0,0,0,0
Hermansky Pudlak Syndrome,,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Heroin Nephrotoxicity,,5,5,0,0,0,0,0,0,0,0,0,0,0,0
Alpha -. 1. -. Antitrypsin Deficiency,,15,0,0,0,0,0,15,0,0,0,0,0,0,0
Hiv Nephropathy,,267,267,0,0,0,0,0,0,0,0,0,0,0,0
Hypersensitivity Pneumonitis,,56,0,0,0,0,0,56,0,0,0,0,0,0,0
Hypertensive Nephrosclerosis,,"17,993","17,947",0,2,44,0,0,0,0,0,0,0,0,0
Hypertrophic Cardiomyopathy,,150,0,0,0,0,150,0,0,0,0,0,0,0,0
Hypoplasia/Dysplasia/Dysgensis/Agenesis,,544,544,0,0,0,0,0,0,0,0,0,0,0,0
Idio/Post-Inf Crescentic Glomerulonephri,,91,91,0,0,0,0,0,0,0,0,0,0,0,0
Iga Nephropathy,,"4,345","4,336",0,1,8,0,0,0,0,0,0,0,0,0
Alport'S Syndrome,,602,602,0,0,0,0,0,0,0,0,0,0,0,0
Iip: Boop/Cop,,2,0,0,0,0,0,2,0,0,0,0,0,0,0
Iip: Idiopathic Pulmonary Fibrosis (Ipf),,250,0,0,0,0,0,248,2,0,0,0,0,0,0
Iip: Nonspecific Interstitial Pneumonia,,39,0,0,0,0,0,39,0,0,0,0,0,0,0
Incidental Carcinoma,,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Intestinal Disease Other Specify,,6,0,0,0,0,0,0,0,6,0,0,0,0,0
Lithium Toxicity,,441,441,0,0,0,0,0,0,0,0,0,0,0,0
Lung Re-Tx/Gf: Non-Specific,,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Lung Re-Tx/Gf: Obliterative Bronchiolitis-Obstruc,,27,0,0,0,0,0,27,0,0,0,0,0,0,0
Lung Re-Tx/Gf: Obliterative Bronchiolitis-Restric,,5,0,0,0,0,0,5,0,0,0,0,0,0,0
Lung Re-Tx/Gf: Obstructive,,6,0,0,0,0,0,6,0,0,0,0,0,0,0
Lung Re-Tx/Gf: Other Specify,,3,0,0,0,0,0,3,0,0,0,0,0,0,0
Lung Re-Tx/Gf: Primary Graft Failure,,2,0,0,0,0,0,2,0,0,0,0,0,0,0
Lung Re-Tx/Gf: Restrictive,,3,0,0,0,0,0,3,0,0,0,0,0,0,0
Lupus,,2,0,0,0,0,0,2,0,0,0,0,0,0,0
Lymphangioleiomyomatosis,,4,0,0,0,0,0,3,1,0,0,0,0,0,0
Lymphoma,,7,7,0,0,0,0,0,0,0,0,0,0,0,0
