			To Date	2026	2025	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988
All Donor Types	All Organs		"1,077,213"	"12,281"	"49,065"	"48,150"	"46,634"	"42,889"	"41,356"	"39,036"	"39,719"	"36,530"	"34,770"	"33,610"	"30,974"	"29,540"	"28,956"	"28,059"	"28,553"	"28,668"	"28,463"	"27,967"	"28,366"	"28,941"	"28,119"	"27,042"	"25,475"	"24,916"	"24,243"	"23,274"	"22,030"	"21,526"	"20,316"	"19,765"	"19,396"	"18,299"	"17,631"	"16,134"	"15,756"	"15,001"	"13,140"	"12,623"
	Kidney		"632,312"	"6,898"	"27,574"	"27,760"	"27,332"	"25,500"	"24,670"	"22,817"	"23,401"	"21,167"	"19,849"	"19,060"	"17,878"	"17,108"	"16,896"	"16,487"	"16,816"	"16,900"	"16,829"	"16,521"	"16,634"	"17,095"	"16,485"	"16,007"	"15,138"	"14,781"	"14,279"	"13,631"	"12,767"	"12,455"	"11,710"	"11,411"	"11,084"	"10,646"	"10,360"	"9,738"	"9,678"	"9,416"	"8,656"	"8,878"
	Liver		"238,466"	"3,265"	"12,344"	"11,458"	"10,659"	"9,528"	"9,236"	"8,906"	"8,896"	"8,250"	"8,082"	"7,841"	"7,127"	"6,730"	"6,455"	"6,256"	"6,342"	"6,291"	"6,320"	"6,319"	"6,494"	"6,651"	"6,444"	"6,171"	"5,673"	"5,332"	"5,195"	"5,001"	"4,757"	"4,519"	"4,189"	"4,087"	"3,934"	"3,652"	"3,440"	"3,064"	"2,953"	"2,690"	"2,202"	"1,713"
	Pancreas		"9,624"	21	107	114	102	108	143	135	143	192	213	215	228	245	256	242	287	349	375	434	468	466	542	603	504	555	473	439	359	245	210	164	109	95	112	64	78	69	82	78
	Kidney / Pancreas		"29,596"	172	804	733	812	810	820	827	872	835	789	798	719	709	762	801	795	828	854	837	864	924	903	881	871	906	891	915	941	972	852	861	919	748	661	493	452	459	335	171
	Heart		"102,252"	"1,057"	"4,587"	"4,572"	"4,545"	"4,111"	"3,818"	"3,658"	"3,552"	"3,408"	"3,244"	"3,191"	"2,804"	"2,655"	"2,531"	"2,378"	"2,322"	"2,332"	"2,212"	"2,163"	"2,209"	"2,193"	"2,125"	"2,015"	"2,057"	"2,155"	"2,202"	"2,199"	"2,188"	"2,348"	"2,293"	"2,343"	"2,363"	"2,340"	"2,297"	"2,170"	"2,127"	"2,107"	"1,705"	"1,676"
	Lung		"59,511"	854	"3,490"	"3,340"	"3,026"	"2,692"	"2,524"	"2,539"	"2,714"	"2,530"	"2,449"	"2,327"	"2,057"	"1,925"	"1,923"	"1,754"	"1,822"	"1,769"	"1,661"	"1,478"	"1,468"	"1,405"	"1,406"	"1,172"	"1,085"	"1,042"	"1,059"	959	893	869	932	815	872	724	667	535	405	203	93	33
	Heart / Lung		"1,641"	3	61	64	54	51	45	58	45	32	29	18	15	24	23	29	27	42	29	27	31	31	35	40	29	33	27	48	51	47	62	39	69	71	60	48	51	52	67	74
	Intestine		"3,655"	7	88	97	95	82	96	91	81	104	109	147	141	139	109	106	129	151	179	185	198	175	178	152	116	107	113	82	73	70	68	45	46	23	34	22	12	5	0	0
	VCA - abdominal wall		22	0	0	0	0	2	0	0	0	1	0	0	1	0	0	1	4	0	1	0	0	0	1	1	2	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0
	VCA - external male genitalia		2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	VCA - head and neck		25	0	0	2	1	0	1	2	1	2	1	1	2	3	1	1	3	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
	VCA - other genitourinary organ		2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	VCA - upper limb		38	0	0	1	0	0	1	1	2	1	1	5	2	2	0	4	6	5	2	2	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
	VCA - uterus		67	3	9	9	8	5	2	2	12	7	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Deceased Donor	All Organs		"869,225"	"10,373"	"41,826"	"41,119"	"39,679"	"36,421"	"34,814"	"33,310"	"32,322"	"29,681"	"28,588"	"27,630"	"24,985"	"23,721"	"22,968"	"22,193"	"22,531"	"22,107"	"21,854"	"21,749"	"22,053"	"22,208"	"21,214"	"20,050"	"18,661"	"18,297"	"17,645"	"17,335"	"17,011"	"16,980"	"16,266"	"15,983"	"15,921"	"15,211"	"14,733"	"13,563"	"13,329"	"12,878"	"11,222"	"10,794"
	Kidney		"435,931"	"5,196"	"21,052"	"21,341"	"21,042"	"19,636"	"18,699"	"17,583"	"16,534"	"14,725"	"14,038"	"13,431"	"12,250"	"11,570"	"11,163"	"10,868"	"11,043"	"10,622"	"10,442"	"10,553"	"10,591"	"10,660"	"9,913"	"9,359"	"8,668"	"8,540"	"8,234"	"8,126"	"8,044"	"8,034"	"7,777"	"7,732"	"7,695"	"7,639"	"7,509"	"7,204"	"7,282"	"7,322"	"6,753"	"7,061"
	Liver		"227,319"	"3,062"	"11,635"	"10,854"	"10,001"	"8,925"	"8,667"	"8,415"	"8,372"	"7,849"	"7,715"	"7,496"	"6,768"	"6,450"	"6,203"	"6,010"	"6,095"	"6,009"	"6,101"	"6,070"	"6,228"	"6,363"	"6,121"	"5,848"	"5,351"	"4,969"	"4,671"	"4,595"	"4,499"	"4,427"	"4,101"	"4,022"	"3,880"	"3,592"	"3,404"	"3,031"	"2,931"	"2,676"	"2,200"	"1,713"
	Pancreas		"9,600"	21	107	114	102	108	143	135	143	192	213	215	228	245	256	242	287	349	375	433	468	466	541	603	504	554	472	438	359	245	210	163	108	95	110	61	77	67	78	73
	Kidney / Pancreas		"29,548"	172	804	733	812	810	820	827	872	835	789	798	719	709	761	801	795	828	854	837	864	923	902	881	868	906	888	909	934	970	846	851	913	746	661	493	452	459	335	171
	Heart		"102,209"	"1,057"	"4,587"	"4,572"	"4,545"	"4,111"	"3,818"	"3,658"	"3,552"	"3,408"	"3,242"	"3,190"	"2,804"	"2,655"	"2,531"	"2,378"	"2,322"	"2,332"	"2,212"	"2,163"	"2,209"	"2,192"	"2,125"	"2,015"	"2,057"	"2,155"	"2,202"	"2,199"	"2,188"	"2,348"	"2,293"	"2,342"	"2,363"	"2,337"	"2,295"	"2,169"	"2,123"	"2,095"	"1,696"	"1,669"
	Lung		"59,258"	854	"3,490"	"3,340"	"3,026"	"2,692"	"2,524"	"2,539"	"2,714"	"2,530"	"2,449"	"2,327"	"2,057"	"1,925"	"1,922"	"1,753"	"1,821"	"1,769"	"1,660"	"1,478"	"1,465"	"1,401"	"1,405"	"1,157"	"1,070"	"1,029"	"1,034"	941	864	840	911	791	848	708	660	535	401	202	93	33
	Heart / Lung		"1,641"	3	61	64	54	51	45	58	45	32	29	18	15	24	23	29	27	42	29	27	31	31	35	40	29	33	27	48	51	47	62	39	69	71	60	48	51	52	67	74
	Intestine		"3,611"	7	88	97	95	82	96	91	81	104	108	147	139	138	108	106	128	150	177	185	197	171	171	146	112	106	113	79	71	68	66	43	45	23	34	22	12	5	0	0
	VCA - abdominal wall		22	0	0	0	0	2	0	0	0	1	0	0	1	0	0	1	4	0	1	0	0	0	1	1	2	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0
	VCA - external male genitalia		2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
																																										
	VCA - head and neck		25	0	0	2	1	0	1	2	1	2	1	1	2	3	1	1	3	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
	VCA - other genitourinary organ		2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	VCA - upper limb		38	0	0	1	0	0	1	1	2	1	1	5	2	2	0	4	6	5	2	2	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
	VCA - uterus		19	0	1	1	1	4	0	1	6	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Living Donor	All Organs		"207,988"	"1,908"	"7,239"	"7,031"	"6,955"	"6,468"	"6,542"	"5,726"	"7,397"	"6,849"	"6,182"	"5,980"	"5,989"	"5,819"	"5,988"	"5,866"	"6,022"	"6,561"	"6,609"	"6,218"	"6,313"	"6,733"	"6,905"	"6,992"	"6,814"	"6,619"	"6,598"	"5,939"	"5,019"	"4,546"	"4,050"	"3,782"	"3,475"	"3,088"	"2,898"	"2,571"	"2,427"	"2,123"	"1,918"	"1,829"
	Kidney		"196,381"	"1,702"	"6,522"	"6,419"	"6,290"	"5,864"	"5,971"	"5,234"	"6,867"	"6,442"	"5,811"	"5,629"	"5,628"	"5,538"	"5,733"	"5,619"	"5,773"	"6,278"	"6,387"	"5,968"	"6,043"	"6,435"	"6,572"	"6,648"	"6,470"	"6,241"	"6,045"	"5,505"	"4,723"	"4,421"	"3,933"	"3,679"	"3,389"	"3,007"	"2,851"	"2,534"	"2,396"	"2,094"	"1,903"	"1,817"
	Liver		"11,147"	203	709	604	658	603	569	491	524	401	367	345	359	280	252	246	247	282	219	249	266	288	323	323	322	363	524	406	258	92	88	65	54	60	36	33	22	14	2	0
	Pancreas		24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	1	1	0	2	3	1	2	4	5
	Kidney / Pancreas		48	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	3	0	3	6	7	2	6	10	6	2	0	0	0	0	0	0
	Heart		43	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	3	2	1	4	12	9	7
	Lung		253	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	3	4	1	15	15	13	25	18	29	29	21	24	24	16	7	0	4	1	0	0
	Intestine		44	0	0	0	0	0	0	0	0	0	1	0	2	1	1	0	1	1	2	0	1	4	7	6	4	1	0	3	2	2	2	2	1	0	0	0	0	0	0	0
	VCA - uterus		48	3	8	8	7	1	2	1	6	6	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
