,,All Donors,Kidney,Liver,Heart,Pancreas,Lung,Intestine
All Mechanisms,,"23,791","21,797","13,824","4,753","1,260","3,977",88
Asphyxiation,,699,678,601,339,127,221,7
Blunt Injury,,"2,343","2,265","1,910","1,126",337,713,24
Cardiovascular,,"4,189","3,681","3,275",599,118,582,9
Drowning,,137,134,118,82,29,25,6
Drug Intoxication,,"1,606","1,575","1,381",872,191,544,3
Electrical,,11,11,11,5,2,2,0
Gunshot Wound,,849,836,769,567,219,441,17
Intracranial Hemorrhage / Stroke,,"4,577","4,130","3,707",761,158,"1,194",14
Natural Causes (Since 10/25/99),,"1,541","1,409",937,230,45,138,5
None of the above,,382,350,252,86,18,57,1
Not Reported,,"7,238","6,523",707,0,0,0,0
Seizure,,193,179,139,70,10,52,2
Sids,,5,5,2,3,0,0,0
Stab,,21,21,15,13,6,8,0
