,,All Donors,Kidney,Liver,Heart,Pancreas,Lung,Intestine
All Recovery Hospitals,,"23,791","21,797","13,824","4,753","1,260","3,977",88
Unknown hospital,,39,35,32,7,1,6,0
CTYN-TX1 Yale New Haven Hosp,,34,34,0,0,0,0,0
TXJS-TX1 Univ of Texas Med Branch,,28,28,0,0,0,0,0
ILUC-TX1 Univ of Chicago Med Ctr,,43,32,11,0,0,0,0
MANM-TX1 Tufts Medical Center,,17,17,0,0,0,0,0
OKSJ-TX1 St. John Medical Center,,15,15,0,0,0,0,0
MORH-TX1 Research Medical Center,,10,10,0,0,0,0,0
NMPH-TX1 Presbyterian Hospital,,12,12,0,0,0,0,0
NVUM-TX1 University Med Ctr of Southern NV,,6,6,0,0,0,0,0
NJLL-TX1 Our Lady of Lourdes Med Ctr,,9,9,0,0,0,0,0
PATU-TX1 Temple Univ Hospital,,24,24,0,0,0,0,0
WAVM-TX1 Virginia Mason Med Ctr,,13,13,0,0,0,0,0
CAIM-TX1 UCI Medical Center,,27,27,0,0,0,0,0
NYAM-TX1 Albany Med Center Hospital,,9,9,0,0,0,0,0
TNST-TX1 St. Thomas Hospital,,17,17,0,0,0,0,0
TXFW-TX1 TX Health Harris Meth. Ft Worth Hosp,,22,22,0,0,0,0,0
NYMS-TX1 Mount Sinai Med Center,,82,74,8,0,0,0,0
LAWK-TX1 Willis-Knighton Medical Center,,6,6,0,0,0,0,0
VAFH-TX1 Inova Fairfax Hosp,,40,40,0,0,0,0,0
DCWR-TX1 Walter Reed National Military,,7,7,0,0,0,0,0
MAMG-TX1 Massachusetts General Hospital,,81,71,10,0,0,0,0
GAEM-TX1 Emory University Hospital,,198,198,0,0,0,0,0
OHUH-TX1 University Hosp of Cleveland,,22,22,0,0,0,0,0
ILMM-TX1 Memorial Medical Center,,2,2,0,0,0,0,0
WAUW-TX1 Univ of Washington Med Ctr,,57,43,14,0,0,0,0
KYUK-TX1 Univ of Kentucky Med Ctr,,40,40,0,0,0,0,0
MDUM-TX1 Univ of Maryland Med System,,36,34,2,0,0,0,0
TXHI-TX1 CHI St. Luke's Health Baylor College,,42,42,0,0,0,0,0
PAAG-TX1 Allegheny General Hosp,,23,22,1,0,0,0,0
CALA-TX1 Harbor UCLA Med Center,,2,2,0,0,0,0,0
PRSJ-TX1 Auxilio Mutuo Hosp,,7,7,0,0,0,0,0
TNMH-TX1 Methodist University Hospital,,20,20,0,0,0,0,0
WVWU-TX1 WV University Hospital,,2,2,0,0,0,0,0
NCDU-TX1 Duke University Hospital,,101,97,4,0,0,0,0
GAMC-TX1 Georgia Health Sciences Medical Ctr,,1,1,0,0,0,0,0
COPM-TX1 Centura Porter Adventist Hosp,,55,55,0,0,0,0,0
TXDM-TX1 North Austin Medical Center,,21,21,0,0,0,0,0
WISE-TX1 Froedtert Mem Lutheran Hosp,,59,59,0,0,0,0,0
VAMC-TX1 MCV Hospitals,,67,41,26,0,0,0,0
OKMD-TX1 OU Medical Center,,6,6,0,0,0,0,0
NJSB-TX1 St Barnabas Medical Center,,83,83,0,0,0,0,0
PAPT-TX1 Univ of Pittsburgh Med Ctr,,182,93,89,0,0,0,0
CALL-TX1 Loma Linda Univ Med Ctr,,41,41,0,0,0,0,0
VTMC-TX1 The University of Vermont Medical Cen,,2,2,0,0,0,0,0
NDSL-TX1 Sanford Medical Center Fargo,,4,4,0,0,0,0,0
FLCC-TX1 Cleveland Clinic Florida Weston,,26,22,4,0,0,0,0
TXTC-TX1 Texas Children's Hospital,,1,0,0,0,0,0,0
INSV-TX1 St Vincent Hosp and Health Care Ctr,,15,15,0,0,0,0,0
CAUC-TX1 UCLA Medical Center,,89,89,0,0,0,0,0
AZMC-TX1 Mayo Clinic Hospital,,104,104,0,0,0,0,0
NEUN-TX1 The Nebraska Medical Center,,63,60,3,0,0,0,0
MISJ-TX1 St John Hosp and Med Ctr,,3,3,0,0,0,0,0
ILCH-TX1 Advocate Christ Medical Center,,2,2,0,0,0,0,0
TXSW-TX1 Scott and White Mem Hosp,,16,16,0,0,0,0,0
NDMC-TX1 Sanford Bismarck Medical Center,,2,2,0,0,0,0,0
OHCH-TX1 Nationwide Children's Hospital,,3,3,0,0,0,0,0
INIM-TX1 Indiana University Health,,54,45,9,0,0,0,0
MIUM-TX1 Univ of Michigan Med Ctr,,63,58,5,0,0,0,0
KYJH-TX1 Jewish Hospital,,17,17,0,0,0,0,0
TXMH-TX1 Houston Methodist Hospital,,146,131,15,0,0,0,0
TXHD-TX1 Medical City Dallas Hospital,,85,85,0,0,0,0,0
NJHK-TX1 Hackensack University Medical Center,,54,54,0,0,0,0,0
IAIM-TX1 Iowa Methodist Medical Center,,11,11,0,0,0,0,0
OKBC-TX1 Integris Baptist Med Ctr,,23,23,0,0,0,0,0
MNAN-TX1 Abbott Northwestern Hospital,,3,3,0,0,0,0,0
MOLH-TX1 Saint Luke's Hospital of Kansas City,,8,8,0,0,0,0,0
NMAQ-TX1 University Hospital,,4,4,0,0,0,0,0
TNVU-TX1 Vanderbilt Univ Med Ctr,,65,64,1,0,0,0,0
NYSB-TX1 University Hosp of SUNY,,14,14,0,0,0,0,0
OHTC-TX1 The Christ Hospital,,28,28,0,0,0,0,0
CTHH-TX1 Hartford Hospital,,42,42,0,0,0,0,0
FLHM-TX1 Halifax Medical Center,,1,1,0,0,0,0,0
MAPB-TX1 Brigham and Women's Hosp,,27,27,0,0,0,0,0
COSL-TX1 Presbyterian/ St Luke's Medical Ctr.,,12,12,0,0,0,0,0
ALUA-TX1 Univ of Alabama Hospital,,52,52,0,0,0,0,0
CAUH-TX1 Keck Hospital of USC,,34,25,9,0,0,0,0
MOUM-TX1 Univ of Missouri Hosp and Clinic,,3,3,0,0,0,0,0
CAPM-TX1 California Pacific Med Ctr,,35,35,0,0,0,0,0
KSUK-TX1 University of Kansas Hospital,,42,40,2,0,0,0,0
VAUV-TX1 Univ of Virginia HSC,,37,29,8,0,0,0,0
NYUM-TX1 SUNY Upstate Medical University,,11,11,0,0,0,0,0
PAHH-TX1 Harrisburg Hospital,,29,29,0,0,0,0,0
MAUM-TX1 UMass Memorial Medical Center,,8,8,0,0,0,0,0
ILLU-TX1 Loyola Univ Med Center,,58,58,0,0,0,0,0
CASM-TX1 UC Davis Medical Center,,79,78,1,0,0,0,0
NYNS-TX1 North Shore University Hospital,,53,51,2,0,0,0,0
MNUM-TX1 Univ. of Minnesota Medical Center,,74,73,1,0,0,0,0
NCMH-TX1 UNC Hospitals,,36,31,5,0,0,0,0
