,,All Donors,Kidney,Liver,Heart,Pancreas,Lung,Intestine
All Donor Relations,,"23,791","21,797","13,824","4,753","1,260","3,977",88
"Biological, blood related Parent",,458,411,47,0,0,0,0
"Biological, blood related Child",,878,713,165,0,0,0,0
"Biological, blood related Identical Twin",,11,10,1,0,0,0,0
"Biological, blood related Full Sibling",,886,819,67,0,0,0,0
"Biological, blood related Half Sibling",,70,67,3,0,0,0,0
"Biological, blood related Other Relative",,395,336,59,0,0,0,0
"Non-Biological, Spouse",,714,675,39,0,0,0,0
"Non-Biological, Life Partner",,41,40,1,0,0,0,0
"Non-Biol,unrel: Paired Donation",,"1,565","1,535",30,0,0,0,0
"Non-Biol,unrel: Anonymous Donation",,689,572,116,0,0,0,0
"Non-Biological, Unrelated: Domino",,9,0,9,0,0,0,0
"Deceased Donor Transplant, Not Applicabl",,"16,553","15,274","13,117","4,753","1,260","3,977",88
"Biological, blood related: Domino",,1,0,1,0,0,0,0
"Non-Biological, Other Unrelated Directed",,"1,470","1,303",167,0,0,0,0
"Biological, blood related: Non-Domino Th",,3,3,0,0,0,0,0
Unknown,,17,8,2,0,0,0,0
"Non-Biological, Unrelated: Non-Domino Th",,31,31,0,0,0,0,0
