,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,VCA - abdominal wall,VCA - external male genitalia,VCA - head and neck,VCA - other genitourinary organ,VCA - upper limb,VCA - uterus
To Date,,"1,308,424","828,759","322,873","16,861","42,408","117,919","71,136","2,308","4,811",17,3,23,4,27,79
2026,,"25,077","16,633","5,475",131,513,"1,998","1,277",16,34,0,0,0,3,0,2
2025,,"74,591","50,167","15,778",378,"1,620","6,029","3,918",76,113,0,0,1,1,0,11
2024,,"70,641","47,188","15,025",432,"1,603","5,896","3,710",95,127,1,0,0,0,0,9
2023,,"66,644","44,594","14,180",438,"1,520","5,653","3,328",74,129,1,0,5,0,0,9
2022,,"62,563","42,291","13,179",407,"1,441","5,023","3,104",76,145,3,0,0,0,0,5
2021,,"60,500","40,101","13,439",422,"1,434","4,948","3,064",64,142,3,0,0,0,0,4
2020,,"55,074","36,161","12,609",433,"1,275","4,532","2,656",80,138,1,0,0,0,2,1
2019,,"61,186","41,126","12,941",476,"1,420","4,658","3,218",65,102,1,0,4,0,3,12
2018,,"58,674","38,810","12,718",465,"1,258","4,634","3,164",66,136,3,0,3,0,3,15
2017,,"54,859","35,605","12,475",476,"1,228","4,460","2,955",47,154,0,0,2,0,1,7
2016,,"54,270","35,435","12,302",476,"1,185","4,343","2,746",46,199,0,3,4,0,4,7
2015,,"53,024","35,046","11,603",466,"1,212","4,355","2,538",46,195,2,0,0,0,6,0
2014,,"54,221","36,164","11,558",539,"1,264","4,267","2,583",54,206,2,0,3,0,6,0
2013,,"54,010","36,392","11,526",551,"1,218","3,911","2,471",46,175,0,0,1,0,0,0
2012,,"51,669","34,843","11,090",567,"1,397","3,602","2,307",45,155,0,0,0,0,2,0
2011,,"50,560","33,559","11,294",593,"1,303","3,393","2,404",56,180,0,0,0,0,0,0
2010,,"51,786","34,405","11,347",690,"1,498","3,476","2,421",57,235,0,0,0,0,0,0
2009,,"50,270","33,649","10,703",767,"1,492","3,452","2,234",60,249,0,0,0,0,0,0
2008,,"48,848","32,564","10,591",844,"1,551","3,332","1,967",53,254,0,0,0,0,0,0
2007,,"48,268","32,380","10,539",842,"1,546","3,065","1,923",50,274,0,0,0,0,0,0
2006,,"46,901","31,161","10,498",997,"1,616","2,986","1,754",75,301,0,0,0,0,0,0
2005,,"44,518","29,186","10,419","1,004","1,732","2,775","1,530",57,269,0,0,0,0,0,0
2004,,"43,008","27,288","10,151","1,085","1,690","2,831","1,962",77,236,0,0,0,0,0,0
2003,,"39,958","24,665","9,625","1,040","1,602","2,877","1,928",66,190,0,0,0,0,0,0
2002,,"38,538","23,614","8,934","1,043","1,688","3,131","1,847",88,192,0,0,0,0,0,0
2001,,"39,280","22,518","10,278","1,049","1,724","3,312","1,987",106,204,0,0,0,0,0,0
2000,,"39,151","22,386","10,257",925,"1,935","3,384","1,934",114,150,0,0,0,0,0,0
1999,,"37,416","21,057","10,038",709,"1,723","3,485","1,984",105,127,0,0,0,0,0,0
1998,,"35,457","19,944","9,008",459,"1,472","3,871","2,034",135,132,0,0,0,0,0,0
1997,,"32,828","18,608","8,120",342,"1,358","3,693","1,892",139,119,0,0,0,0,0,0
1996,,"31,428","17,817","7,580",285,"1,346","3,795","1,773",151,84,0,0,0,0,0,0
1995,,"30,498","17,318","6,859",235,"1,351","4,143","1,694",137,87,0,0,0,0,0,0
