,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,VCA - abdominal wall,VCA - head and neck,VCA - upper limb,VCA - uterus
All Primary Payers,,"109,318","95,036","8,822",837,"2,382","4,054","1,030",30,169,1,2,2,4
Donation,,5,3,0,0,0,2,0,0,0,0,0,0,0
Foreign Government Specify,,95,55,22,5,8,11,5,0,4,0,0,0,0
Free Care,,18,16,2,0,0,0,0,0,0,0,0,0,0
Pending,,115,107,1,6,1,2,0,0,0,0,0,0,0
Private insurance,,"48,229","41,724","4,062",415,"1,136","1,731",272,12,58,0,0,0,0
Public insurance - CHIP (Children's Health Insurance Program),,197,141,38,5,0,17,0,0,7,0,0,0,0
Public insurance - Department of VA,,"2,219","1,911",219,7,14,79,14,0,6,0,0,0,0
Public insurance - Medicaid,,"15,966","13,375","1,515",153,440,809,69,6,63,0,0,0,0
Public insurance - Medicare & Choice,,"18,096","16,164","1,014",90,286,619,246,3,10,0,0,0,0
Public insurance - Medicare FFS (Fee for Service),,"21,524","20,064",815,100,360,356,179,3,5,0,0,0,0
Public insurance - Medicare Unspecified,,54,52,0,0,0,2,0,0,0,0,0,0,0
Public insurance - Other government,,"1,669","1,429",148,10,49,70,6,0,3,0,0,0,0
Self,,100,86,10,0,3,2,1,0,0,0,0,0,0
Unknown,,"5,269","3,623","1,025",47,131,370,241,6,13,1,2,2,4
US/State Govt Agency,,4,2,0,1,3,0,0,0,0,0,0,0,0
