,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,VCA - other genitourinary organ,VCA - uterus
All Donor Relations,,"49,065","27,574","12,344",107,804,"4,587","3,490",61,88,1,9
"Biological, blood related Parent",,458,411,47,0,0,0,0,0,0,0,0
"Biological, blood related Child",,878,713,165,0,0,0,0,0,0,0,0
"Biological, blood related Identical Twin",,11,10,1,0,0,0,0,0,0,0,0
"Biological, blood related Full Sibling",,886,819,67,0,0,0,0,0,0,0,0
"Biological, blood related Half Sibling",,70,67,3,0,0,0,0,0,0,0,0
"Biological, blood related Other Relative",,395,336,59,0,0,0,0,0,0,0,0
"Non-Biological, Spouse",,713,674,39,0,0,0,0,0,0,0,0
"Non-Biological, Life Partner",,41,40,1,0,0,0,0,0,0,0,0
"Non-Biol,unrel: Paired Donation",,"1,565","1,535",30,0,0,0,0,0,0,0,0
"Non-Biol,unrel: Anonymous Donation",,689,572,116,0,0,0,0,0,0,0,1
"Non-Biological, Unrelated: Domino",,11,0,11,0,0,0,0,0,0,0,0
"Deceased Donor Transplant, Not Applicabl",,"41,826","21,052","11,635",107,804,"4,587","3,490",61,88,1,1
"Biological, blood related: Domino",,1,0,1,0,0,0,0,0,0,0,0
"Non-Biological, Other Unrelated Directed",,"1,470","1,303",167,0,0,0,0,0,0,0,0
"Biological, blood related: Non-Domino Th",,3,3,0,0,0,0,0,0,0,0,0
NOT REPORTED,,17,8,2,0,0,0,0,0,0,0,7
"Non-Biological, Unrelated: Non-Domino Th",,31,31,0,0,0,0,0,0,0,0,0
