,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,VCA - other genitourinary organ,VCA - uterus
All Diagnoses,All Diagnosis,,"49,065","27,574","12,344",107,804,"4,587","3,490",61,88,1,9
,Abca3 Transporter Mutation,,4,0,0,0,0,0,4,0,0,0,0
,Ahn: Type B- Hbsag+,,21,0,21,0,0,0,0,0,0,0,0
,Dilated Myopathy: Post Partum,,39,0,0,0,0,39,0,0,0,0,0
,Drug Related Interstitial Nephritis,,45,45,0,0,0,0,0,0,0,0,0
,Eisenmenger'S Syn: Atrial Septal Defect,,2,0,0,0,0,0,0,2,0,0,0
,Eisenmenger'S Syn: Vsd,,2,0,0,0,0,0,1,1,0,0,0
,Ahn: Type C,,14,0,14,0,0,0,0,0,0,0,0
,Eosinophilic Granuloma,,3,0,0,0,0,0,3,0,0,0,0
,Fabry'S Disease,,17,17,0,0,0,0,0,0,0,0,0
,Familial Cholestasis: Byler'S Disease,,3,0,3,0,0,0,0,0,0,0,0
,Familial Cholestasis: Other Specify,,9,0,9,0,0,0,0,0,0,0,0
,Familial Nephropathy,,13,13,0,0,0,0,0,0,0,0,0
,Fbp: Hirschsprung'S Disease,,3,0,0,0,0,0,0,0,3,0,0
,Ahn: Type D,,1,0,1,0,0,0,0,0,0,0,0
,Fbp: Pseudo-Obstruction-Myopathic,,3,0,0,0,0,0,0,0,3,0,0
,Fibrocavitary Lung Disease,,2,0,0,0,0,0,2,0,0,0,0
,Focal Glomerular Sclerosis (Focal Segmental -. Fs,,"1,395","1,393",0,0,2,0,0,0,0,0,0
,Goodpasture'S Syndrome,,47,47,0,0,0,0,0,0,0,0,0
,Gout,,5,5,0,0,0,0,0,0,0,0,0
,Graft Failure,,222,0,222,0,0,0,0,0,0,0,0
,Graft Failure,,4,0,0,0,0,0,0,0,4,0,0
,Graft-Vs-Host Disease (Gvhd),,11,0,0,0,0,0,11,0,0,0,0
,Granulomatous Lung Disease,,1,0,0,0,0,0,1,0,0,0,0
,Heart Re-Tx/Gf: Acute Rejection,,3,0,0,0,0,3,0,0,0,0,0
,Heart Re-Tx/Gf: Chronic Rejection,,19,0,0,0,0,19,0,0,0,0,0
,Heart Re-Tx/Gf: Coronary Artery Disease,,78,0,0,0,0,78,0,0,0,0,0
,Heart Re-Tx/Gf: Non-Specific,,4,0,0,0,0,4,0,0,0,0,0
,Heart Re-Tx/Gf: Other Specify,,10,0,0,0,0,10,0,0,0,0,0
,Heart Re-Tx/Gf: Primary Failure,,11,0,0,0,0,11,0,0,0,0,0
,Heart Re-Tx/Gf: Restrictive/Constrictive,,6,0,0,0,0,5,0,1,0,0,0
,Hemolytic Uremic Syndrome,,55,55,0,0,0,0,0,0,0,0,0
,Henoch-Schoenlein Purpura,,11,11,0,0,0,0,0,0,0,0,0
,Hepatorenal Syndrome,,588,588,0,0,0,0,0,0,0,0,0
,Hermansky Pudlak Syndrome,,2,0,0,0,0,0,2,0,0,0,0
,Heroin Nephrotoxicity,,1,1,0,0,0,0,0,0,0,0,0
,Alpha -. 1. -. Antitrypsin Deficiency,,47,0,0,0,0,0,47,0,0,0,0
,Hiv Nephropathy,,107,107,0,0,0,0,0,0,0,0,0
,Hypersensitivity Pneumonitis,,178,0,0,0,0,0,178,0,0,0,0
,Hypertensive Nephrosclerosis,,"5,183","5,162",0,0,21,0,0,0,0,0,0
,Hypertrophic Cardiomyopathy,,186,0,0,0,0,185,0,1,0,0,0
,Hypogammaglobulinemia,,1,0,0,0,0,0,1,0,0,0,0
,
,Hypoplasia/Dysplasia/Dysgensis/Agenesis,,226,226,0,0,0,0,0,0,0,0,0
,Idio/Post-Inf Crescentic Glomerulonephri,,31,31,0,0,0,0,0,0,0,0,0
,Idiopathic Pulmonary Hemosiderosis,,1,0,0,0,0,0,1,0,0,0,0
,Iga Nephropathy,,"1,333","1,332",0,0,1,0,0,0,0,0,0
,Iip: Acute Interstitial Pneumonia,,6,0,0,0,0,0,6,0,0,0,0
,Alport'S Syndrome,,262,261,0,0,1,0,0,0,0,0,0
,Iip: Boop/Cop,,2,0,0,0,0,0,2,0,0,0,0
,Iip: Idiopathic Pulmonary Fibrosis (Ipf),,"1,052",0,0,0,0,0,"1,050",2,0,0,0
,Iip: Lymphocytic Interstitial Pneumonia (Lip),,5,0,0,0,0,0,5,0,0,0,0
,Iip: Nonspecific Interstitial Pneumonia,,164,0,0,0,0,0,164,0,0,0,0
,Iip: Respiratory Bronchiolitis,,1,0,0,0,0,0,1,0,0,0,0
,Incidental Carcinoma,,1,1,0,0,0,0,0,0,0,0,0
,Inhalation Burns/Trauma,,1,0,0,0,0,0,1,0,0,0,0
,Intestinal Disease Other Specify,,2,0,0,0,0,0,0,0,2,0,0
,Kartagener'S Syndrome,,2,0,0,0,0,0,2,0,0,0,0
,Lithium Toxicity,,113,113,0,0,0,0,0,0,0,0,0
,Alveolar Proteinosis,,1,0,0,0,0,0,1,0,0,0,0
,Lung Re-Tx/Gf: Acute Rejection,,2,0,0,0,0,0,2,0,0,0,0
,Lung Re-Tx/Gf: Non-Specific,,4,0,0,0,0,0,4,0,0,0,0
,Lung Re-Tx/Gf: Obliterative Bronchiolitis-Obstruc,,50,0,0,0,0,0,50,0,0,0,0
,Lung Re-Tx/Gf: Obliterative Bronchiolitis-Restric,,17,0,0,0,0,0,17,0,0,0,0
,Lung Re-Tx/Gf: Obstructive,,8,0,0,0,0,0,8,0,0,0,0
,Lung Re-Tx/Gf: Other Specify,,7,0,0,0,0,0,7,0,0,0,0
,Lung Re-Tx/Gf: Primary Graft Failure,,5,0,0,0,0,0,5,0,0,0,0
,Lung Re-Tx/Gf: Restrictive,,5,0,0,0,0,0,5,0,0,0,0
,Lupus,,7,0,0,0,0,0,7,0,0,0,0
,Lymphangioleiomyomatosis,,13,0,0,0,0,0,13,0,0,0,0
,Malignant Hypertension,,142,142,0,0,0,0,0,0,0,0,0
,Medullary Cystic Disease,,29,29,0,0,0,0,0,0,0,0,0
,Membranous Glomerulonephritis,,162,162,0,0,0,0,0,0,0,0,0
,Membranous Nephropathy,,121,121,0,0,0,0,0,0,0,0,0
,Mesangio-Capillary 1. Glomerulonephritis,,14,13,0,0,1,0,0,0,0,0,0
,Mesangio-Capillary 2. Glomerulonephritis,,3,3,0,0,0,0,0,0,0,0,0
,Metdis: Alpha-1-Antitrypsin Defic A-1-A,,87,0,87,0,0,0,0,0,0,0,0
,Metdis: Glyc Stor Dis Type I. (Gsd-I),,2,0,2,0,0,0,0,0,0,0,0
,Amyloidosis,,70,70,0,0,0,0,0,0,0,0,0
,Metdis: Glyc Stor Dis Type Iv (Gsd-Iv),,1,0,1,0,0,0,0,0,0,0,0
,Metdis: Hemochromatosis -. Hemosiderosis,,31,0,31,0,0,0,0,0,0,0,0
,Metdis: Maple Syrup Urine Disease,,34,0,34,0,0,0,0,0,0,0,0
,Metdis: Other Specify,,45,0,45,0,0,0,0,0,0,0,0
,"Metdis: Primary Oxalosis/Oxaluria, Hyperoxaluria",,7,0,7,0,0,0,0,0,0,0,0
,
,Metdis: Tyrosinemia,,1,0,1,0,0,0,0,0,0,0,0
,"Metdis: Wilson'S Disease, Other Copper Metabolism",,30,0,30,0,0,0,0,0,0,0,0
,Mixed Connective Tissue Disease,,98,0,0,0,0,0,97,1,0,0,0
,Muscular Dystrophy: Other Specify,,5,0,0,0,0,5,0,0,0,0,0
,Acquired Obstructive Nephropathy,,108,108,0,0,0,0,0,0,0,0,0
,Analgesic Nephropathy,,36,35,0,0,1,0,0,0,0,0,0
,Myeloma,,44,44,0,0,0,0,0,0,0,0,0
,Neonatal Cholestatic Liver Disease,,5,0,5,0,0,0,0,0,0,0,0
,Neonatal Hepatitis Other Specify,,1,0,1,0,0,0,0,0,0,0,0
,Nephritis,,107,106,0,0,1,0,0,0,0,0,0
,Nephrolithiasis,,63,63,0,0,0,0,0,0,0,0,0
