,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,VCA - other genitourinary organ,VCA - uterus
All Primary Payers,,"49,065","27,574","12,344",107,804,"4,587","3,490",61,88,1,9
Donation,,5,5,0,0,0,0,0,0,0,0,0
Foreign Government Specify,,91,19,21,0,4,26,19,0,2,0,0
Free Care,,14,6,7,0,0,0,0,0,0,0,1
Pending,,2,0,2,0,0,0,0,0,0,0,0
Private insurance,,"18,997","8,995","6,265",50,296,"2,014","1,312",25,40,0,0
Public insurance - CHIP (Children's Health Insurance Program),,81,43,20,0,0,16,1,0,1,0,0
Public insurance - Department of VA,,956,511,240,2,3,120,77,1,2,0,0
Public insurance - Medicaid,,"6,144","2,374","2,430",23,81,849,340,16,31,0,0
Public insurance - Medicare & Choice,,"10,446","6,877","1,668",20,216,836,818,2,8,1,0
Public insurance - Medicare FFS (Fee for Service),,"11,597","8,406","1,493",12,196,623,851,12,4,0,0
Public insurance - Other government,,591,259,173,0,7,91,60,1,0,0,0
Self,,81,45,23,0,1,7,4,0,0,0,1
Unknown,,60,34,2,0,0,5,8,4,0,0,7
