,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,VCA - other genitourinary organ,VCA - uterus
All Centers,,"49,065","27,574","12,344",107,804,"4,587","3,490",61,88,1,9
ALCH-TX1 Children's of Alabama,,27,17,2,0,0,8,0,0,0,0,0
ALUA-TX1 University of Alabama Hospital,,450,235,153,0,8,22,31,0,0,0,1
ALVA-TX1 Birmingham VA Medical Center,,2,2,0,0,0,0,0,0,0,0,0
ARBH-TX1 Baptist Medical Center,,9,0,0,0,0,9,0,0,0,0,0
ARCH-TX1 Arkansas Children's Hospital,,7,3,0,0,0,4,0,0,0,0,0
ARUA-TX1 UAMS Medical Center,,217,168,48,0,1,0,0,0,0,0,0
AZCH-TX1 Phoenix Children's Hospital,,33,17,4,0,0,12,0,0,0,0,0
AZGS-TX1 Banner-University Medical Center Phoenix,,188,82,68,0,3,35,0,0,0,0,0
AZMC-TX1 Mayo Clinic Hospital Arizona,,917,504,322,2,52,31,6,0,0,0,0
AZSJ-TX1 St. Joseph's Hospital and Medical Center,,150,49,21,0,0,0,80,0,0,0,0
AZUA-TX1 Banner University Medical Center-Tucson,,57,54,0,0,1,0,2,0,0,0,0
CACH-TX1 Rady Children's Hospital and Health Center,,22,11,7,0,0,4,0,0,0,0,0
CACL-TX1 Children's Hospital Los Angeles,,56,20,29,0,0,7,0,0,0,0,0
CACS-TX1 Cedars-Sinai Medical Center,,677,323,145,1,1,114,93,0,0,0,0
CAGH-TX1 Scripps Green Hospital,,57,44,12,0,1,0,0,0,0,0,0
CAIM-TX1 University of California Irvine Medical Center,,233,229,0,0,4,0,0,0,0,0,0
CALA-TX1 Harbor UCLA Medical Center,,52,52,0,0,0,0,0,0,0,0,0
CALL-TX1 Loma Linda University Medical Center,,365,230,97,1,15,22,0,0,0,0,0
CAMB-TX1 UCSF Medical Center at Mission Bay,,28,13,10,0,0,5,0,0,0,0,0
CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,,67,26,17,1,0,14,7,0,2,0,0
CAPM-TX1 California Pacific Medical Center-Van Ness Campus,,347,209,96,0,13,29,0,0,0,0,0
CASD-TX1 University of California San Diego Medical Center,,485,182,175,0,0,74,54,0,0,0,0
CASF-TX1 University of California San Francisco Medical Center,,710,365,183,2,9,58,89,4,0,0,0
CASG-TX1 Sutter Medical Center Sacramento,,13,0,0,0,0,13,0,0,0,0,0
CASH-TX1 Sharp Memorial Hospital,,123,111,0,0,1,11,0,0,0,0,0
CASJ-TX1 Saint Joseph Hospital,,85,82,0,0,3,0,0,0,0,0,0
CASM-TX1 University of California Davis Medical Center,,329,270,59,0,0,0,0,0,0,0,0
CASU-TX1 Stanford Health Care,,471,161,156,0,1,71,70,12,0,0,0
CAUC-TX1 University of California at Los Angeles Medical Center,,708,387,144,1,0,87,83,3,2,1,0
CAUH-TX1 Keck Hospital of USC,,351,177,133,0,1,19,21,0,0,0,0
COCH-TX1 Children's Hospital Colorado,,42,11,15,0,0,16,0,0,0,0,0
COPM-TX1 AdventHealth Porter,,149,120,29,0,0,0,0,0,0,0,0
COSL-TX1 Presbyterian/St Luke's Medical Center,,94,56,38,0,0,0,0,0,0,0,0
COUC-TX1 University of Colorado Hospital/Health Science Center,,515,238,148,0,6,77,46,0,0,0,0
CTHH-TX1 Hartford Hospital,,174,103,30,0,0,41,0,0,0,0,0
CTYN-TX1 Yale New Haven Hospital,,169,114,40,0,0,15,0,0,0,0,0
DCCH-TX1 Children's National Medical Center,,18,9,0,0,0,9,0,0,0,0,0
DCGU-TX1 Medstar Georgetown Transplant Institute,,582,369,151,8,38,0,0,0,16,0,0
DCGW-TX1 George Washington University Hospital,,76,52,23,0,1,0,0,0,0,0,0
DCWH-TX1 Washington Hospital Center,,35,1,0,0,0,34,0,0,0,0,0
DCWR-TX1 Walter Reed National Military Medical Center at Bethesda,,30,30,0,0,0,0,0,0,0,0,0
DEAI-TX1 Nemours Children's Hospital Delaware,,8,3,3,0,0,2,0,0,0,0,0
DECC-TX1 Christiana Care Health Services,,53,53,0,0,0,0,0,0,0,0,0
FLAC-TX1 Johns Hopkins All Children's Hospital,,2,0,0,0,0,2,0,0,0,0,0
FLCC-TX1 Cleveland Clinic Florida Weston,,272,145,93,0,0,34,0,0,0,0,0
FLFH-TX1 AdventHealth Orlando,,378,161,116,0,12,56,31,2,0,0,0
FLHM-TX1 Halifax Health,,9,9,0,0,0,0,0,0,0,0,0
FLJD-TX1 Memorial Regional Hospital/Joe DiMaggio Children's Hospital,,7,0,0,0,0,7,0,0,0,0,0
FLJM-TX1 Jackson Memorial Hospital University of Miami School of Medicine,,532,285,110,9,17,15,85,0,11,0,0
FLLM-TX1 Largo Medical Center,,141,64,55,0,0,22,0,0,0,0,0
FLMR-TX1 Memorial Regional Hospital,,212,181,0,0,2,29,0,0,0,0,0
FLSH-TX1 Ascension Sacred Heart Pensacola,,33,33,0,0,0,0,0,0,0,0,0
FLSL-TX1 Mayo Clinic Hospital Florida,,544,220,160,2,7,84,69,2,0,0,0
FLTG-TX1 Tampa General Hospital,,895,519,284,0,8,42,42,0,0,0,0
FLUF-TX1 UF Health Shands Hospital,,418,158,146,0,12,37,65,0,0,0,0
GAEH-TX1 Children’s Healthcare of Atlanta - Arthur M. Blank Hospital,,57,25,22,0,0,10,0,0,0,0,0
GAEM-TX1 Emory University Hospital,,914,591,192,0,13,74,44,0,0,0,0
"GAMC-TX1 Wellstar MCG Health, affiliated with Medical College of Georgia",,60,58,0,0,2,0,0,0,0,0,0
GAPH-TX1 Piedmont Hospital,,645,335,199,0,8,103,0,0,0,0,0
HIQM-TX1 The Queen's Medical Center,,116,86,30,0,0,0,0,0,0,0,0
IAIM-TX1 Iowa Methodist Medical Center,,47,47,0,0,0,0,0,0,0,0,0
IAIV-TX1 University of Iowa Hospitals and Clinics Transplant Programs,,131,79,14,1,2,16,19,0,0,0,0
IAVA-TX1 The Iowa City VA Health Care System,,5,5,0,0,0,0,0,0,0,0,0
ILCH-TX1 Advocate Christ Medical Center,,57,34,0,0,0,23,0,0,0,0,0
ILCM-TX1 Ann & Robert H. Lurie Children's Hospital of Chicago,,67,33,19,0,0,15,0,0,0,0,0
ILLU-TX1 Loyola University Medical Center,,353,217,85,1,5,10,34,1,0,0,0
ILMM-TX1 Springfield Memorial Hospital,,21,21,0,0,0,0,0,0,0,0,0
ILNM-TX1 Northwestern Memorial Hospital,,691,333,178,4,17,28,129,2,0,0,0
