,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,VCA - other genitourinary organ,VCA - uterus
All Donation Service Areas,,"49,065","27,574","12,344",107,804,"4,587","3,490",61,88,1,9
NA,,"7,257","6,522",709,1,0,14,2,0,1,0,8
ALOB-OP1 Legacy of Hope,,585,267,184,0,15,66,50,1,1,0,1
AROR-OP1 Southern Legacy of Life,,400,199,106,4,4,52,32,0,3,0,0
AZOB-OP1 Donor Network of Arizona,,"1,121",569,321,3,34,116,76,1,1,0,0
CADN-OP1 Donor Network West,,"1,145",588,332,0,16,115,89,5,0,0,0
CAGS-OP1 Sierra Donor Services,,377,193,102,1,7,37,36,1,0,0,0
CAOP-OP1 OneLegacy,,"1,767",947,468,5,13,154,172,5,2,1,0
CASD-IO1 Lifesharing - A Donate Life Organization,,463,227,114,0,8,66,47,0,1,0,0
CORS-OP1 Donor Alliance,,937,482,202,2,18,143,85,2,3,0,0
FLFH-IO1 OurLegacy,,556,275,146,0,15,55,63,2,0,0,0
FLMP-OP1 South Florida Donor Network,,635,287,165,5,16,80,74,3,5,0,0
FLUF-IO1 LifeQuest Organ Recovery Services,,772,385,231,3,16,78,57,0,2,0,0
FLWC-OP1 LifeLink of Florida,,909,459,265,1,14,99,70,0,1,0,0
GALL-OP1 LifeLink of Georgia,,"1,245",574,351,3,28,144,140,1,4,0,0
HIOP-OP1 Legacy of Life Hawaii,,166,115,36,0,0,8,7,0,0,0,0
IAOP-OP1 Iowa Donor Network,,338,194,73,2,7,34,25,0,3,0,0
ILIP-OP1 Gift of Hope Organ & Tissue Donor Network,,"1,386",688,368,8,18,161,134,1,8,0,0
INOP-OP1 Indiana Donor Network,,"1,247",647,327,3,28,126,112,1,3,0,0
KYDA-OP1 Network for Hope,,798,407,235,2,22,84,46,2,0,0,0
LAOP-OP1 Louisiana Organ Procurement Agency,,894,410,275,1,23,103,82,0,0,0,0
MAOB-OP1 New England Organ Bank,,"1,580",825,483,3,26,151,88,2,2,0,0
MDPC-OP1 Infinite Legacy,,687,323,207,0,19,78,60,0,0,0,0
MIOP-OP1 Gift of Life Michigan,,"1,077",536,325,6,26,94,87,1,2,0,0
MNOP-OP1 LifeSource Upper Midwest Organ Procurement Organization,,885,450,248,1,9,99,71,4,3,0,0
MOMA-OP1 Mid-America Transplant Services,,719,353,200,5,16,79,61,1,4,0,0
MSOP-OP1 Mississippi Organ Recovery Agency,,314,135,94,0,8,39,38,0,0,0,0
MWOB-OP1 Midwest Transplant Network,,980,523,245,1,15,112,83,1,0,0,0
NCCM-IO1 LifeShare Carolinas,,590,308,179,2,7,59,33,1,1,0,0
NCNC-OP1 HonorBridge,,822,411,235,4,19,96,53,0,4,0,0
NEOR-OP1 Live On Nebraska,,327,163,90,1,6,43,22,0,2,0,0
NJTO-OP1 New Jersey Organ and Tissue Sharing Network OPO,,657,338,203,5,11,59,39,1,1,0,0
NMOP-OP1 New Mexico Donor Services,,259,147,69,0,5,28,10,0,0,0,0
NVLV-OP1 Nevada Donor Network,,679,288,209,1,14,74,89,4,0,0,0
NYAP-OP1 Center for Donation and Transplant,,346,181,100,1,4,40,19,1,0,0,0
NYFL-IO1 Finger Lakes Donor Recovery Network,,179,99,44,0,7,20,9,0,0,0,0
NYRT-OP1 LiveOnNY,,"1,234",673,388,3,21,88,57,2,2,0,0
NYWN-OP1 Upstate New York Transplant Services Inc,,199,109,44,0,9,26,11,0,0,0,0
OHLB-OP1 Lifebanc,,570,280,167,0,10,58,53,0,2,0,0
OHLC-OP1 Life Connection of Ohio,,409,197,106,3,14,47,38,2,2,0,0
OHLP-OP1 Lifeline of Ohio,,382,205,109,0,4,43,18,1,2,0,0
OKOP-OP1 LifeShare Transplant Donor Services of Oklahoma,,618,316,163,0,10,81,48,0,0,0,0
ORUO-IO1 Cascade Life Alliance,,623,315,157,1,8,79,59,3,1,0,0
PADV-OP1 Gift of Life Donor Program,,"1,810",946,510,3,31,179,136,1,4,0,0
PATF-OP1 Center for Organ Recovery and Education,,"1,093",544,316,4,23,134,68,0,4,0,0
PRLL-OP1 LifeLink of Puerto Rico,,226,80,86,1,14,22,22,0,1,0,0
SCOP-OP1 We Are Sharing Hope SC,,713,393,212,1,12,52,43,0,0,0,0
TNDS-OP1 Tennessee Donor Services,,"1,212",596,342,4,22,141,100,3,4,0,0
TNMS-OP1 Mid-South Transplant Foundation,,240,114,67,0,7,31,20,0,1,0,0
TXGC-OP1 LifeGift Organ Donation Center,,"1,218",608,316,2,21,148,119,3,1,0,0
TXSA-OP1 Texas Organ Sharing Alliance,,701,349,179,1,9,86,77,0,0,0,0
TXSB-OP1 Southwest Transplant Alliance,,"1,372",591,357,2,30,178,211,1,2,0,0
UTOP-OP1 DonorConnect,,585,299,166,0,14,72,33,1,0,0,0
VATB-OP1 LifeNet Health,,690,348,180,3,16,76,63,2,2,0,0
WALC-OP1 LifeCenter Northwest,,"1,224",666,318,0,15,146,79,0,0,0,0
"WIDN-OP1 Versiti Blood Health, Inc.",,317,163,83,3,7,38,21,0,2,0,0
WIUW-IO1 UW Health Organ and Tissue Donation,,530,267,137,2,13,56,53,1,1,0,0
