,,All Donor Ages,< 1 Year,1-5 Years,6-10 Years,11-17 Years,18-34 Years,35-49 Years,50-64 Years,65 +,Unknown
All Multiple Organ,,"1,436",5,13,9,67,503,531,262,19,27
Liver-Pancreas,,1,0,0,0,1,0,0,0,0,0
Kidney-Intestine,,3,0,0,0,0,3,0,0,0,0
Intestine-Pancreas,,6,0,1,0,3,1,1,0,0,0
Liver-Intestine,,1,0,0,0,0,1,0,0,0,0
VCA-Kidney,,1,0,0,0,0,0,1,0,0,0
Liver-Intestine-Pancreas,,37,4,8,2,1,16,4,1,0,1
Liver-Kidney-Intestine-Pancreas,,5,1,0,0,1,2,0,0,0,1
Kidney-Heart,,361,0,0,0,15,138,163,41,0,4
Liver-Heart,,92,0,0,0,8,62,19,2,0,1
Liver-Kidney-Heart,,9,0,0,0,0,4,4,1,0,0
Kidney-Lung,,16,0,0,0,1,7,7,1,0,0
Liver-Lung,,39,0,0,0,8,19,7,4,0,1
Liver-Kidney,,864,0,4,7,29,250,324,212,19,19
Kidney-Heart-Lung,,1,0,0,0,0,0,1,0,0,0
