,,To Date,2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
All Multiple Organ,,"22,541",466,"1,436","1,336","1,416","1,340","1,258","1,200","1,074","1,018","1,035",985,893,775,674,625,584,560,555,583,666,570,522,443,352,325,240,222,176,185,198,172,127,124,93,85,63,71,56,38
Liver-Pancreas,,104,2,1,1,1,0,1,1,1,2,1,3,2,0,0,2,1,3,1,3,6,2,5,1,3,1,2,0,1,3,5,1,0,1,2,2,5,9,17,12
Liver-Heart-Lung,,14,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,1,1,1,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0
Liver-Kidney-Pancreas,,13,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,2,0
Kidney-Intestine,,56,1,3,5,3,3,1,2,3,2,1,5,2,2,1,1,1,4,5,1,2,1,2,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Intestine-Pancreas,,201,2,6,3,8,3,7,6,5,4,3,8,9,8,5,6,12,18,9,10,4,9,17,5,9,7,6,5,4,0,1,0,1,0,1,0,0,0,0,0
Kidney-Intestine-Pancreas,,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Liver-Intestine,,468,0,1,1,0,1,0,0,1,3,0,2,2,0,2,1,4,3,8,10,32,32,35,45,20,23,34,35,25,27,29,22,20,14,12,12,8,4,0,0
Liver-Kidney-Intestine,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
VCA-Multiple VCA Organs,,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCA-Kidney,,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCA-Kidney-Pancreas,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liver-Intestine-Pancreas,,"1,283",4,37,39,31,27,36,35,35,51,55,58,67,69,50,38,39,53,71,86,89,64,47,49,31,32,27,10,9,13,10,6,2,2,7,3,1,0,0,0
VCA-Liver,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCA-Liver-Kidney,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liver-Kidney-Intestine-Pancreas,,137,0,5,6,3,3,2,6,4,7,2,7,2,3,6,4,7,8,9,7,14,7,7,1,1,0,1,1,3,2,5,2,1,0,1,0,0,0,0,0
VCA-Intestine,,8,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCA-Intestine-Pancreas,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
