id,type,name,state,region,total_inflow,total_outflow,total_flow,edge_count,lat,lon,coordinate_status,geocode_priority,geocode_query,notes
OHOU-TX1,transplant_center,Ohio State University Medical Center,Ohio,Region  11,530,0,530,46,,,missing,1,"Ohio State University Medical Center, Ohio (transplant center hospital)",
NYUC-TX1,transplant_center,NYU Langone Health,New York,Region  9,503,0,503,51,,,missing,1,"NYU Langone Health, New York (transplant center hospital)",
DCGU-TX1,transplant_center,Medstar Georgetown Transplant Institute,District of Columbia,Region  2,502,0,502,44,,,missing,1,"Medstar Georgetown Transplant Institute, District of Columbia (transplant center hospital)",
VAMC-TX1,transplant_center,"VCU Health System Authority, VCUMC",Virginia,Region  11,490,0,490,41,,,missing,1,"VCU Health System Authority, VCUMC, Virginia (transplant center hospital)",
FLSL-TX1,transplant_center,Mayo Clinic Hospital Florida,Florida,Region  3,470,0,470,46,,,missing,1,"Mayo Clinic Hospital Florida, Florida (transplant center hospital)",
WIUW-TX1,transplant_center,University of Wisconsin Hospital and Clinics,Wisconsin,Region  7,438,0,438,46,,,missing,1,"University of Wisconsin Hospital and Clinics, Wisconsin (transplant center hospital)",
NYCP-TX1,transplant_center,NY Presbyterian Hospital/Columbia Univ. Medical Center,New York,Region  9,424,0,424,51,,,missing,1,"NY Presbyterian Hospital/Columbia Univ. Medical Center, New York (transplant center hospital)",
FLUF-TX1,transplant_center,UF Health Shands Hospital,Florida,Region  3,406,0,406,33,,,missing,1,"UF Health Shands Hospital, Florida (transplant center hospital)",
MDJH-TX1,transplant_center,Johns Hopkins Hospital,Maryland,Region  2,397,0,397,42,,,missing,1,"Johns Hopkins Hospital, Maryland (transplant center hospital)",
NYNS-TX1,transplant_center,North Shore University Hospital/Northwell Health,New York,Region  9,373,0,373,43,,,missing,1,"North Shore University Hospital/Northwell Health, New York (transplant center hospital)",
FLFH-TX1,transplant_center,AdventHealth Orlando,Florida,Region  3,351,0,351,35,,,missing,1,"AdventHealth Orlando, Florida (transplant center hospital)",
NCCM-TX1,transplant_center,Carolinas Medical Center,North Carolina,Region  11,334,0,334,33,,,missing,1,"Carolinas Medical Center, North Carolina (transplant center hospital)",
VAUV-TX1,transplant_center,University of Virginia Health Sciences Center,Virginia,Region  11,333,0,333,40,,,missing,1,"University of Virginia Health Sciences Center, Virginia (transplant center hospital)",
NYMA-TX1,transplant_center,Montefiore Medical Center,New York,Region  9,298,0,298,44,,,missing,1,"Montefiore Medical Center, New York (transplant center hospital)",
ILLU-TX1,transplant_center,Loyola University Medical Center,Illinois,Region  7,295,0,295,38,,,missing,1,"Loyola University Medical Center, Illinois (transplant center hospital)",
NJSB-TX1,transplant_center,Saint Barnabas Medical Center,New Jersey,Region  2,295,0,295,39,,,missing,1,"Saint Barnabas Medical Center, New Jersey (transplant center hospital)",
TXBC-TX1,transplant_center,"University Hospital, University of Texas Health Science Center",Texas,Region  4,288,0,288,36,,,missing,1,"University Hospital, University of Texas Health Science Center, Texas (transplant center hospital)",
OHUH-TX1,transplant_center,University Hospitals of Cleveland,Ohio,Region  11,265,0,265,32,,,missing,1,"University Hospitals of Cleveland, Ohio (transplant center hospital)",
OHUC-TX1,transplant_center,University of Cincinnati  Medical Center,Ohio,Region  11,259,0,259,32,,,missing,1,"University of Cincinnati  Medical Center, Ohio (transplant center hospital)",
NYNY-TX1,transplant_center,New York-Presbyterian Hospital/Weill Cornell Medical Center,New York,Region  9,251,0,251,29,,,missing,1,"New York-Presbyterian Hospital/Weill Cornell Medical Center, New York (transplant center hospital)",
PAPT-TX1,transplant_center,University of Pittsburgh Medical Center,Pennsylvania,Region  2,248,0,248,40,,,missing,1,"University of Pittsburgh Medical Center, Pennsylvania (transplant center hospital)",
FLCC-TX1,transplant_center,Cleveland Clinic Florida Weston,Florida,Region  3,247,0,247,18,,,missing,1,"Cleveland Clinic Florida Weston, Florida (transplant center hospital)",
ILUI-TX1,transplant_center,University of Illinois Medical Center,Illinois,Region  7,246,0,246,27,,,missing,1,"University of Illinois Medical Center, Illinois (transplant center hospital)",
NJHK-TX1,transplant_center,Hackensack University Medical Center,New Jersey,Region  2,246,0,246,38,,,missing,1,"Hackensack University Medical Center, New Jersey (transplant center hospital)",
