id,type,name,state,region,total_inflow,total_outflow,total_flow,edge_count,lat,lon,coordinate_status,geocode_priority,geocode_query,notes
NYRT-OP1,source_dsa,LiveOnNY,New York,Region  9,0,1234,1234,103,,,missing,1,"LiveOnNY, New York (organ procurement)",
PATF-OP1,source_dsa,Center for Organ Recovery and Education,West Virginia,Region  2,0,1093,1093,123,,,missing,1,"Center for Organ Recovery and Education, West Virginia (organ procurement)",
KYDA-OP1,source_dsa,Network for Hope,Ohio,Region  11,0,798,798,110,,,missing,1,"Network for Hope, Ohio (organ procurement)",
FLUF-IO1,source_dsa,LifeQuest Organ Recovery Services,Florida,Region  3,0,772,772,81,,,missing,1,"LifeQuest Organ Recovery Services, Florida (organ procurement)",
VATB-OP1,source_dsa,LifeNet Health,Virginia,Region  11,0,690,690,102,,,missing,1,"LifeNet Health, Virginia (organ procurement)",
MDPC-OP1,source_dsa,Infinite Legacy,Virginia,Region  11,0,687,687,100,,,missing,1,"Infinite Legacy, Virginia (organ procurement)",
NVLV-OP1,source_dsa,Nevada Donor Network,Nevada,Region  5,0,679,679,75,,,missing,1,"Nevada Donor Network, Nevada (organ procurement)",
NJTO-OP1,source_dsa,New Jersey Organ and Tissue Sharing Network OPO,New Jersey,Region  2,0,657,657,96,,,missing,1,"New Jersey Organ and Tissue Sharing Network OPO, New Jersey (organ procurement)",
ORUO-IO1,source_dsa,Cascade Life Alliance,Oregon,Region  6,0,623,623,78,,,missing,1,"Cascade Life Alliance, Oregon (organ procurement)",
OKOP-OP1,source_dsa,LifeShare Transplant Donor Services of Oklahoma,Oklahoma,Region  4,0,618,618,95,,,missing,1,"LifeShare Transplant Donor Services of Oklahoma, Oklahoma (organ procurement)",
NCCM-IO1,source_dsa,LifeShare Carolinas,North Carolina,Region  11,0,590,590,92,,,missing,1,"LifeShare Carolinas, North Carolina (organ procurement)",
FLFH-IO1,source_dsa,OurLegacy,Florida,Region  3,0,556,556,78,,,missing,1,"OurLegacy, Florida (organ procurement)",
OHOU-TX1,transplant_center,Ohio State University Medical Center,Ohio,Region  11,530,0,530,46,,,missing,1,"Ohio State University Medical Center, Ohio (transplant center hospital)",
WIUW-IO1,source_dsa,UW Health Organ and Tissue Donation,Wisconsin,Region  7,0,530,530,92,,,missing,1,"UW Health Organ and Tissue Donation, Wisconsin (organ procurement)",
NYUC-TX1,transplant_center,NYU Langone Health,New York,Region  9,503,0,503,51,,,missing,1,"NYU Langone Health, New York (transplant center hospital)",
DCGU-TX1,transplant_center,Medstar Georgetown Transplant Institute,District of Columbia,Region  2,502,0,502,44,,,missing,1,"Medstar Georgetown Transplant Institute, District of Columbia (transplant center hospital)",
VAMC-TX1,transplant_center,"VCU Health System Authority, VCUMC",Virginia,Region  11,490,0,490,41,,,missing,1,"VCU Health System Authority, VCUMC, Virginia (transplant center hospital)",
FLSL-TX1,transplant_center,Mayo Clinic Hospital Florida,Florida,Region  3,470,0,470,46,,,missing,1,"Mayo Clinic Hospital Florida, Florida (transplant center hospital)",
CASD-IO1,source_dsa,Lifesharing - A Donate Life Organization,California,Region  5,0,463,463,62,,,missing,1,"Lifesharing - A Donate Life Organization, California (organ procurement)",
WIUW-TX1,transplant_center,University of Wisconsin Hospital and Clinics,Wisconsin,Region  7,438,0,438,46,,,missing,1,"University of Wisconsin Hospital and Clinics, Wisconsin (transplant center hospital)",
NYCP-TX1,transplant_center,NY Presbyterian Hospital/Columbia Univ. Medical Center,New York,Region  9,424,0,424,51,,,missing,1,"NY Presbyterian Hospital/Columbia Univ. Medical Center, New York (transplant center hospital)",
OHLC-OP1,source_dsa,Life Connection of Ohio,Ohio,Region  11,0,409,409,90,,,missing,1,"Life Connection of Ohio, Ohio (organ procurement)",
FLUF-TX1,transplant_center,UF Health Shands Hospital,Florida,Region  3,406,0,406,33,,,missing,1,"UF Health Shands Hospital, Florida (transplant center hospital)",
AROR-OP1,source_dsa,Southern Legacy of Life,Arkansas,Region  3,0,400,400,77,,,missing,1,"Southern Legacy of Life, Arkansas (organ procurement)",
MDJH-TX1,transplant_center,Johns Hopkins Hospital,Maryland,Region  2,397,0,397,42,,,missing,1,"Johns Hopkins Hospital, Maryland (transplant center hospital)",
OHLP-OP1,source_dsa,Lifeline of Ohio,Ohio,Region  11,0,382,382,77,,,missing,1,"Lifeline of Ohio, Ohio (organ procurement)",
CAGS-OP1,source_dsa,Sierra Donor Services,California,Region  5,0,377,377,55,,,missing,1,"Sierra Donor Services, California (organ procurement)",
NYNS-TX1,transplant_center,North Shore University Hospital/Northwell Health,New York,Region  9,373,0,373,43,,,missing,1,"North Shore University Hospital/Northwell Health, New York (transplant center hospital)",
FLFH-TX1,transplant_center,AdventHealth Orlando,Florida,Region  3,351,0,351,35,,,missing,1,"AdventHealth Orlando, Florida (transplant center hospital)",
NYAP-OP1,source_dsa,Center for Donation and Transplant,New York,Region  9,0,346,346,71,,,missing,1,"Center for Donation and Transplant, New York (organ procurement)",
IAOP-OP1,source_dsa,Iowa Donor Network,Iowa,Region  8,0,338,338,77,,,missing,1,"Iowa Donor Network, Iowa (organ procurement)",
NCCM-TX1,transplant_center,Carolinas Medical Center,North Carolina,Region  11,334,0,334,33,,,missing,1,"Carolinas Medical Center, North Carolina (transplant center hospital)",
VAUV-TX1,transplant_center,University of Virginia Health Sciences Center,Virginia,Region  11,333,0,333,40,,,missing,1,"University of Virginia Health Sciences Center, Virginia (transplant center hospital)",
WIDN-OP1,source_dsa,"Versiti Blood Health, Inc.",Wisconsin,Region  7,0,317,317,71,,,missing,1,"Versiti Blood Health, Inc., Wisconsin (organ procurement)",
MSOP-OP1,source_dsa,Mississippi Organ Recovery Agency,Mississippi,Region  3,0,314,314,82,,,missing,1,"Mississippi Organ Recovery Agency, Mississippi (organ procurement)",
NYMA-TX1,transplant_center,Montefiore Medical Center,New York,Region  9,298,0,298,44,,,missing,1,"Montefiore Medical Center, New York (transplant center hospital)",
ILLU-TX1,transplant_center,Loyola University Medical Center,Illinois,Region  7,295,0,295,38,,,missing,1,"Loyola University Medical Center, Illinois (transplant center hospital)",
NJSB-TX1,transplant_center,Saint Barnabas Medical Center,New Jersey,Region  2,295,0,295,39,,,missing,1,"Saint Barnabas Medical Center, New Jersey (transplant center hospital)",
TXBC-TX1,transplant_center,"University Hospital, University of Texas Health Science Center",Texas,Region  4,288,0,288,36,,,missing,1,"University Hospital, University of Texas Health Science Center, Texas (transplant center hospital)",
