id,type,name,state,region,lat,lon,notes
MAOB-OP1,source_dsa,New England Organ Bank,Rhode Island,Region  1,41.6809,-71.5118,
ILIP-OP1,source_dsa,Gift of Hope Organ & Tissue Donor Network,Illinois,Region  7,40.3495,-88.9861,
INOP-OP1,source_dsa,Indiana Donor Network,Indiana,Region  10,39.8494,-86.2583,
NYRT-OP1,source_dsa,LiveOnNY,New York,Region  9,,,
PATF-OP1,source_dsa,Center for Organ Recovery and Education,West Virginia,Region  2,,,
MIOP-OP1,source_dsa,Gift of Life Michigan,Michigan,Region  10,43.3266,-84.5361,
MWOB-OP1,source_dsa,Midwest Transplant Network,Missouri,Region  8,38.4561,-92.2884,
FLWC-OP1,source_dsa,LifeLink of Florida,Florida,Region  3,27.7663,-81.6868,
LAOP-OP1,source_dsa,Louisiana Organ Procurement Agency,Louisiana,Region  3,31.1695,-91.8678,
TNVU-TX1,transplant_center,Vanderbilt University Medical Center,Tennessee,Region  11,35.7478,-86.6923,
NCNC-OP1,source_dsa,HonorBridge,North Carolina,Region  11,35.6301,-79.8064,
OHCC-TX1,transplant_center,The Cleveland Clinic Foundation,Ohio,Region  11,40.3888,-82.7649,
KYDA-OP1,source_dsa,Network for Hope,Ohio,Region  11,,,
FLUF-IO1,source_dsa,LifeQuest Organ Recovery Services,Florida,Region  3,,,
FLTG-TX1,transplant_center,Tampa General Hospital,Florida,Region  3,27.7663,-81.6868,
MOMA-OP1,source_dsa,Mid-America Transplant Services,Missouri,Region  8,38.4561,-92.2884,
SCOP-OP1,source_dsa,We Are Sharing Hope SC,South Carolina,Region  11,33.8569,-80.945,
TXSA-OP1,source_dsa,Texas Organ Sharing Alliance,Texas,Region  4,31.0545,-97.5635,
VATB-OP1,source_dsa,LifeNet Health,Virginia,Region  11,,,
MDPC-OP1,source_dsa,Infinite Legacy,Virginia,Region  11,,,
NVLV-OP1,source_dsa,Nevada Donor Network,Nevada,Region  5,,,
NJTO-OP1,source_dsa,New Jersey Organ and Tissue Sharing Network OPO,New Jersey,Region  2,,,
FLMP-OP1,source_dsa,South Florida Donor Network,Florida,Region  3,27.7663,-81.6868,
ORUO-IO1,source_dsa,Cascade Life Alliance,Oregon,Region  6,,,
CAUC-TX1,transplant_center,University of California at Los Angeles Medical Center,California,Region  5,36.1162,-119.6816,
OKOP-OP1,source_dsa,LifeShare Transplant Donor Services of Oklahoma,Oklahoma,Region  4,,,
SCMU-TX1,transplant_center,Medical University of South Carolina,South Carolina,Region  11,33.8569,-80.945,
NCDU-TX1,transplant_center,Duke University Hospital,North Carolina,Region  11,35.6301,-79.8064,
CACS-TX1,transplant_center,Cedars-Sinai Medical Center,California,Region  5,36.1162,-119.6816,
ILNM-TX1,transplant_center,Northwestern Memorial Hospital,Illinois,Region  7,40.3495,-88.9861,
NCCM-IO1,source_dsa,LifeShare Carolinas,North Carolina,Region  11,,,
ALOB-OP1,source_dsa,Legacy of Hope,Alabama,Region  3,32.8067,-86.7911,
OHLB-OP1,source_dsa,Lifebanc,Ohio,Region  11,40.3888,-82.7649,
GAPH-TX1,transplant_center,Piedmont Hospital,Georgia,Region  3,33.0406,-83.6431,
FLFH-IO1,source_dsa,OurLegacy,Florida,Region  3,,,
MOBH-TX1,transplant_center,Barnes-Jewish Hospital,Missouri,Region  8,38.4561,-92.2884,
CASF-TX1,transplant_center,University of California San Francisco Medical Center,California,Region  5,36.1162,-119.6816,
OHOU-TX1,transplant_center,Ohio State University Medical Center,Ohio,Region  11,,,
WIUW-IO1,source_dsa,UW Health Organ and Tissue Donation,Wisconsin,Region  7,,,
PAUP-TX1,transplant_center,Hospital of the University of Pennsylvania,Pennsylvania,Region  2,40.5908,-77.2098,
NYUC-TX1,transplant_center,NYU Langone Health,New York,Region  9,,,
DCGU-TX1,transplant_center,Medstar Georgetown Transplant Institute,District of Columbia,Region  2,,,
NYMS-TX1,transplant_center,Mount Sinai Medical Center,New York,Region  9,42.1657,-74.9481,
MAMG-TX1,transplant_center,Massachusetts General Hospital,Massachusetts,Region  1,42.2302,-71.5301,
