destination_center_id,total_inflow
TNVU-TX1,893
AZMC-TX1,806
OHCC-TX1,803
FLTG-TX1,760
GAEM-TX1,724
TXMH-TX1,689
CAUC-TX1,620
SCMU-TX1,612
NCDU-TX1,611
CACS-TX1,597
ILNM-TX1,592
GAPH-TX1,565
MOBH-TX1,551
CASF-TX1,548
OHOU-TX1,530
PAUP-TX1,523
NYUC-TX1,503
DCGU-TX1,502
NYMS-TX1,496
MAMG-TX1,495
FLJM-TX1,490
VAMC-TX1,490
FLSL-TX1,470
CASD-TX1,445
UTLD-TX1,438
WIUW-TX1,438
COUC-TX1,435
INIM-TX1,429
MIUM-TX1,425
MNMC-TX1,425
NYCP-TX1,424
CASU-TX1,419
TXSP-TX1,409
FLUF-TX1,406
ALUA-TX1,401
TXTX-TX1,400
MDJH-TX1,397
MNUM-TX1,397
WAUW-TX1,395
TXHI-TX1,374
NYNS-TX1,373
NEUN-TX1,353
FLFH-TX1,351
ILUC-TX1,344
NCCM-TX1,334
VAUV-TX1,333
LAOF-TX1,329
MIHF-TX1,325
CALL-TX1,324
CAUH-TX1,322
TXHS-TX1,321
CAPM-TX1,312
NYMA-TX1,298
ILLU-TX1,295
NJSB-TX1,295
TXBC-TX1,288
OHUH-TX1,265
OHUC-TX1,259
UTMC-TX1,257
CASM-TX1,253
NYNY-TX1,251
PAPT-TX1,248
FLCC-TX1,247
ILUI-TX1,246
NJHK-TX1,246
NCMH-TX1,242
VAFH-TX1,242
KSUK-TX1,238
PATU-TX1,230
WISE-TX1,226
TXHD-TX1,218
WASM-TX1,216
ORUO-TX1,214
MDUM-TX1,212
CAIM-TX1,210
MABI-TX1,210
TNMH-TX1,210
TXMC-TX1,202
OKBC-TX1,201
ARUA-TX1,199
KYUK-TX1,196
OHCO-TX1,189
TNST-TX1,185
PATJ-TX1,184
NCBG-TX1,182
NVUM-TX1,179
LATU-TX1,177
NYFL-TX1,173
FLMR-TX1,170
NYWC-TX1,168
MSUM-TX1,167
AZGS-TX1,165
ILPL-TX1,164
MANM-TX1,160
PAAG-TX1,155
MAUM-TX1,154
MALC-TX1,152
AZSJ-TX1,144
CTYN-TX1,137
MAPB-TX1,134
PAAE-TX1,133
PALV-TX1,133
TXTC-TX1,133
CTHH-TX1,130
NJLL-TX1,130
SCPG-TX1,129
KYJH-TX1,127
FLLM-TX1,121
MOLH-TX1,118
SCLA-TX1,117
TXAS-TX1,114
HIQM-TX1,112
MIBH-TX1,109
NYEC-TX1,107
ILVA-TX1,105
COPM-TX1,104
IAIV-TX1,103
MISH-TX1,103
NJRW-TX1,101
PRSJ-TX1,94
MOSL-TX1,93
VANG-TX1,93
TXDR-TX1,90
WASH-TX1,90
CASH-TX1,86
LAWK-TX1,86
INSV-TX1,85
NCEC-TX1,85
TXPL-TX1,85
TXSW-TX1,85
COSL-TX1,82
WISL-TX1,82
WVCA-TX1,79
WAVM-TX1,78
PAGM-TX1,77
ORGS-TX1,74
CASJ-TX1,72
OKMD-TX1,71
MISM-TX1,68
MORH-TX1,67
TXJS-TX1,66
DCGW-TX1,65
ORVA-TX1,65
CAPC-TX1,62
GAMC-TX1,59
OHCM-TX1,57
TXCM-TX1,56
ILCH-TX1,55
NYUM-TX1,55
ILCM-TX1,54
TNUK-TX1,54
OHTC-TX1,53
CACL-TX1,52
TXHH-TX1,52
PACH-TX1,51
PAVA-TX1,51
AZUA-TX1,50
CALA-TX1,50
MOCH-TX1,49
TXFW-TX1,49
TXVA-TX1,49
NYSB-TX1,47
DECC-TX1,46
GAEH-TX1,45
ILSF-TX1,44
WACH-TX1,42
MACH-TX1,41
TXLP-TX1,41
CAGH-TX1,40
PAHH-TX1,40
NJBI-TX1,39
MNHC-TX1,38
NJUH-TX1,38
UTPC-TX1,38
PACP-TX1,37
IAIM-TX1,36
NYDS-TX1,36
DCWH-TX1,35
OHCH-TX1,34
OKSJ-TX1,34
TXPM-TX1,33
NDSL-TX1,31
COCH-TX1,30
NYAM-TX1,30
RIRH-TX1,30
MABS-TX1,28
NMPH-TX1,28
FLSH-TX1,27
MISJ-TX1,26
MNAN-TX1,26
TNEM-TX1,26
AZCH-TX1,25
NMAQ-TX1,25
ALCH-TX1,24
VAHD-TX1,23
MABU-TX1,21
MEMC-TX1,20
MOCM-TX1,20
CAMB-TX1,19
DCWR-TX1,19
ILMM-TX1,19
SDMK-TX1,19
SDSV-TX1,19
WVWU-TX1,19
CACH-TX1,17
WICH-TX1,17
TNLB-TX1,16
TXDM-TX1,16
NHDH-TX1,14
NYVA-TX1,14
TXUC-TX1,14
CASG-TX1,13
MICH-TX1,13
ORSV-TX1,13
PAHE-TX1,13
SCCH-TX1,13
MOUM-TX1,12
DCCH-TX1,11
LACH-TX1,11
NYCC-TX1,11
KYKC-TX1,10
TXDL-TX1,10
ARBH-TX1,9
TNBM-TX1,9
TXLM-TX1,9
DEAI-TX1,8
FLHM-TX1,8
MOCG-TX1,8
NDMC-TX1,8
FLJD-TX1,7
TXCT-TX1,7
TXDS-TX1,7
ARCH-TX1,6
PAPH-TX1,6
TXCF-TX1,6
TXDC-TX1,6
IAVA-TX1,5
MIDV-TX1,3
NECH-TX1,3
ALVA-TX1,2
FLAC-TX1,2
OKCM-TX1,2
PRCC-TX1,2
MNCM-TX1,1
PASC-TX1,1
VACH-TX1,1
