source_dsa_id,destination_center_id,flow_count
ALOB-OP1,ALCH-TX1,4
FLFH-IO1,ALCH-TX1,2
FLUF-IO1,ALCH-TX1,3
FLWC-OP1,ALCH-TX1,1
GALL-OP1,ALCH-TX1,5
ILIP-OP1,ALCH-TX1,2
LAOP-OP1,ALCH-TX1,3
MSOP-OP1,ALCH-TX1,1
TNDS-OP1,ALCH-TX1,2
TXGC-OP1,ALCH-TX1,1
ALOB-OP1,ALUA-TX1,107
AROR-OP1,ALUA-TX1,3
CAOP-OP1,ALUA-TX1,3
CORS-OP1,ALUA-TX1,1
FLFH-IO1,ALUA-TX1,4
FLMP-OP1,ALUA-TX1,3
FLUF-IO1,ALUA-TX1,21
FLWC-OP1,ALUA-TX1,9
GALL-OP1,ALUA-TX1,60
HIOP-OP1,ALUA-TX1,1
ILIP-OP1,ALUA-TX1,7
INOP-OP1,ALUA-TX1,1
KYDA-OP1,ALUA-TX1,3
LAOP-OP1,ALUA-TX1,8
MDPC-OP1,ALUA-TX1,2
MIOP-OP1,ALUA-TX1,3
MNOP-OP1,ALUA-TX1,2
MOMA-OP1,ALUA-TX1,5
MSOP-OP1,ALUA-TX1,21
MWOB-OP1,ALUA-TX1,3
NCCM-IO1,ALUA-TX1,7
NCNC-OP1,ALUA-TX1,3
NJTO-OP1,ALUA-TX1,1
OHLC-OP1,ALUA-TX1,3
OKOP-OP1,ALUA-TX1,7
PADV-OP1,ALUA-TX1,3
PATF-OP1,ALUA-TX1,3
PRLL-OP1,ALUA-TX1,3
SCOP-OP1,ALUA-TX1,9
TNDS-OP1,ALUA-TX1,50
TNMS-OP1,ALUA-TX1,20
TXGC-OP1,ALUA-TX1,6
TXSA-OP1,ALUA-TX1,3
TXSB-OP1,ALUA-TX1,8
UTOP-OP1,ALUA-TX1,1
VATB-OP1,ALUA-TX1,3
WALC-OP1,ALUA-TX1,1
WIDN-OP1,ALUA-TX1,1
WIUW-IO1,ALUA-TX1,2
ALOB-OP1,ALVA-TX1,2
FLUF-IO1,ARBH-TX1,1
IAOP-OP1,ARBH-TX1,1
MSOP-OP1,ARBH-TX1,1
OKOP-OP1,ARBH-TX1,2
TXSA-OP1,ARBH-TX1,1
TXSB-OP1,ARBH-TX1,3
AROR-OP1,ARCH-TX1,1
ILIP-OP1,ARCH-TX1,1
SCOP-OP1,ARCH-TX1,1
TNDS-OP1,ARCH-TX1,1
TNMS-OP1,ARCH-TX1,1
TXSB-OP1,ARCH-TX1,1
ALOB-OP1,ARUA-TX1,3
AROR-OP1,ARUA-TX1,82
AZOB-OP1,ARUA-TX1,1
FLFH-IO1,ARUA-TX1,1
FLUF-IO1,ARUA-TX1,1
FLWC-OP1,ARUA-TX1,2
GALL-OP1,ARUA-TX1,1
HIOP-OP1,ARUA-TX1,1
ILIP-OP1,ARUA-TX1,1
INOP-OP1,ARUA-TX1,3
KYDA-OP1,ARUA-TX1,4
LAOP-OP1,ARUA-TX1,4
MDPC-OP1,ARUA-TX1,1
MIOP-OP1,ARUA-TX1,1
MNOP-OP1,ARUA-TX1,2
MOMA-OP1,ARUA-TX1,15
MSOP-OP1,ARUA-TX1,5
MWOB-OP1,ARUA-TX1,13
NCCM-IO1,ARUA-TX1,1
NEOR-OP1,ARUA-TX1,3
NJTO-OP1,ARUA-TX1,1
NMOP-OP1,ARUA-TX1,2
NYWN-OP1,ARUA-TX1,1
