source_dsa_id,destination_center_id,flow_count
ALOB-OP1,ALCH-TX1,3
FLUF-IO1,ALCH-TX1,2
GALL-OP1,ALCH-TX1,5
LAOP-OP1,ALCH-TX1,2
MSOP-OP1,ALCH-TX1,1
TNDS-OP1,ALCH-TX1,1
ALOB-OP1,ALUA-TX1,55
CAOP-OP1,ALUA-TX1,3
FLFH-IO1,ALUA-TX1,1
FLMP-OP1,ALUA-TX1,1
FLUF-IO1,ALUA-TX1,9
FLWC-OP1,ALUA-TX1,1
GALL-OP1,ALUA-TX1,27
HIOP-OP1,ALUA-TX1,1
ILIP-OP1,ALUA-TX1,1
KYDA-OP1,ALUA-TX1,1
LAOP-OP1,ALUA-TX1,1
MDPC-OP1,ALUA-TX1,1
MIOP-OP1,ALUA-TX1,2
MSOP-OP1,ALUA-TX1,13
NCCM-IO1,ALUA-TX1,3
NJTO-OP1,ALUA-TX1,1
OKOP-OP1,ALUA-TX1,4
PADV-OP1,ALUA-TX1,1
PATF-OP1,ALUA-TX1,1
PRLL-OP1,ALUA-TX1,2
SCOP-OP1,ALUA-TX1,5
TNDS-OP1,ALUA-TX1,33
TNMS-OP1,ALUA-TX1,12
TXGC-OP1,ALUA-TX1,2
TXSA-OP1,ALUA-TX1,1
UTOP-OP1,ALUA-TX1,1
VATB-OP1,ALUA-TX1,1
WALC-OP1,ALUA-TX1,1
WIUW-IO1,ALUA-TX1,1
ALOB-OP1,ALVA-TX1,2
AROR-OP1,ARCH-TX1,1
TNMS-OP1,ARCH-TX1,1
ALOB-OP1,ARUA-TX1,2
AROR-OP1,ARUA-TX1,60
AZOB-OP1,ARUA-TX1,1
FLFH-IO1,ARUA-TX1,1
FLWC-OP1,ARUA-TX1,2
GALL-OP1,ARUA-TX1,1
HIOP-OP1,ARUA-TX1,1
INOP-OP1,ARUA-TX1,2
KYDA-OP1,ARUA-TX1,3
LAOP-OP1,ARUA-TX1,2
MDPC-OP1,ARUA-TX1,1
MIOP-OP1,ARUA-TX1,1
MNOP-OP1,ARUA-TX1,2
MOMA-OP1,ARUA-TX1,14
MSOP-OP1,ARUA-TX1,3
MWOB-OP1,ARUA-TX1,11
NCCM-IO1,ARUA-TX1,1
NEOR-OP1,ARUA-TX1,1
NJTO-OP1,ARUA-TX1,1
NMOP-OP1,ARUA-TX1,2
NYWN-OP1,ARUA-TX1,1
OKOP-OP1,ARUA-TX1,16
SCOP-OP1,ARUA-TX1,1
TNDS-OP1,ARUA-TX1,3
TNMS-OP1,ARUA-TX1,6
TXGC-OP1,ARUA-TX1,3
TXSB-OP1,ARUA-TX1,3
WALC-OP1,ARUA-TX1,4
WIUW-IO1,ARUA-TX1,1
AZOB-OP1,AZCH-TX1,6
CAOP-OP1,AZCH-TX1,1
NVLV-OP1,AZCH-TX1,2
AZOB-OP1,AZGS-TX1,52
CAOP-OP1,AZGS-TX1,1
IAOP-OP1,AZGS-TX1,1
MNOP-OP1,AZGS-TX1,1
NVLV-OP1,AZGS-TX1,3
TXSA-OP1,AZGS-TX1,1
WALC-OP1,AZGS-TX1,1
WIDN-OP1,AZGS-TX1,1
ALOB-OP1,AZMC-TX1,1
AROR-OP1,AZMC-TX1,2
AZOB-OP1,AZMC-TX1,262
CADN-OP1,AZMC-TX1,1
CAGS-OP1,AZMC-TX1,3
CAOP-OP1,AZMC-TX1,13
CASD-IO1,AZMC-TX1,5
CORS-OP1,AZMC-TX1,11
FLFH-IO1,AZMC-TX1,1
FLUF-IO1,AZMC-TX1,1
FLWC-OP1,AZMC-TX1,2
GALL-OP1,AZMC-TX1,1
HIOP-OP1,AZMC-TX1,1
