source_dsa_id,destination_center_id,flow_count
ALOB-OP1,ALUA-TX1,2
GALL-OP1,ALUA-TX1,1
MSOP-OP1,ALUA-TX1,2
TNDS-OP1,ALUA-TX1,2
TNMS-OP1,ALUA-TX1,1
AROR-OP1,ARUA-TX1,1
AZOB-OP1,AZGS-TX1,2
NMOP-OP1,AZGS-TX1,1
AZOB-OP1,AZMC-TX1,29
CAGS-OP1,AZMC-TX1,2
CASD-IO1,AZMC-TX1,2
CORS-OP1,AZMC-TX1,4
MOMA-OP1,AZMC-TX1,1
NMOP-OP1,AZMC-TX1,3
NVLV-OP1,AZMC-TX1,1
ORUO-IO1,AZMC-TX1,1
TXSB-OP1,AZMC-TX1,3
UTOP-OP1,AZMC-TX1,4
WALC-OP1,AZMC-TX1,2
AZOB-OP1,AZUA-TX1,1
CAOP-OP1,CACS-TX1,1
CASD-IO1,CAGH-TX1,1
CAOP-OP1,CAIM-TX1,4
AZOB-OP1,CALL-TX1,1
CADN-OP1,CALL-TX1,3
CAOP-OP1,CALL-TX1,3
CASD-IO1,CALL-TX1,1
NVLV-OP1,CALL-TX1,3
TXGC-OP1,CALL-TX1,1
WALC-OP1,CALL-TX1,3
CADN-OP1,CAPM-TX1,9
MOMA-OP1,CAPM-TX1,1
NVLV-OP1,CAPM-TX1,1
ORUO-IO1,CAPM-TX1,1
WALC-OP1,CAPM-TX1,1
CADN-OP1,CASF-TX1,4
CAGS-OP1,CASF-TX1,4
CORS-OP1,CASF-TX1,1
CASD-IO1,CASH-TX1,1
CAOP-OP1,CASJ-TX1,3
CAGS-OP1,CASU-TX1,1
CASD-IO1,CAUH-TX1,1
CORS-OP1,COUC-TX1,5
NEOR-OP1,COUC-TX1,1
ALOB-OP1,DCGU-TX1,3
AZOB-OP1,DCGU-TX1,1
GALL-OP1,DCGU-TX1,2
KYDA-OP1,DCGU-TX1,1
LAOP-OP1,DCGU-TX1,2
MDPC-OP1,DCGU-TX1,2
MIOP-OP1,DCGU-TX1,5
MNOP-OP1,DCGU-TX1,1
MOMA-OP1,DCGU-TX1,1
NCNC-OP1,DCGU-TX1,1
