source_dsa_id,destination_center_id,flow_count
FLWC-OP1,ALCH-TX1,1
ILIP-OP1,ALCH-TX1,1
ALOB-OP1,ALUA-TX1,41
AROR-OP1,ALUA-TX1,2
CORS-OP1,ALUA-TX1,1
FLFH-IO1,ALUA-TX1,2
FLMP-OP1,ALUA-TX1,2
FLUF-IO1,ALUA-TX1,11
FLWC-OP1,ALUA-TX1,3
GALL-OP1,ALUA-TX1,27
ILIP-OP1,ALUA-TX1,4
INOP-OP1,ALUA-TX1,1
KYDA-OP1,ALUA-TX1,2
LAOP-OP1,ALUA-TX1,7
MDPC-OP1,ALUA-TX1,1
MOMA-OP1,ALUA-TX1,2
MSOP-OP1,ALUA-TX1,5
MWOB-OP1,ALUA-TX1,1
NCCM-IO1,ALUA-TX1,4
OHLC-OP1,ALUA-TX1,1
OKOP-OP1,ALUA-TX1,2
PADV-OP1,ALUA-TX1,1
PRLL-OP1,ALUA-TX1,1
SCOP-OP1,ALUA-TX1,3
TNDS-OP1,ALUA-TX1,12
TNMS-OP1,ALUA-TX1,7
TXGC-OP1,ALUA-TX1,2
TXSB-OP1,ALUA-TX1,6
VATB-OP1,ALUA-TX1,2
ALOB-OP1,ARUA-TX1,1
AROR-OP1,ARUA-TX1,21
FLUF-IO1,ARUA-TX1,1
ILIP-OP1,ARUA-TX1,1
INOP-OP1,ARUA-TX1,1
KYDA-OP1,ARUA-TX1,1
LAOP-OP1,ARUA-TX1,2
MOMA-OP1,ARUA-TX1,1
MSOP-OP1,ARUA-TX1,2
MWOB-OP1,ARUA-TX1,2
NEOR-OP1,ARUA-TX1,2
OKOP-OP1,ARUA-TX1,1
TNDS-OP1,ARUA-TX1,1
TNMS-OP1,ARUA-TX1,8
TXGC-OP1,ARUA-TX1,2
TXSA-OP1,ARUA-TX1,1
CORS-OP1,AZCH-TX1,1
NMOP-OP1,AZCH-TX1,1
NVLV-OP1,AZCH-TX1,1
UTOP-OP1,AZCH-TX1,1
AZOB-OP1,AZGS-TX1,29
CAOP-OP1,AZGS-TX1,10
CASD-IO1,AZGS-TX1,2
CORS-OP1,AZGS-TX1,2
NMOP-OP1,AZGS-TX1,4
NVLV-OP1,AZGS-TX1,9
ORUO-IO1,AZGS-TX1,2
TXSB-OP1,AZGS-TX1,1
UTOP-OP1,AZGS-TX1,7
WALC-OP1,AZGS-TX1,2
ALOB-OP1,AZMC-TX1,1
AZOB-OP1,AZMC-TX1,136
CADN-OP1,AZMC-TX1,10
CAGS-OP1,AZMC-TX1,6
CAOP-OP1,AZMC-TX1,19
CASD-IO1,AZMC-TX1,8
CORS-OP1,AZMC-TX1,17
IAOP-OP1,AZMC-TX1,1
ILIP-OP1,AZMC-TX1,6
KYDA-OP1,AZMC-TX1,1
MIOP-OP1,AZMC-TX1,2
MNOP-OP1,AZMC-TX1,9
NCNC-OP1,AZMC-TX1,1
NEOR-OP1,AZMC-TX1,2
NMOP-OP1,AZMC-TX1,28
NVLV-OP1,AZMC-TX1,17
ORUO-IO1,AZMC-TX1,6
TXGC-OP1,AZMC-TX1,3
TXSA-OP1,AZMC-TX1,3
TXSB-OP1,AZMC-TX1,8
UTOP-OP1,AZMC-TX1,17
WALC-OP1,AZMC-TX1,20
WIDN-OP1,AZMC-TX1,1
AZOB-OP1,AZSJ-TX1,14
CAOP-OP1,AZSJ-TX1,2
MWOB-OP1,AZSJ-TX1,1
NVLV-OP1,AZSJ-TX1,3
UTOP-OP1,AZSJ-TX1,1
AZOB-OP1,CACH-TX1,1
CAOP-OP1,CACH-TX1,3
NVLV-OP1,CACH-TX1,1
UTOP-OP1,CACH-TX1,1
AZOB-OP1,CACL-TX1,7
CADN-OP1,CACL-TX1,4
CAGS-OP1,CACL-TX1,1
CAOP-OP1,CACL-TX1,10
CASD-IO1,CACL-TX1,1
NVLV-OP1,CACL-TX1,3
UTOP-OP1,CACL-TX1,2
AZOB-OP1,CACS-TX1,19
CADN-OP1,CACS-TX1,16
CAGS-OP1,CACS-TX1,4
CAOP-OP1,CACS-TX1,64
CASD-IO1,CACS-TX1,13
NVLV-OP1,CACS-TX1,27
ORUO-IO1,CACS-TX1,1
UTOP-OP1,CACS-TX1,1
AZOB-OP1,CAGH-TX1,1
CADN-OP1,CAGH-TX1,1
CAOP-OP1,CAGH-TX1,7
CASD-IO1,CAGH-TX1,1
NVLV-OP1,CAGH-TX1,2
AZOB-OP1,CALL-TX1,8
CADN-OP1,CALL-TX1,3
CAGS-OP1,CALL-TX1,1
CAOP-OP1,CALL-TX1,65
CASD-IO1,CALL-TX1,1
NVLV-OP1,CALL-TX1,15
UTOP-OP1,CALL-TX1,4
AZOB-OP1,CAMB-TX1,1
CADN-OP1,CAMB-TX1,2
CAOP-OP1,CAMB-TX1,1
CASD-IO1,CAMB-TX1,1
AZOB-OP1,CAPC-TX1,1
CADN-OP1,CAPC-TX1,4
CAGS-OP1,CAPC-TX1,1
CAOP-OP1,CAPC-TX1,4
NVLV-OP1,CAPC-TX1,1
ORUO-IO1,CAPC-TX1,3
TXGC-OP1,CAPC-TX1,2
TXSA-OP1,CAPC-TX1,1
CADN-OP1,CAPM-TX1,64
CAGS-OP1,CAPM-TX1,9
CAOP-OP1,CAPM-TX1,8
CASD-IO1,CAPM-TX1,5
NVLV-OP1,CAPM-TX1,8
ORUO-IO1,CAPM-TX1,2
AROR-OP1,CASD-TX1,1
AZOB-OP1,CASD-TX1,13
CADN-OP1,CASD-TX1,13
CAGS-OP1,CASD-TX1,5
CAOP-OP1,CASD-TX1,68
CASD-IO1,CASD-TX1,39
CORS-OP1,CASD-TX1,2
MIOP-OP1,CASD-TX1,1
MSOP-OP1,CASD-TX1,1
NEOR-OP1,CASD-TX1,1
NVLV-OP1,CASD-TX1,16
ORUO-IO1,CASD-TX1,3
TXGC-OP1,CASD-TX1,1
TXSA-OP1,CASD-TX1,1
TXSB-OP1,CASD-TX1,2
WALC-OP1,CASD-TX1,8
CADN-OP1,CASF-TX1,67
CAGS-OP1,CASF-TX1,25
CAOP-OP1,CASF-TX1,23
CASD-IO1,CASF-TX1,7
NMOP-OP1,CASF-TX1,2
NVLV-OP1,CASF-TX1,10
ORUO-IO1,CASF-TX1,18
WALC-OP1,CASF-TX1,2
CADN-OP1,CASM-TX1,29
CAGS-OP1,CASM-TX1,11
CAOP-OP1,CASM-TX1,3
CASD-IO1,CASM-TX1,2
NVLV-OP1,CASM-TX1,6
ORUO-IO1,CASM-TX1,5
WALC-OP1,CASM-TX1,2
AZOB-OP1,CASU-TX1,2
CADN-OP1,CASU-TX1,58
CAGS-OP1,CASU-TX1,18
CAOP-OP1,CASU-TX1,35
CASD-IO1,CASU-TX1,7
NVLV-OP1,CASU-TX1,12
ORUO-IO1,CASU-TX1,13
TXSB-OP1,CASU-TX1,1
UTOP-OP1,CASU-TX1,2
WALC-OP1,CASU-TX1,7
AZOB-OP1,CAUC-TX1,20
CADN-OP1,CAUC-TX1,22
CAGS-OP1,CAUC-TX1,2
CAOP-OP1,CAUC-TX1,65
CASD-IO1,CAUC-TX1,15
NMOP-OP1,CAUC-TX1,1
NVLV-OP1,CAUC-TX1,17
UTOP-OP1,CAUC-TX1,2
AZOB-OP1,CAUH-TX1,20
CADN-OP1,CAUH-TX1,10
CAGS-OP1,CAUH-TX1,4
CAOP-OP1,CAUH-TX1,58
CASD-IO1,CAUH-TX1,10
NVLV-OP1,CAUH-TX1,20
UTOP-OP1,CAUH-TX1,3
CORS-OP1,COCH-TX1,3
MWOB-OP1,COCH-TX1,1
OKOP-OP1,COCH-TX1,1
UTOP-OP1,COCH-TX1,2
CORS-OP1,COPM-TX1,22
MNOP-OP1,COPM-TX1,1
MWOB-OP1,COPM-TX1,1
OKOP-OP1,COPM-TX1,3
TXGC-OP1,COPM-TX1,1
UTOP-OP1,COPM-TX1,1
CAOP-OP1,COSL-TX1,3
CORS-OP1,COSL-TX1,7
MAOB-OP1,COSL-TX1,4
MIOP-OP1,COSL-TX1,2
MNOP-OP1,COSL-TX1,2
MWOB-OP1,COSL-TX1,2
NCNC-OP1,COSL-TX1,2
NEOR-OP1,COSL-TX1,2
NYRT-OP1,COSL-TX1,3
OKOP-OP1,COSL-TX1,2
ORUO-IO1,COSL-TX1,1
TXSB-OP1,COSL-TX1,2
UTOP-OP1,COSL-TX1,1
WALC-OP1,COSL-TX1,5
AZOB-OP1,COUC-TX1,2
CADN-OP1,COUC-TX1,1
CORS-OP1,COUC-TX1,81
MNOP-OP1,COUC-TX1,2
MWOB-OP1,COUC-TX1,5
NEOR-OP1,COUC-TX1,1
NMOP-OP1,COUC-TX1,15
OKOP-OP1,COUC-TX1,4
TXGC-OP1,COUC-TX1,4
TXSB-OP1,COUC-TX1,6
UTOP-OP1,COUC-TX1,5
WALC-OP1,COUC-TX1,11
MAOB-OP1,CTHH-TX1,8
MIOP-OP1,CTHH-TX1,1
NJTO-OP1,CTHH-TX1,3
NYAP-OP1,CTHH-TX1,2
NYRT-OP1,CTHH-TX1,4
OHLP-OP1,CTHH-TX1,1
PADV-OP1,CTHH-TX1,6
PATF-OP1,CTHH-TX1,3
VATB-OP1,CTHH-TX1,2
MAOB-OP1,CTYN-TX1,18
MDPC-OP1,CTYN-TX1,1
MIOP-OP1,CTYN-TX1,1
NJTO-OP1,CTYN-TX1,4
NYAP-OP1,CTYN-TX1,3
NYRT-OP1,CTYN-TX1,3
PADV-OP1,CTYN-TX1,8
PATF-OP1,CTYN-TX1,2
GALL-OP1,DCGU-TX1,5
ILIP-OP1,DCGU-TX1,1
INOP-OP1,DCGU-TX1,7
KYDA-OP1,DCGU-TX1,3
LAOP-OP1,DCGU-TX1,1
MAOB-OP1,DCGU-TX1,2
MDPC-OP1,DCGU-TX1,27
MIOP-OP1,DCGU-TX1,2
MOMA-OP1,DCGU-TX1,2
NCCM-IO1,DCGU-TX1,2
NCNC-OP1,DCGU-TX1,5
NEOR-OP1,DCGU-TX1,2
NJTO-OP1,DCGU-TX1,8
NYAP-OP1,DCGU-TX1,2
NYFL-IO1,DCGU-TX1,1
NYRT-OP1,DCGU-TX1,3
NYWN-OP1,DCGU-TX1,1
OHLB-OP1,DCGU-TX1,1
OHLC-OP1,DCGU-TX1,1
PADV-OP1,DCGU-TX1,19
PATF-OP1,DCGU-TX1,10
SCOP-OP1,DCGU-TX1,4
TNDS-OP1,DCGU-TX1,4
TNMS-OP1,DCGU-TX1,1
TXGC-OP1,DCGU-TX1,1
TXSB-OP1,DCGU-TX1,1
VATB-OP1,DCGU-TX1,9
GALL-OP1,DCGW-TX1,3
INOP-OP1,DCGW-TX1,1
KYDA-OP1,DCGW-TX1,1
MDPC-OP1,DCGW-TX1,7
MIOP-OP1,DCGW-TX1,1
NCCM-IO1,DCGW-TX1,1
NCNC-OP1,DCGW-TX1,1
PADV-OP1,DCGW-TX1,3
PATF-OP1,DCGW-TX1,1
TNDS-OP1,DCGW-TX1,1
VATB-OP1,DCGW-TX1,3
NCNC-OP1,DEAI-TX1,1
OHLP-OP1,DEAI-TX1,1
VATB-OP1,DEAI-TX1,1
FLFH-IO1,FLCC-TX1,6
FLMP-OP1,FLCC-TX1,35
FLUF-IO1,FLCC-TX1,11
FLWC-OP1,FLCC-TX1,23
GALL-OP1,FLCC-TX1,4
ILIP-OP1,FLCC-TX1,1
NYRT-OP1,FLCC-TX1,1
PADV-OP1,FLCC-TX1,3
PRLL-OP1,FLCC-TX1,2
SCOP-OP1,FLCC-TX1,2
TXSA-OP1,FLCC-TX1,1
ALOB-OP1,FLFH-TX1,4
CORS-OP1,FLFH-TX1,1
FLFH-IO1,FLFH-TX1,39
FLMP-OP1,FLFH-TX1,9
FLUF-IO1,FLFH-TX1,16
FLWC-OP1,FLFH-TX1,32
GALL-OP1,FLFH-TX1,9
MSOP-OP1,FLFH-TX1,1
PRLL-OP1,FLFH-TX1,2
TNDS-OP1,FLFH-TX1,2
TNMS-OP1,FLFH-TX1,1
ALOB-OP1,FLJM-TX1,2
AROR-OP1,FLJM-TX1,1
AZOB-OP1,FLJM-TX1,1
FLFH-IO1,FLJM-TX1,17
FLMP-OP1,FLJM-TX1,50
FLUF-IO1,FLJM-TX1,12
FLWC-OP1,FLJM-TX1,15
GALL-OP1,FLJM-TX1,3
NCNC-OP1,FLJM-TX1,1
PRLL-OP1,FLJM-TX1,6
SCOP-OP1,FLJM-TX1,1
TNDS-OP1,FLJM-TX1,1
ALOB-OP1,FLLM-TX1,4
FLFH-IO1,FLLM-TX1,9
FLMP-OP1,FLLM-TX1,6
FLUF-IO1,FLLM-TX1,4
FLWC-OP1,FLLM-TX1,19
GALL-OP1,FLLM-TX1,5
LAOP-OP1,FLLM-TX1,2
NCNC-OP1,FLLM-TX1,1
PRLL-OP1,FLLM-TX1,1
SCOP-OP1,FLLM-TX1,2
TNDS-OP1,FLLM-TX1,1
TXSB-OP1,FLLM-TX1,1
ALOB-OP1,FLSL-TX1,3
CORS-OP1,FLSL-TX1,1
FLFH-IO1,FLSL-TX1,20
FLMP-OP1,FLSL-TX1,2
FLUF-IO1,FLSL-TX1,39
FLWC-OP1,FLSL-TX1,14
GALL-OP1,FLSL-TX1,17
INOP-OP1,FLSL-TX1,2
KYDA-OP1,FLSL-TX1,3
LAOP-OP1,FLSL-TX1,1
MAOB-OP1,FLSL-TX1,1
MDPC-OP1,FLSL-TX1,1
MIOP-OP1,FLSL-TX1,2
MNOP-OP1,FLSL-TX1,3
MSOP-OP1,FLSL-TX1,4
MWOB-OP1,FLSL-TX1,1
NCNC-OP1,FLSL-TX1,2
NVLV-OP1,FLSL-TX1,1
NYAP-OP1,FLSL-TX1,2
NYRT-OP1,FLSL-TX1,4
PADV-OP1,FLSL-TX1,3
PRLL-OP1,FLSL-TX1,1
SCOP-OP1,FLSL-TX1,13
TNDS-OP1,FLSL-TX1,7
TNMS-OP1,FLSL-TX1,1
TXGC-OP1,FLSL-TX1,1
TXSA-OP1,FLSL-TX1,2
TXSB-OP1,FLSL-TX1,5
WALC-OP1,FLSL-TX1,4
ALOB-OP1,FLTG-TX1,5
AZOB-OP1,FLTG-TX1,6
CAOP-OP1,FLTG-TX1,2
CORS-OP1,FLTG-TX1,1
FLFH-IO1,FLTG-TX1,17
FLMP-OP1,FLTG-TX1,26
FLUF-IO1,FLTG-TX1,31
FLWC-OP1,FLTG-TX1,90
GALL-OP1,FLTG-TX1,9
ILIP-OP1,FLTG-TX1,1
KYDA-OP1,FLTG-TX1,1
LAOP-OP1,FLTG-TX1,26
MOMA-OP1,FLTG-TX1,19
MSOP-OP1,FLTG-TX1,5
MWOB-OP1,FLTG-TX1,1
NCCM-IO1,FLTG-TX1,4
NJTO-OP1,FLTG-TX1,1
NYRT-OP1,FLTG-TX1,1
OHLC-OP1,FLTG-TX1,3
PRLL-OP1,FLTG-TX1,7
SCOP-OP1,FLTG-TX1,3
TNDS-OP1,FLTG-TX1,2
TXGC-OP1,FLTG-TX1,5
TXSA-OP1,FLTG-TX1,1
TXSB-OP1,FLTG-TX1,3
VATB-OP1,FLTG-TX1,1
WIUW-IO1,FLTG-TX1,1
ALOB-OP1,FLUF-TX1,4
FLFH-IO1,FLUF-TX1,15
FLMP-OP1,FLUF-TX1,13
FLUF-IO1,FLUF-TX1,36
FLWC-OP1,FLUF-TX1,30
GALL-OP1,FLUF-TX1,17
LAOP-OP1,FLUF-TX1,1
MDPC-OP1,FLUF-TX1,1
MSOP-OP1,FLUF-TX1,3
NCCM-IO1,FLUF-TX1,4
NCNC-OP1,FLUF-TX1,3
NJTO-OP1,FLUF-TX1,1
NYRT-OP1,FLUF-TX1,1
PATF-OP1,FLUF-TX1,1
PRLL-OP1,FLUF-TX1,9
SCOP-OP1,FLUF-TX1,3
TNDS-OP1,FLUF-TX1,4
CAOP-OP1,GAEH-TX1,1
FLFH-IO1,GAEH-TX1,2
FLMP-OP1,GAEH-TX1,1
FLUF-IO1,GAEH-TX1,1
FLWC-OP1,GAEH-TX1,2
GALL-OP1,GAEH-TX1,3
LAOP-OP1,GAEH-TX1,3
MDPC-OP1,GAEH-TX1,1
MSOP-OP1,GAEH-TX1,1
NCCM-IO1,GAEH-TX1,1
OHLB-OP1,GAEH-TX1,1
OHLC-OP1,GAEH-TX1,1
PADV-OP1,GAEH-TX1,1
SCOP-OP1,GAEH-TX1,1
VATB-OP1,GAEH-TX1,1
ALOB-OP1,GAEM-TX1,23
AROR-OP1,GAEM-TX1,1
FLFH-IO1,GAEM-TX1,3
FLMP-OP1,GAEM-TX1,3
