source_dsa_id,destination_center_id,flow_count
ALOB-OP1,ALUA-TX1,5
FLUF-IO1,ALUA-TX1,1
FLWC-OP1,ALUA-TX1,2
GALL-OP1,ALUA-TX1,2
ILIP-OP1,ALUA-TX1,1
MIOP-OP1,ALUA-TX1,1
MNOP-OP1,ALUA-TX1,2
MSOP-OP1,ALUA-TX1,1
MWOB-OP1,ALUA-TX1,1
NCNC-OP1,ALUA-TX1,2
OHLC-OP1,ALUA-TX1,2
OKOP-OP1,ALUA-TX1,1
PADV-OP1,ALUA-TX1,1
PATF-OP1,ALUA-TX1,2
TNDS-OP1,ALUA-TX1,1
TXGC-OP1,ALUA-TX1,1
TXSA-OP1,ALUA-TX1,1
TXSB-OP1,ALUA-TX1,2
WIDN-OP1,ALUA-TX1,1
WIUW-IO1,ALUA-TX1,1
AZOB-OP1,AZMC-TX1,5
TXSA-OP1,AZMC-TX1,1
AROR-OP1,AZSJ-TX1,1
AZOB-OP1,AZSJ-TX1,13
CADN-OP1,AZSJ-TX1,10
CAGS-OP1,AZSJ-TX1,2
CAOP-OP1,AZSJ-TX1,8
CASD-IO1,AZSJ-TX1,3
CORS-OP1,AZSJ-TX1,2
FLUF-IO1,AZSJ-TX1,1
GALL-OP1,AZSJ-TX1,1
ILIP-OP1,AZSJ-TX1,2
INOP-OP1,AZSJ-TX1,2
MIOP-OP1,AZSJ-TX1,1
MNOP-OP1,AZSJ-TX1,1
MOMA-OP1,AZSJ-TX1,1
NVLV-OP1,AZSJ-TX1,7
OKOP-OP1,AZSJ-TX1,4
ORUO-IO1,AZSJ-TX1,1
TNDS-OP1,AZSJ-TX1,1
TXGC-OP1,AZSJ-TX1,4
TXSA-OP1,AZSJ-TX1,5
TXSB-OP1,AZSJ-TX1,4
UTOP-OP1,AZSJ-TX1,3
WALC-OP1,AZSJ-TX1,3
AZOB-OP1,AZUA-TX1,1
CASD-IO1,AZUA-TX1,1
AROR-OP1,CACS-TX1,1
AZOB-OP1,CACS-TX1,7
CADN-OP1,CACS-TX1,8
CAGS-OP1,CACS-TX1,1
CAOP-OP1,CACS-TX1,24
CASD-IO1,CACS-TX1,5
CORS-OP1,CACS-TX1,2
FLFH-IO1,CACS-TX1,1
HIOP-OP1,CACS-TX1,1
ILIP-OP1,CACS-TX1,1
INOP-OP1,CACS-TX1,1
LAOP-OP1,CACS-TX1,1
MSOP-OP1,CACS-TX1,1
MWOB-OP1,CACS-TX1,1
NVLV-OP1,CACS-TX1,8
OHLB-OP1,CACS-TX1,1
OKOP-OP1,CACS-TX1,1
ORUO-IO1,CACS-TX1,7
TNDS-OP1,CACS-TX1,2
TXGC-OP1,CACS-TX1,4
TXSA-OP1,CACS-TX1,4
TXSB-OP1,CACS-TX1,3
UTOP-OP1,CACS-TX1,3
WALC-OP1,CACS-TX1,3
WIDN-OP1,CACS-TX1,2
AZOB-OP1,CAPC-TX1,1
CORS-OP1,CAPC-TX1,1
ILIP-OP1,CAPC-TX1,1
