source_dsa_id,destination_center_id,flow_count
AZOB-OP1,AZMC-TX1,1
CAOP-OP1,AZMC-TX1,1
CAOP-OP1,CACS-TX1,1
NVLV-OP1,CALL-TX1,1
ORUO-IO1,CAPC-TX1,1
CAGS-OP1,CASF-TX1,1
CAOP-OP1,CASF-TX1,1
CAOP-OP1,CAUC-TX1,1
KYDA-OP1,DCGU-TX1,1
MOMA-OP1,DCGU-TX1,1
NCNC-OP1,DCGU-TX1,2
OHLC-OP1,DCGU-TX1,1
PATF-OP1,DCGU-TX1,1
TNDS-OP1,DCGU-TX1,1
TXSB-OP1,DCGU-TX1,1
AROR-OP1,FLJM-TX1,1
AZOB-OP1,FLJM-TX1,1
FLMP-OP1,FLJM-TX1,3
FLUF-IO1,FLJM-TX1,1
FLWC-OP1,FLJM-TX1,1
PRLL-OP1,FLJM-TX1,1
TNDS-OP1,FLJM-TX1,1
FLUF-IO1,FLSL-TX1,1
GALL-OP1,FLSL-TX1,1
ILIP-OP1,IAIV-TX1,1
IAOP-OP1,ILLU-TX1,1
INOP-OP1,ILNM-TX1,2
MIOP-OP1,ILNM-TX1,1
MOMA-OP1,ILNM-TX1,1
ILIP-OP1,ILUC-TX1,1
MIOP-OP1,ILUC-TX1,1
OHLC-OP1,ILUI-TX1,1
FLMP-OP1,INIM-TX1,1
GALL-OP1,INIM-TX1,1
INOP-OP1,INIM-TX1,1
KYDA-OP1,INIM-TX1,1
MNOP-OP1,INIM-TX1,1
MOMA-OP1,INIM-TX1,2
MIOP-OP1,KYJH-TX1,1
LAOP-OP1,LATU-TX1,1
MAOB-OP1,MABI-TX1,3
NYAP-OP1,MABI-TX1,1
VATB-OP1,MDUM-TX1,1
MIOP-OP1,MIHF-TX1,2
ILIP-OP1,MIUM-TX1,2
ILIP-OP1,MNMC-TX1,1
NEOR-OP1,MNMC-TX1,1
WIUW-IO1,MNMC-TX1,1
AROR-OP1,MNUM-TX1,1
CAOP-OP1,MNUM-TX1,1
CORS-OP1,MNUM-TX1,1
MOMA-OP1,MOBH-TX1,1
MWOB-OP1,MOBH-TX1,1
NCNC-OP1,NCBG-TX1,1
NCCM-IO1,NCDU-TX1,1
VATB-OP1,NCDU-TX1,1
AROR-OP1,NEUN-TX1,1
IAOP-OP1,NEUN-TX1,1
ILIP-OP1,NEUN-TX1,2
NJTO-OP1,NEUN-TX1,1
WIDN-OP1,NEUN-TX1,1
NJTO-OP1,NJHK-TX1,1
PADV-OP1,NJHK-TX1,1
AROR-OP1,NYCP-TX1,1
NJTO-OP1,NYCP-TX1,1
FLMP-OP1,NYMS-TX1,1
NCNC-OP1,NYMS-TX1,1
NJTO-OP1,NYMS-TX1,1
NYRT-OP1,NYMS-TX1,1
PADV-OP1,NYMS-TX1,1
VATB-OP1,NYMS-TX1,1
NJTO-OP1,NYUC-TX1,1
WIUW-IO1,OHCC-TX1,1
TNDS-OP1,OHCM-TX1,1
PATF-OP1,OHOU-TX1,1
NYRT-OP1,PACH-TX1,1
PATF-OP1,PAPT-TX1,2
GALL-OP1,SCMU-TX1,1
TNDS-OP1,TNMH-TX1,1
MIOP-OP1,TNVU-TX1,1
TXGC-OP1,TXHS-TX1,2
TXSA-OP1,TXMH-TX1,1
TXSB-OP1,TXMH-TX1,1
FLUF-IO1,VAUV-TX1,1
OHLC-OP1,WISE-TX1,1
WIDN-OP1,WISE-TX1,1
AZOB-OP1,WIUW-TX1,1
CORS-OP1,WIUW-TX1,1
ILIP-OP1,WIUW-TX1,1
NCCM-IO1,WIUW-TX1,1
NYRT-OP1,WIUW-TX1,1
PADV-OP1,WIUW-TX1,1
SCOP-OP1,WIUW-TX1,1
WIDN-OP1,WIUW-TX1,1
