source_dsa_id,total_outflow
PADV-OP1,1810
CAOP-OP1,1767
MAOB-OP1,1580
ILIP-OP1,1386
TXSB-OP1,1372
INOP-OP1,1247
GALL-OP1,1245
NYRT-OP1,1234
WALC-OP1,1224
TXGC-OP1,1218
TNDS-OP1,1212
CADN-OP1,1145
AZOB-OP1,1121
PATF-OP1,1093
MIOP-OP1,1077
MWOB-OP1,980
CORS-OP1,937
FLWC-OP1,909
LAOP-OP1,894
MNOP-OP1,885
NCNC-OP1,822
KYDA-OP1,798
FLUF-IO1,772
MOMA-OP1,719
SCOP-OP1,713
TXSA-OP1,701
VATB-OP1,690
MDPC-OP1,687
NVLV-OP1,679
NJTO-OP1,657
FLMP-OP1,635
ORUO-IO1,623
OKOP-OP1,618
NCCM-IO1,590
ALOB-OP1,585
UTOP-OP1,585
OHLB-OP1,570
FLFH-IO1,556
WIUW-IO1,530
CASD-IO1,463
OHLC-OP1,409
AROR-OP1,400
OHLP-OP1,382
CAGS-OP1,377
NYAP-OP1,346
IAOP-OP1,338
NEOR-OP1,327
WIDN-OP1,317
MSOP-OP1,314
NMOP-OP1,259
TNMS-OP1,240
PRLL-OP1,226
NYWN-OP1,199
NYFL-IO1,179
HIOP-OP1,166
