id,name,state,region,total_flow
DCGU-TX1,Medstar Georgetown Transplant Institute,District of Columbia,Region  2,502
TXBC-TX1,"University Hospital, University of Texas Health Science Center",Texas,Region  4,288
ARUA-TX1,UAMS Medical Center,Arkansas,Region  3,199
KYUK-TX1,University of Kentucky Medical Center,Kentucky,Region  11,196
NVUM-TX1,University Medical Center of Southern Nevada,Nevada,Region  5,179
NYFL-TX1,"Strong Memorial Hospital, University of Rochester Medical Center",New York,Region  9,173
AZSJ-TX1,St. Joseph's Hospital and Medical Center,Arizona,Region  5,144
PAAE-TX1,Albert Einstein Medical Center,Pennsylvania,Region  2,133
NJLL-TX1,Virtua Our Lady of Lourdes Hospital,New Jersey,Region  2,130
TXAS-TX1,Baylor  Scott and White All Saints Medical Center-Fort Worth,Texas,Region  4,114
MIBH-TX1,Corewell Health William Beaumont University Hospital,Michigan,Region  10,109
ILVA-TX1,Edward Hines Jr. Veterans Administration Medical Center,Illinois,Region  7,105
IAIV-TX1,University of Iowa Hospitals and Clinics Transplant Programs,Iowa,Region  8,103
MISH-TX1,Corewell Health Grand Rapids Hospitals,Michigan,Region  10,103
WASH-TX1,Providence Sacred Heart Medical Center & Children's Hospital,Washington,Region  6,90
TXDR-TX1,Doctor's Hospital at Renaissance,Texas,Region  4,90
TXSW-TX1,Scott and White Memorial Hospital,Texas,Region  4,85
ORGS-TX1,Legacy Good Samaritan Hospital and Medical Center,Oregon,Region  6,74
MISM-TX1,Mercy Health Saint Mary's,Michigan,Region  10,68
ORVA-TX1,VA Portland Health Care System,Oregon,Region  6,65
CAPC-TX1,Lucile Salter Packard Children's Hospital at Stanford,California,Region  5,62
GAMC-TX1,"Wellstar MCG Health, affiliated with Medical College of Georgia",Georgia,Region  3,59
TNUK-TX1,University of Tennessee Medical Center at Knoxville,Tennessee,Region  11,54
TXHH-TX1,"Memorial Hermann Hospital, University of Texas at Houston",Texas,Region  4,52
MOCH-TX1,St. Louis Children's Hospital at Washington University Medical Center,Missouri,Region  8,49
TXFW-TX1,Texas Health Harris Methodist Fort Worth Hospital,Texas,Region  4,49
NYSB-TX1,University Hospital of State University of New York at Stony Brook,New York,Region  9,47
DECC-TX1,Christiana Care Health Services,Delaware,Region  2,46
PAHH-TX1,Pinnacle Health System at Harrisburg Hospital,Pennsylvania,Region  2,40
NYDS-TX1,"State University of New York, Downstate Medical Center",New York,Region  9,36
TXPM-TX1,Parkland Health and Hospital System,Texas,Region  4,33
TNEM-TX1,Erlanger Medical Center,Tennessee,Region  11,26
NMAQ-TX1,"University Hospital, University of New Mexico Health Sciences Center",New Mexico,Region  5,25
DCWR-TX1,Walter Reed National Military Medical Center at Bethesda,District of Columbia,Region  2,19
WVWU-TX1,West Virginia University Hospitals Inc.,West Virginia,Region  2,19
SDSV-TX1,Sanford Health/USD Medical Center,South Dakota,Region  7,19
CACH-TX1,Rady Children's Hospital and Health Center,California,Region  5,17
TNLB-TX1,Le Bonheur Children's Medical Center,Tennessee,Region  11,16
TXDM-TX1,North Austin Medical Center,Texas,Region  4,16
NHDH-TX1,Mary Hitchcock Memorial Hospital,New Hampshire,Region  1,14
TXUC-TX1,University Children's Health,Texas,Region  4,14
NYVA-TX1,James J. Peters VA Medical Center,New York,Region  9,14
SCCH-TX1,MUSC Children's Hospital,South Carolina,Region  11,13
MOUM-TX1,University of Missouri Hospital and Clinics,Missouri,Region  8,12
NYCC-TX1,Long Island Jewish Medical Center-Cohen Children's Medical Center,New York,Region  9,11
TXDL-TX1,Dell Children's Medical Center,Texas,Region  4,10
DEAI-TX1,Nemours Children's Hospital Delaware,Delaware,Region  2,8
NDMC-TX1,Sanford Bismarck Medical Center,North Dakota,Region  7,8
TXDS-TX1,Dell Seton Medical Center at The University of Texas at Austin,Texas,Region  4,7
FLJD-TX1,Memorial Regional Hospital/Joe DiMaggio Children's Hospital,Florida,Region  3,7
IAVA-TX1,The Iowa City VA Health Care System,Iowa,Region  8,5
MIDV-TX1,Corewell Health Helen DeVos Children's Hospital,Michigan,Region  10,3
OKCM-TX1,Children's Hospital of Oklahoma,Oklahoma,Region  4,2
PRCC-TX1,Cardiovascular Center of Puerto Rico and the Caribbean,Puerto Rico,Region  3,2
