id,type,name,state,lat,lon,coordinate_quality,notes
MAOB-OP1,source_dsa,New England Organ Bank,Rhode Island,41.6809,-71.5118,state_centroid,
ILIP-OP1,source_dsa,Gift of Hope Organ & Tissue Donor Network,Illinois,40.3495,-88.9861,state_centroid,
INOP-OP1,source_dsa,Indiana Donor Network,Indiana,39.8494,-86.2583,state_centroid,
NYRT-OP1,source_dsa,LiveOnNY,New York,,,missing,
PATF-OP1,source_dsa,Center for Organ Recovery and Education,West Virginia,,,missing,
MIOP-OP1,source_dsa,Gift of Life Michigan,Michigan,43.3266,-84.5361,state_centroid,
MWOB-OP1,source_dsa,Midwest Transplant Network,Missouri,38.4561,-92.2884,state_centroid,
FLWC-OP1,source_dsa,LifeLink of Florida,Florida,27.7663,-81.6868,state_centroid,
LAOP-OP1,source_dsa,Louisiana Organ Procurement Agency,Louisiana,31.1695,-91.8678,state_centroid,
TNVU-TX1,transplant_center,Vanderbilt University Medical Center,Tennessee,35.7478,-86.6923,state_centroid,
NCNC-OP1,source_dsa,HonorBridge,North Carolina,35.6301,-79.8064,state_centroid,
OHCC-TX1,transplant_center,The Cleveland Clinic Foundation,Ohio,40.3888,-82.7649,state_centroid,
KYDA-OP1,source_dsa,Network for Hope,Ohio,,,missing,
FLUF-IO1,source_dsa,LifeQuest Organ Recovery Services,Florida,,,missing,
FLTG-TX1,transplant_center,Tampa General Hospital,Florida,27.7663,-81.6868,state_centroid,
MOMA-OP1,source_dsa,Mid-America Transplant Services,Missouri,38.4561,-92.2884,state_centroid,
SCOP-OP1,source_dsa,We Are Sharing Hope SC,South Carolina,33.8569,-80.945,state_centroid,
TXSA-OP1,source_dsa,Texas Organ Sharing Alliance,Texas,31.0545,-97.5635,state_centroid,
VATB-OP1,source_dsa,LifeNet Health,Virginia,,,missing,
MDPC-OP1,source_dsa,Infinite Legacy,Virginia,,,missing,
NVLV-OP1,source_dsa,Nevada Donor Network,Nevada,,,missing,
NJTO-OP1,source_dsa,New Jersey Organ and Tissue Sharing Network OPO,New Jersey,,,missing,
FLMP-OP1,source_dsa,South Florida Donor Network,Florida,27.7663,-81.6868,state_centroid,
ORUO-IO1,source_dsa,Cascade Life Alliance,Oregon,,,missing,
CAUC-TX1,transplant_center,University of California at Los Angeles Medical Center,California,36.1162,-119.6816,state_centroid,
OKOP-OP1,source_dsa,LifeShare Transplant Donor Services of Oklahoma,Oklahoma,,,missing,
SCMU-TX1,transplant_center,Medical University of South Carolina,South Carolina,33.8569,-80.945,state_centroid,
NCDU-TX1,transplant_center,Duke University Hospital,North Carolina,35.6301,-79.8064,state_centroid,
CACS-TX1,transplant_center,Cedars-Sinai Medical Center,California,36.1162,-119.6816,state_centroid,
ILNM-TX1,transplant_center,Northwestern Memorial Hospital,Illinois,40.3495,-88.9861,state_centroid,
NCCM-IO1,source_dsa,LifeShare Carolinas,North Carolina,,,missing,
ALOB-OP1,source_dsa,Legacy of Hope,Alabama,32.8067,-86.7911,state_centroid,
OHLB-OP1,source_dsa,Lifebanc,Ohio,40.3888,-82.7649,state_centroid,
GAPH-TX1,transplant_center,Piedmont Hospital,Georgia,33.0406,-83.6431,state_centroid,
FLFH-IO1,source_dsa,OurLegacy,Florida,,,missing,
MOBH-TX1,transplant_center,Barnes-Jewish Hospital,Missouri,38.4561,-92.2884,state_centroid,
CASF-TX1,transplant_center,University of California San Francisco Medical Center,California,36.1162,-119.6816,state_centroid,
