state,region
Alabama,Region  3
Arizona,Region  5
Arkansas,Region  3
California,Region  5
Colorado,Region  8
Connecticut,Region  1
Delaware,Region  2
District of Columbia,Region  2
Florida,Region  3
Georgia,Region  3
Hawaii,Region  6
Illinois,Region  7
Indiana,Region  10
Iowa,Region  8
Kansas,Region  8
Kentucky,Region  11
Louisiana,Region  3
Maine,Region  1
Maryland,Region  2
Massachusetts,Region  1
Michigan,Region  10
Minnesota,Region  7
Mississippi,Region  3
Missouri,Region  8
Nebraska,Region  8
Nevada,Region  5
New Hampshire,Region  1
New Jersey,Region  2
New Mexico,Region  5
New York,Region  9
North Carolina,Region  11
North Dakota,Region  7
Ohio,Region  11
Oklahoma,Region  4
Oregon,Region  6
Pennsylvania,Region  2
Puerto Rico,Region  3
Rhode Island,Region  1
South Carolina,Region  11
South Dakota,Region  7
Tennessee,Region  11
Texas,Region  4
Utah,Region  5
Virginia,Region  11
Washington,Region  6
West Virginia,Region  2
Wisconsin,Region  7
