id,type,name,state,region,lat,lon,notes
ALOB-OP1,source_dsa,Legacy of Hope,Alabama,Region  3,,,
ALUA-TX1,transplant_center,University of Alabama Hospital,Alabama,Region  3,,,
AZMC-TX1,transplant_center,Mayo Clinic Hospital Arizona,Arizona,Region  5,,,
AZOB-OP1,source_dsa,Donor Network of Arizona,Arizona,Region  5,,,
CACS-TX1,transplant_center,Cedars-Sinai Medical Center,California,Region  5,,,
CADN-OP1,source_dsa,Donor Network West,California,Region  5,,,
CAIM-TX1,transplant_center,University of California Irvine Medical Center,California,Region  5,,,
CALL-TX1,transplant_center,Loma Linda University Medical Center,California,Region  5,,,
CAOP-OP1,source_dsa,OneLegacy,California,Region  5,,,
CAPM-TX1,transplant_center,California Pacific Medical Center-Van Ness Campus,California,Region  5,,,
CASD-TX1,transplant_center,University of California San Diego Medical Center,California,Region  5,,,
CASF-TX1,transplant_center,University of California San Francisco Medical Center,California,Region  5,,,
CASM-TX1,transplant_center,University of California Davis Medical Center,California,Region  5,,,
CASU-TX1,transplant_center,Stanford Health Care,California,Region  5,,,
CAUC-TX1,transplant_center,University of California at Los Angeles Medical Center,California,Region  5,,,
CAUH-TX1,transplant_center,Keck Hospital of USC,California,Region  5,,,
CORS-OP1,source_dsa,Donor Alliance,Colorado,Region  8,,,
COUC-TX1,transplant_center,University of Colorado Hospital/Health Science Center,Colorado,Region  8,,,
FLJM-TX1,transplant_center,Jackson Memorial Hospital University of Miami School of Medicine,Florida,Region  3,,,
FLMP-OP1,source_dsa,South Florida Donor Network,Florida,Region  3,,,
FLTG-TX1,transplant_center,Tampa General Hospital,Florida,Region  3,,,
FLWC-OP1,source_dsa,LifeLink of Florida,Florida,Region  3,,,
GAEM-TX1,transplant_center,Emory University Hospital,Georgia,Region  3,,,
GALL-OP1,source_dsa,LifeLink of Georgia,Georgia,Region  3,,,
GAPH-TX1,transplant_center,Piedmont Hospital,Georgia,Region  3,,,
HIOP-OP1,source_dsa,Legacy of Life Hawaii,Hawaii,Region  6,,,
HIQM-TX1,transplant_center,The Queen's Medical Center,Hawaii,Region  6,,,
ILIP-OP1,source_dsa,Gift of Hope Organ & Tissue Donor Network,Illinois,Region  7,,,
