id,type,name,state,region,lat,lon,notes
ALUA-TX1,transplant_center,University of Alabama Hospital,Alabama,Region  3,,,
AZMC-TX1,transplant_center,Mayo Clinic Hospital Arizona,Arizona,Region  5,,,
CACS-TX1,transplant_center,Cedars-Sinai Medical Center,California,Region  5,,,
CAIM-TX1,transplant_center,University of California Irvine Medical Center,California,Region  5,,,
CALL-TX1,transplant_center,Loma Linda University Medical Center,California,Region  5,,,
CAPM-TX1,transplant_center,California Pacific Medical Center-Van Ness Campus,California,Region  5,,,
CASD-TX1,transplant_center,University of California San Diego Medical Center,California,Region  5,,,
CASF-TX1,transplant_center,University of California San Francisco Medical Center,California,Region  5,,,
CASM-TX1,transplant_center,University of California Davis Medical Center,California,Region  5,,,
CASU-TX1,transplant_center,Stanford Health Care,California,Region  5,,,
CAUC-TX1,transplant_center,University of California at Los Angeles Medical Center,California,Region  5,,,
CAUH-TX1,transplant_center,Keck Hospital of USC,California,Region  5,,,
COUC-TX1,transplant_center,University of Colorado Hospital/Health Science Center,Colorado,Region  8,,,
FLJM-TX1,transplant_center,Jackson Memorial Hospital University of Miami School of Medicine,Florida,Region  3,,,
FLTG-TX1,transplant_center,Tampa General Hospital,Florida,Region  3,,,
GAEM-TX1,transplant_center,Emory University Hospital,Georgia,Region  3,,,
GAPH-TX1,transplant_center,Piedmont Hospital,Georgia,Region  3,,,
HIQM-TX1,transplant_center,The Queen's Medical Center,Hawaii,Region  6,,,
ILNM-TX1,transplant_center,Northwestern Memorial Hospital,Illinois,Region  7,,,
ILUC-TX1,transplant_center,University of Chicago Medical Center,Illinois,Region  7,,,
INIM-TX1,transplant_center,Indiana University Health,Indiana,Region  10,,,
KSUK-TX1,transplant_center,University of Kansas Hospital,Kansas,Region  8,,,
LAOF-TX1,transplant_center,Ochsner Foundation Hospital,Louisiana,Region  3,,,
MAMG-TX1,transplant_center,Massachusetts General Hospital,Massachusetts,Region  1,,,
MIHF-TX1,transplant_center,Henry Ford Hospital,Michigan,Region  10,,,
MIUM-TX1,transplant_center,University of Michigan Medical Center,Michigan,Region  10,,,
MNMC-TX1,transplant_center,Mayo Clinic Hospital Minnesota,Minnesota,Region  7,,,
MNUM-TX1,transplant_center,"University of Minnesota Medical Center, Fairview",Minnesota,Region  7,,,
MOBH-TX1,transplant_center,Barnes-Jewish Hospital,Missouri,Region  8,,,
NCDU-TX1,transplant_center,Duke University Hospital,North Carolina,Region  11,,,
NEUN-TX1,transplant_center,The Nebraska Medical Center,Nebraska,Region  8,,,
NYMS-TX1,transplant_center,Mount Sinai Medical Center,New York,Region  9,,,
OHCC-TX1,transplant_center,The Cleveland Clinic Foundation,Ohio,Region  11,,,
ORUO-TX1,transplant_center,Oregon Health and Science University,Oregon,Region  6,,,
PAUP-TX1,transplant_center,Hospital of the University of Pennsylvania,Pennsylvania,Region  2,,,
SCMU-TX1,transplant_center,Medical University of South Carolina,South Carolina,Region  11,,,
TNVU-TX1,transplant_center,Vanderbilt University Medical Center,Tennessee,Region  11,,,
TXHI-TX1,transplant_center,CHI St. Luke's Health Baylor College of Medicine Medical Center,Texas,Region  4,,,
TXHS-TX1,transplant_center,Methodist Specialty and Transplant Hospital,Texas,Region  4,,,
TXMH-TX1,transplant_center,Houston Methodist Hospital,Texas,Region  4,,,
TXSP-TX1,transplant_center,UT Southwestern Medical Center/William P. Clements Jr. University Hospital,Texas,Region  4,,,
TXTX-TX1,transplant_center,Baylor University Medical Center,Texas,Region  4,,,
UTLD-TX1,transplant_center,Intermountain Medical Center,Utah,Region  5,,,
UTMC-TX1,transplant_center,University of Utah Medical Center,Utah,Region  5,,,
WASM-TX1,transplant_center,Swedish Medical Center,Washington,Region  6,,,
WAUW-TX1,transplant_center,University of Washington Medical Center,Washington,Region  6,,,
