id,type,name,state,region,lat,lon,notes
ALOB-OP1,source_dsa,Legacy of Hope,Alabama,Region  3,,,
AZOB-OP1,source_dsa,Donor Network of Arizona,Arizona,Region  5,,,
CADN-OP1,source_dsa,Donor Network West,California,Region  5,,,
CAOP-OP1,source_dsa,OneLegacy,California,Region  5,,,
CORS-OP1,source_dsa,Donor Alliance,Colorado,Region  8,,,
FLMP-OP1,source_dsa,South Florida Donor Network,Florida,Region  3,,,
FLWC-OP1,source_dsa,LifeLink of Florida,Florida,Region  3,,,
GALL-OP1,source_dsa,LifeLink of Georgia,Georgia,Region  3,,,
HIOP-OP1,source_dsa,Legacy of Life Hawaii,Hawaii,Region  6,,,
ILIP-OP1,source_dsa,Gift of Hope Organ & Tissue Donor Network,Illinois,Region  7,,,
INOP-OP1,source_dsa,Indiana Donor Network,Indiana,Region  10,,,
LAOP-OP1,source_dsa,Louisiana Organ Procurement Agency,Louisiana,Region  3,,,
MAOB-OP1,source_dsa,New England Organ Bank,Rhode Island,Region  1,,,
MIOP-OP1,source_dsa,Gift of Life Michigan,Michigan,Region  10,,,
MNOP-OP1,source_dsa,LifeSource Upper Midwest Organ Procurement Organization,South Dakota,Region  7,,,
MOMA-OP1,source_dsa,Mid-America Transplant Services,Missouri,Region  8,,,
MWOB-OP1,source_dsa,Midwest Transplant Network,Missouri,Region  8,,,
NCNC-OP1,source_dsa,HonorBridge,North Carolina,Region  11,,,
NEOR-OP1,source_dsa,Live On Nebraska,Nebraska,Region  8,,,
OHLB-OP1,source_dsa,Lifebanc,Ohio,Region  11,,,
PADV-OP1,source_dsa,Gift of Life Donor Program,Pennsylvania,Region  2,,,
SCOP-OP1,source_dsa,We Are Sharing Hope SC,South Carolina,Region  11,,,
TNDS-OP1,source_dsa,Tennessee Donor Services,Tennessee,Region  11,,,
TXGC-OP1,source_dsa,LifeGift Organ Donation Center,Texas,Region  4,,,
TXSA-OP1,source_dsa,Texas Organ Sharing Alliance,Texas,Region  4,,,
TXSB-OP1,source_dsa,Southwest Transplant Alliance,Texas,Region  4,,,
UTOP-OP1,source_dsa,DonorConnect,Utah,Region  5,,,
WALC-OP1,source_dsa,LifeCenter Northwest,Washington,Region  6,,,
