source_dsa_id,destination_center_id,flow_count
AZOB-OP1,AZMC-TX1,445
CORS-OP1,COUC-TX1,290
CAOP-OP1,CAUC-TX1,277
WALC-OP1,WAUW-TX1,270
FLWC-OP1,FLTG-TX1,266
CAOP-OP1,CACS-TX1,259
CADN-OP1,CASF-TX1,247
MAOB-OP1,MAMG-TX1,221
TNDS-OP1,TNVU-TX1,208
GALL-OP1,GAEM-TX1,206
LAOP-OP1,LAOF-TX1,204
UTOP-OP1,UTLD-TX1,202
MNOP-OP1,MNUM-TX1,198
TXGC-OP1,TXMH-TX1,194
PADV-OP1,PAUP-TX1,193
MOMA-OP1,MOBH-TX1,187
SCOP-OP1,SCMU-TX1,184
CAOP-OP1,CALL-TX1,182
CADN-OP1,CAPM-TX1,177
WALC-OP1,WASM-TX1,174
FLMP-OP1,FLJM-TX1,172
ILIP-OP1,ILNM-TX1,168
GALL-OP1,GAPH-TX1,164
CAOP-OP1,CAUH-TX1,160
MNOP-OP1,MNMC-TX1,159
CAOP-OP1,CASD-TX1,148
CADN-OP1,CASU-TX1,143
OHLB-OP1,OHCC-TX1,143
INOP-OP1,INIM-TX1,142
MIOP-OP1,MIHF-TX1,142
UTOP-OP1,UTMC-TX1,134
CADN-OP1,CASM-TX1,131
TXSB-OP1,TXTX-TX1,131
TXSB-OP1,TXSP-TX1,125
TXSB-OP1,TXMH-TX1,124
CAOP-OP1,CAIM-TX1,123
MWOB-OP1,KSUK-TX1,122
TNDS-OP1,GAEM-TX1,119
NCNC-OP1,NCDU-TX1,116
TXSA-OP1,TXHS-TX1,116
ILIP-OP1,ILUC-TX1,115
NEOR-OP1,NEUN-TX1,114
MIOP-OP1,MIUM-TX1,112
HIOP-OP1,HIQM-TX1,110
ALOB-OP1,ALUA-TX1,107
PADV-OP1,NYMS-TX1,107
GALL-OP1,SCMU-TX1,106
WALC-OP1,ORUO-TX1,105
TXGC-OP1,TXHI-TX1,105
TXGC-OP1,TXSP-TX1,105
FLFH-IO1,FLFH-TX1,99
FLUF-IO1,FLUF-TX1,99
TXSA-OP1,TXBC-TX1,99
VATB-OP1,VAMC-TX1,99
FLUF-IO1,FLSL-TX1,98
FLUF-IO1,FLTG-TX1,98
TNDS-OP1,GAPH-TX1,98
AZOB-OP1,AZGS-TX1,97
ILIP-OP1,ILLU-TX1,95
MWOB-OP1,MOBH-TX1,94
FLMP-OP1,FLCC-TX1,93
MAOB-OP1,MABI-TX1,92
NCCM-IO1,NCCM-TX1,92
MAOB-OP1,MALC-TX1,91
CORS-OP1,COPM-TX1,90
FLMP-OP1,FLTG-TX1,89
NYRT-OP1,NYUC-TX1,89
PRLL-OP1,PRSJ-TX1,89
CASD-IO1,CASD-TX1,87
MAOB-OP1,NYMS-TX1,86
WIUW-IO1,WIUW-TX1,86
LAOP-OP1,LATU-TX1,85
MAOB-OP1,MAUM-TX1,85
ORUO-IO1,ORUO-TX1,85
PATF-OP1,PAAG-TX1,85
FLFH-IO1,FLTG-TX1,84
ILIP-OP1,ILUI-TX1,84
NYRT-OP1,NYMS-TX1,83
AROR-OP1,ARUA-TX1,82
NVLV-OP1,CACS-TX1,81
TXSB-OP1,TXHS-TX1,81
NYRT-OP1,NYNS-TX1,80
FLWC-OP1,FLUF-TX1,79
INOP-OP1,OHOU-TX1,79
FLWC-OP1,FLFH-TX1,78
NCNC-OP1,NCMH-TX1,78
CAGS-OP1,CASF-TX1,77
FLWC-OP1,FLCC-TX1,77
OKOP-OP1,OKBC-TX1,77
PATF-OP1,PAPT-TX1,77
TXSB-OP1,TXMC-TX1,76
NCNC-OP1,SCMU-TX1,75
LAOP-OP1,TXMH-TX1,75
TXSA-OP1,TXMH-TX1,75
ORUO-IO1,WAUW-TX1,73
INOP-OP1,TNVU-TX1,72
ILIP-OP1,ILPL-TX1,71
TXGC-OP1,TXTX-TX1,71
MAOB-OP1,MANM-TX1,70
CAOP-OP1,CASU-TX1,68
