,,All Donation Service Areas,ALOB-OP1 Legacy of Hope,AROR-OP1 Southern Legacy of Life,AZOB-OP1 Donor Network of Arizona,CADN-OP1 Donor Network West,CAGS-OP1 Sierra Donor Services,CAOP-OP1 OneLegacy,CASD-IO1 Lifesharing - A Donate Life Organization,CORS-OP1 Donor Alliance,FLFH-IO1 OurLegacy,FLMP-OP1 South Florida Donor Network,FLUF-IO1 LifeQuest Organ Recovery Services,FLWC-OP1 LifeLink of Florida,GALL-OP1 LifeLink of Georgia,HIOP-OP1 Legacy of Life Hawaii,IAOP-OP1 Iowa Donor Network,ILIP-OP1 Gift of Hope Organ & Tissue Donor Network,INOP-OP1 Indiana Donor Network,KYDA-OP1 Network for Hope,LAOP-OP1 Louisiana Organ Procurement Agency,MAOB-OP1 New England Organ Bank,MDPC-OP1 Infinite Legacy,MIOP-OP1 Gift of Life Michigan,MNOP-OP1 LifeSource Upper Midwest Organ Procurement Organization,MOMA-OP1 Mid-America Transplant Services,MSOP-OP1 Mississippi Organ Recovery Agency,MWOB-OP1 Midwest Transplant Network,NCCM-IO1 LifeShare Carolinas,NCNC-OP1 HonorBridge,NEOR-OP1 Live On Nebraska,NJTO-OP1 New Jersey Organ and Tissue Sharing Network OPO,NMOP-OP1 New Mexico Donor Services,NVLV-OP1 Nevada Donor Network,NYAP-OP1 Center for Donation and Transplant,NYFL-IO1 Finger Lakes Donor Recovery Network,NYRT-OP1 LiveOnNY,NYWN-OP1 Upstate New York Transplant Services Inc,OHLB-OP1 Lifebanc,OHLC-OP1 Life Connection of Ohio,OHLP-OP1 Lifeline of Ohio,OKOP-OP1 LifeShare Transplant Donor Services of Oklahoma,ORUO-IO1 Cascade Life Alliance,PADV-OP1 Gift of Life Donor Program,PATF-OP1 Center for Organ Recovery and Education,PRLL-OP1 LifeLink of Puerto Rico,SCOP-OP1 We Are Sharing Hope SC,TNDS-OP1 Tennessee Donor Services,TNMS-OP1 Mid-South Transplant Foundation,TXGC-OP1 LifeGift Organ Donation Center,TXSA-OP1 Texas Organ Sharing Alliance,TXSB-OP1 Southwest Transplant Alliance,UTOP-OP1 DonorConnect,VATB-OP1 LifeNet Health,WALC-OP1 LifeCenter Northwest,"WIDN-OP1 Versiti Blood Health, Inc.",WIUW-IO1 UW Health Organ and Tissue Donation
All Organs,,"109,285","1,215",428,"2,442","7,784","1,931","8,822","1,787","1,492",989,"1,948","1,786","1,898","3,332",368,605,"4,491","1,465","1,563","2,028","5,962","4,002","2,594","2,825","1,460",552,"1,270","1,679","2,406",460,"2,511",446,415,217,911,"6,657",267,"1,208",101,885,789,"1,274","4,212","1,813",461,"1,982","2,362",717,"4,608","3,070","4,211","1,008","2,713","1,647",822,776
Kidney,,"95,066",987,375,"2,131","7,032","1,907","7,720","1,619","1,294",824,"1,626","1,518","1,752","3,005",339,546,"3,900","1,263","1,294","1,769","5,311","3,300","2,297","2,445","1,264",497,"1,073","1,574","2,207",358,"2,333",442,414,215,855,"5,701",260,924,97,717,655,"1,150","3,701","1,557",431,"1,734","2,166",643,"3,662","2,812","3,646",857,"2,312","1,357",713,641
Liver,,"8,782",202,22,221,503,17,778,112,156,85,235,120,97,197,29,17,210,109,135,165,455,559,102,180,103,41,152,34,64,55,88,0,0,0,28,516,0,97,0,96,84,84,271,182,26,123,98,33,782,186,388,57,276,179,52,66
Pancreas,,833,2,0,2,48,0,47,5,13,3,16,7,0,1,0,3,80,10,14,4,30,49,25,78,0,0,1,70,5,8,16,0,0,2,6,120,1,12,2,0,0,3,23,38,0,13,7,6,14,8,4,3,14,10,4,13
Kidney / Pancreas,,"2,383",21,7,42,174,0,191,18,12,14,49,37,16,41,5,24,162,43,27,68,40,85,34,219,45,12,33,78,38,2,52,6,21,1,19,101,7,37,2,9,16,24,119,13,31,90,34,19,51,13,62,26,69,40,29,32
Heart,,"4,043",23,27,67,90,7,195,65,52,62,76,118,53,159,0,18,211,92,97,46,181,122,119,119,48,11,44,56,108,50,40,0,0,0,29,318,0,165,0,54,34,28,117,58,6,87,99,24,212,64,147,70,94,46,58,16
Lung,,"1,017",11,0,16,51,0,43,7,5,7,5,26,6,5,0,6,43,6,24,3,36,50,82,36,18,0,0,0,13,3,4,0,0,0,0,101,0,54,0,17,14,0,105,21,0,6,10,0,45,15,34,8,17,46,1,21
Heart / Lung,,30,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,1,1,0,0,0,0,3,0,0,0,0,0,0,3,0,4,0,0,0,0,3,1,0,0,1,0,3,0,0,0,0,0,0,0
Intestine,,168,0,0,0,4,0,34,0,0,0,14,0,0,0,0,0,12,15,5,0,1,14,2,0,0,0,0,0,3,9,0,0,0,0,0,12,0,12,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
VCA - abdominal wall,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
