,,All Donation Service Areas,ALOB-OP1 Legacy of Hope,AROR-OP1 Southern Legacy of Life,AZOB-OP1 Donor Network of Arizona,CADN-OP1 Donor Network West,CAGS-OP1 Sierra Donor Services,CAOP-OP1 OneLegacy,CASD-IO1 Lifesharing - A Donate Life Organization,CORS-OP1 Donor Alliance,FLFH-IO1 OurLegacy,FLMP-OP1 South Florida Donor Network,FLUF-IO1 LifeQuest Organ Recovery Services,FLWC-OP1 LifeLink of Florida,GALL-OP1 LifeLink of Georgia,HIOP-OP1 Legacy of Life Hawaii,IAOP-OP1 Iowa Donor Network,ILIP-OP1 Gift of Hope Organ & Tissue Donor Network,INOP-OP1 Indiana Donor Network,KYDA-OP1 Network for Hope,LAOP-OP1 Louisiana Organ Procurement Agency,MAOB-OP1 New England Organ Bank,MDPC-OP1 Infinite Legacy,MIOP-OP1 Gift of Life Michigan,MNOP-OP1 LifeSource Upper Midwest Organ Procurement Organization,MOMA-OP1 Mid-America Transplant Services,MSOP-OP1 Mississippi Organ Recovery Agency,MWOB-OP1 Midwest Transplant Network,NCCM-IO1 LifeShare Carolinas,NCNC-OP1 HonorBridge,NEOR-OP1 Live On Nebraska,NJTO-OP1 New Jersey Organ and Tissue Sharing Network OPO,NMOP-OP1 New Mexico Donor Services,NVLV-OP1 Nevada Donor Network,NYAP-OP1 Center for Donation and Transplant,NYFL-IO1 Finger Lakes Donor Recovery Network,NYRT-OP1 LiveOnNY,NYWN-OP1 Upstate New York Transplant Services Inc,OHLB-OP1 Lifebanc,OHLC-OP1 Life Connection of Ohio,OHLP-OP1 Lifeline of Ohio,OKOP-OP1 LifeShare Transplant Donor Services of Oklahoma,ORUO-IO1 Cascade Life Alliance,PADV-OP1 Gift of Life Donor Program,PATF-OP1 Center for Organ Recovery and Education,PRLL-OP1 LifeLink of Puerto Rico,SCOP-OP1 We Are Sharing Hope SC,TNDS-OP1 Tennessee Donor Services,TNMS-OP1 Mid-South Transplant Foundation,TXGC-OP1 LifeGift Organ Donation Center,TXSA-OP1 Texas Organ Sharing Alliance,TXSB-OP1 Southwest Transplant Alliance,UTOP-OP1 DonorConnect,VATB-OP1 LifeNet Health,WALC-OP1 LifeCenter Northwest,"WIDN-OP1 Versiti Blood Health, Inc.",WIUW-IO1 UW Health Organ and Tissue Donation
All Organs,,"49,065",479,233,"1,345","1,623",342,"2,527",687,800,387,"1,023",995,"1,038","1,676",116,183,"2,242",584,824,694,"2,083","1,739","1,250","1,229",788,185,518,565,"1,083",419,"1,009",65,188,41,304,"3,150",116,"1,186",195,655,352,416,"1,705",833,103,950,"1,263",254,"1,810","1,099","1,865",882,"1,083",922,423,539
Kidney,,"27,574",254,171,706,774,270,"1,500",348,425,170,611,411,583,"1,009",86,131,"1,354",258,431,430,"1,036","1,000",656,673,427,135,336,314,536,184,854,62,182,41,193,"1,694",111,536,193,341,187,275,899,432,48,618,651,179,838,727,"1,132",439,647,535,256,285
Liver,,"12,344",155,48,415,462,59,548,194,230,116,203,306,339,413,30,14,480,193,257,189,632,385,366,297,208,37,93,135,250,166,72,0,0,0,88,815,0,364,0,183,119,110,406,247,40,188,201,50,582,250,376,295,296,233,75,134
Pancreas,,107,0,0,2,3,0,3,0,0,0,9,2,0,0,0,1,8,8,2,1,4,9,4,6,2,0,0,1,2,6,2,0,0,0,0,9,0,1,0,1,0,0,0,3,0,1,1,1,2,2,0,0,1,0,2,8
Kidney / Pancreas,,804,8,1,56,23,0,24,2,6,12,19,19,8,23,0,2,61,19,18,25,7,54,9,27,3,5,6,9,18,2,30,3,6,0,3,23,5,11,2,10,5,5,44,6,13,35,11,10,17,3,26,10,20,5,14,21
Heart,,"4,587",30,13,78,177,13,249,89,93,56,85,121,66,187,0,16,141,54,76,35,262,169,101,104,77,8,83,106,153,43,32,0,0,0,20,338,0,105,0,45,19,26,110,77,2,87,247,14,159,84,214,88,72,85,54,24
Lung,,"3,490",31,0,88,166,0,197,54,46,31,85,134,42,44,0,19,187,46,37,14,142,106,109,119,71,0,0,0,116,11,19,0,0,0,0,252,0,155,0,75,22,0,244,60,0,21,149,0,206,33,110,50,47,64,22,66
Heart / Lung,,61,0,0,0,16,0,3,0,0,2,0,2,0,0,0,0,7,0,0,0,0,0,1,3,0,0,0,0,5,0,0,0,0,0,0,7,0,3,0,0,0,0,2,1,0,0,3,0,5,0,0,0,0,0,0,1
Intestine,,88,0,0,0,2,0,2,0,0,0,11,0,0,0,0,0,4,6,3,0,0,16,4,0,0,0,0,0,3,7,0,0,0,0,0,12,0,11,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
VCA - other genitourinary organ,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCA - uterus,,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0
