,,All Donation Service Areas,ALOB-OP1 Legacy of Hope,AROR-OP1 Southern Legacy of Life,AZOB-OP1 Donor Network of Arizona,CADN-OP1 Donor Network West,CAGS-OP1 Sierra Donor Services,CAOP-OP1 OneLegacy,CASD-IO1 Lifesharing - A Donate Life Organization,CORS-OP1 Donor Alliance,FLFH-IO1 OurLegacy,FLMP-OP1 South Florida Donor Network,FLUF-IO1 LifeQuest Organ Recovery Services,FLWC-OP1 LifeLink of Florida,GALL-OP1 LifeLink of Georgia,HIOP-OP1 Legacy of Life Hawaii,IAOP-OP1 Iowa Donor Network,ILIP-OP1 Gift of Hope Organ & Tissue Donor Network,INOP-OP1 Indiana Donor Network,KYDA-OP1 Network for Hope,LAOP-OP1 Louisiana Organ Procurement Agency,MAOB-OP1 New England Organ Bank,MDPC-OP1 Infinite Legacy,MIOP-OP1 Gift of Life Michigan,MNOP-OP1 LifeSource Upper Midwest Organ Procurement Organization,MOMA-OP1 Mid-America Transplant Services,MSOP-OP1 Mississippi Organ Recovery Agency,MWOB-OP1 Midwest Transplant Network,NCCM-IO1 LifeShare Carolinas,NCNC-OP1 HonorBridge,NEOR-OP1 Live On Nebraska,NJTO-OP1 New Jersey Organ and Tissue Sharing Network OPO,NMOP-OP1 New Mexico Donor Services,NVLV-OP1 Nevada Donor Network,NYAP-OP1 Center for Donation and Transplant,NYFL-IO1 Finger Lakes Donor Recovery Network,NYRT-OP1 LiveOnNY,NYWN-OP1 Upstate New York Transplant Services Inc,OHLB-OP1 Lifebanc,OHLC-OP1 Life Connection of Ohio,OHLP-OP1 Lifeline of Ohio,OKOP-OP1 LifeShare Transplant Donor Services of Oklahoma,ORUO-IO1 Cascade Life Alliance,PADV-OP1 Gift of Life Donor Program,PATF-OP1 Center for Organ Recovery and Education,PRLL-OP1 LifeLink of Puerto Rico,SCOP-OP1 We Are Sharing Hope SC,TNDS-OP1 Tennessee Donor Services,TNMS-OP1 Mid-South Transplant Foundation,TXGC-OP1 LifeGift Organ Donation Center,TXSA-OP1 Texas Organ Sharing Alliance,TXSB-OP1 Southwest Transplant Alliance,UTOP-OP1 DonorConnect,VATB-OP1 LifeNet Health,WALC-OP1 LifeCenter Northwest,"WIDN-OP1 Versiti Blood Health, Inc.",WIUW-IO1 UW Health Organ and Tissue Donation
All Organs,,"121,789","1,247",432,"2,502","7,998","1,933","9,087","1,831","1,551","1,003","2,154","1,879","1,993","3,537",371,636,"4,701","1,541","1,680","2,068","6,243","4,405","2,698","3,139","1,483",560,"1,316","1,909","2,567",485,"2,711",448,435,218,940,"6,979",269,"1,317",104,895,815,"1,296","4,463","1,936",496,"2,361","2,575",726,"4,850","3,249","4,385","1,031","3,008","1,681",862,790
Kidney,,"104,197",984,375,"2,152","7,124","1,910","7,787","1,622","1,314",833,"1,753","1,566","1,818","3,131",337,567,"3,982","1,265","1,374","1,779","5,495","3,512","2,333","2,500","1,268",497,"1,085","1,670","2,325",358,"2,508",442,414,215,858,"5,804",260,930,100,718,668,"1,154","3,809","1,586",433,"2,040","2,328",645,"3,743","2,962","3,750",866,"2,526","1,361",719,642
Liver,,"8,923",204,22,223,505,16,785,114,155,84,241,121,97,196,29,18,211,111,136,167,458,565,101,184,103,41,153,34,66,54,88,0,0,0,28,519,0,98,0,97,84,87,280,185,26,122,98,33,780,187,387,57,278,178,50,67
Pancreas,,839,2,0,2,48,0,47,5,13,3,16,7,0,1,0,3,80,10,14,4,30,49,24,79,0,0,1,70,5,8,16,0,0,2,6,120,1,12,2,0,0,3,23,38,0,13,7,6,14,8,4,3,14,10,4,12
Kidney / Pancreas,,"2,498",21,7,42,174,0,192,18,12,14,50,39,16,47,5,24,164,42,28,68,40,88,35,220,45,11,33,79,42,2,55,6,21,1,19,101,8,39,2,9,16,24,121,13,31,93,34,18,51,13,62,26,75,40,30,32
Heart,,"4,089",23,28,67,89,7,197,65,52,62,76,118,55,157,0,18,210,92,97,46,182,122,119,120,48,11,44,56,108,51,40,0,0,0,29,318,0,166,0,54,34,28,118,58,6,87,97,24,211,64,147,71,97,46,58,16
Lung,,"1,034",11,0,16,51,0,44,7,5,7,4,26,7,5,0,6,42,6,24,4,36,52,83,35,19,0,0,0,14,3,4,0,0,0,0,101,0,54,0,17,13,0,109,21,0,6,11,0,48,15,34,8,18,46,1,21
Heart / Lung,,29,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,1,1,0,0,0,0,3,0,0,0,0,0,0,3,0,4,0,0,0,0,3,1,0,0,0,0,3,0,0,0,0,0,0,0
Intestine,,171,0,0,0,4,0,34,0,0,0,14,0,0,0,0,0,12,15,5,0,1,14,2,0,0,0,0,0,3,9,0,0,0,0,0,12,0,12,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
VCA - abdominal wall,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
