,,All Donation Service Areas,NA,ALOB-OP1 Legacy of Hope,AROR-OP1 Southern Legacy of Life,AZOB-OP1 Donor Network of Arizona,CADN-OP1 Donor Network West,CAGS-OP1 Sierra Donor Services,CAOP-OP1 OneLegacy,CASD-IO1 Lifesharing - A Donate Life Organization,CORS-OP1 Donor Alliance,FLFH-IO1 OurLegacy,FLMP-OP1 South Florida Donor Network,FLUF-IO1 LifeQuest Organ Recovery Services,FLWC-OP1 LifeLink of Florida,GALL-OP1 LifeLink of Georgia,HIOP-OP1 Legacy of Life Hawaii,IAOP-OP1 Iowa Donor Network,ILIP-OP1 Gift of Hope Organ & Tissue Donor Network,INOP-OP1 Indiana Donor Network,KYDA-OP1 Network for Hope,LAOP-OP1 Louisiana Organ Procurement Agency,MAOB-OP1 New England Organ Bank,MDPC-OP1 Infinite Legacy,MIOP-OP1 Gift of Life Michigan,MNOP-OP1 LifeSource Upper Midwest Organ Procurement Organization,MOMA-OP1 Mid-America Transplant Services,MSOP-OP1 Mississippi Organ Recovery Agency,MWOB-OP1 Midwest Transplant Network,NCCM-IO1 LifeShare Carolinas,NCNC-OP1 HonorBridge,NEOR-OP1 Live On Nebraska,NJTO-OP1 New Jersey Organ and Tissue Sharing Network OPO,NMOP-OP1 New Mexico Donor Services,NVLV-OP1 Nevada Donor Network,NYAP-OP1 Center for Donation and Transplant,NYFL-IO1 Finger Lakes Donor Recovery Network,NYRT-OP1 LiveOnNY,NYWN-OP1 Upstate New York Transplant Services Inc,OHLB-OP1 Lifebanc,OHLC-OP1 Life Connection of Ohio,OHLP-OP1 Lifeline of Ohio,OKOP-OP1 LifeShare Transplant Donor Services of Oklahoma,ORUO-IO1 Cascade Life Alliance,PADV-OP1 Gift of Life Donor Program,PATF-OP1 Center for Organ Recovery and Education,PRLL-OP1 LifeLink of Puerto Rico,SCOP-OP1 We Are Sharing Hope SC,TNDS-OP1 Tennessee Donor Services,TNMS-OP1 Mid-South Transplant Foundation,TXGC-OP1 LifeGift Organ Donation Center,TXSA-OP1 Texas Organ Sharing Alliance,TXSB-OP1 Southwest Transplant Alliance,UTOP-OP1 DonorConnect,VATB-OP1 LifeNet Health,WALC-OP1 LifeCenter Northwest,"WIDN-OP1 Versiti Blood Health, Inc.",WIUW-IO1 UW Health Organ and Tissue Donation
All Centers,,"49,065","7,257",585,400,"1,121","1,145",377,"1,767",463,937,556,635,772,909,"1,245",166,338,"1,386","1,247",798,894,"1,580",687,"1,077",885,719,314,980,590,822,327,657,259,679,346,179,"1,234",199,570,409,382,618,623,"1,810","1,093",226,713,"1,212",240,"1,218",701,"1,372",585,690,"1,224",317,530
ALCH-TX1 Children's of Alabama,,27,3,4,0,0,0,0,0,0,0,2,0,3,1,5,0,0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
ALUA-TX1 University of Alabama Hospital,,450,49,107,3,0,0,0,3,0,1,4,3,21,9,60,1,0,7,1,3,8,0,2,3,2,5,21,3,7,3,0,1,0,0,0,0,0,0,0,3,0,7,0,3,3,3,9,50,20,6,3,8,1,3,1,1,2
ALVA-TX1 Birmingham VA Medical Center,,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARBH-TX1 Baptist Medical Center,,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
ARCH-TX1 Arkansas Children's Hospital,,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
ARUA-TX1 UAMS Medical Center,,217,18,3,82,1,0,0,0,0,0,1,0,1,2,1,1,0,1,3,4,4,0,1,1,2,15,5,13,1,0,3,1,2,0,0,0,0,1,0,0,0,17,0,0,0,0,1,4,14,5,1,3,0,0,4,0,1
AZCH-TX1 Phoenix Children's Hospital,,33,8,0,0,9,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
AZGS-TX1 Banner-University Medical Center Phoenix,,188,23,0,0,97,1,0,13,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6,14,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,12,0,6,1,0
AZMC-TX1 Mayo Clinic Hospital Arizona,,917,111,2,2,445,14,11,35,16,36,1,0,1,2,1,1,3,6,0,3,1,3,0,2,12,4,1,2,0,4,3,1,41,41,1,0,1,0,0,1,0,0,9,2,0,0,1,3,0,6,6,15,30,0,33,1,3
AZSJ-TX1 St. Joseph's Hospital and Medical Center,,150,6,0,1,58,11,3,10,3,2,0,0,2,0,1,0,0,2,2,0,0,0,0,1,1,1,0,1,0,0,1,0,1,14,0,0,0,0,0,0,0,4,2,0,2,0,0,1,0,4,5,4,4,0,3,0,0
AZUA-TX1 Banner University Medical Center-Tucson,,57,7,0,0,31,1,0,0,1,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6,1,0,0,0,0
CACH-TX1 Rady Children's Hospital and Health Center,,22,5,0,0,2,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CACL-TX1 Children's Hospital Los Angeles,,56,4,0,0,9,8,1,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0
