,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,VCA - abdominal wall,VCA - head and neck,VCA - upper limb,VCA - uterus
All Diagnoses,All Diagnosis,,"109,402","95,156","8,800",831,"2,386","4,045","1,028",29,168,1,2,2,4
,Abca3 Transporter Mutation,,1,0,0,0,0,0,1,0,0,0,0,0,0
,Ahn: Type B- Hbsag+,,10,0,10,0,0,0,0,0,0,0,0,0,0
,Dilated Myopathy: Post Partum,,36,0,0,0,0,36,0,0,0,0,0,0,0
,Drug Related Interstitial Nephritis,,138,138,0,0,0,0,0,0,0,0,0,0,0
,Eisenmenger'S Syn: Atrial Septal Defect,,1,0,0,0,0,0,1,1,0,0,0,0,0
,Eisenmenger'S Syn: Multi Congenital Anomalies,,3,0,0,0,0,0,3,2,0,0,0,0,0
,Ahn: Type C,,3,0,3,0,0,0,0,0,0,0,0,0,0
,Fabry'S Disease,,44,44,0,0,0,0,0,0,0,0,0,0,0
,Familial Cholestasis: Byler'S Disease,,1,0,1,0,0,0,0,0,0,0,0,0,0
,Familial Cholestasis: Other Specify,,7,0,7,0,0,0,0,0,0,0,0,0,0
,Familial Nephropathy,,27,27,0,0,0,0,0,0,0,0,0,0,0
,Fbp: Hirschsprung'S Disease,,4,0,0,0,0,0,0,0,4,0,0,0,0
,Fbp: Microvillous Inclusion Disease,,2,0,0,0,0,0,0,0,2,0,0,0,0
,Fbp: Other Specify,,2,0,0,0,0,0,0,0,2,0,0,0,0
,Fbp: Pseudo-Obstruction-Myopathic,,2,0,0,0,0,0,0,0,2,0,0,0,0
,Fbp: Pseudo-Obstruction-Neuropathic,,5,0,0,0,0,0,0,0,5,0,0,0,0
,Fbp: Unspecified,,1,0,0,0,0,0,0,0,1,0,0,0,0
,Fibrocavitary Lung Disease,,1,0,0,0,0,0,1,0,0,0,0,0,0
,Focal Glomerular Sclerosis (Focal Segmental -. Fs,,"4,343","4,342",0,1,3,0,0,0,0,0,0,0,0
,Goodpasture'S Syndrome,,86,86,0,0,0,0,0,0,0,0,0,0,0
,Gout,,7,7,0,0,0,0,0,0,0,0,0,0,0
,Alcoholic Cirrhosis,,247,0,247,0,0,0,0,0,0,0,0,0,0
,Graft Failure,,101,0,101,0,0,0,0,0,0,0,0,0,0
,Graft Failure,,4,0,0,0,0,0,0,0,4,0,0,0,0
,Graft-Vs-Host Disease (Gvhd),,1,0,0,0,0,0,1,0,0,0,0,0,0
,Granulomatous Lung Disease,,2,0,0,0,0,0,2,0,0,0,0,0,0
,Heart Re-Tx/Gf: Acute Rejection,,3,0,0,0,0,3,0,0,0,0,0,0,0
,Heart Re-Tx/Gf: Chronic Rejection,,16,0,0,0,0,16,0,0,0,0,0,0,0
,Heart Re-Tx/Gf: Coronary Artery Disease,,87,0,0,0,0,87,0,0,0,0,0,0,0
,Heart Re-Tx/Gf: Non-Specific,,6,0,0,0,0,6,0,0,0,0,0,0,0
,Alcoholic Cirrhosis With Hepatitis C,,12,0,12,0,0,0,0,0,0,0,0,0,0
,Heart Re-Tx/Gf: Other Specify,,12,0,0,0,0,12,0,0,0,0,0,0,0
,Heart Re-Tx/Gf: Primary Failure,,1,0,0,0,0,1,0,0,0,0,0,0,0
,Heart Re-Tx/Gf: Restrictive/Constrictive,,9,0,0,0,0,9,0,0,0,0,0,0,0
,Hemolytic Uremic Syndrome,,160,159,0,0,1,0,0,0,0,0,0,0,0
,Henoch-Schoenlein Purpura,,21,21,0,0,0,0,0,0,0,0,0,0,0
,Hepatorenal Syndrome,,763,763,0,0,0,0,0,0,0,0,0,0,0
,Hermansky Pudlak Syndrome,,1,0,0,0,0,0,1,0,0,0,0,0,0
,Heroin Nephrotoxicity,,4,4,0,0,0,0,0,0,0,0,0,0,0
,Alpha -. 1. -. Antitrypsin Deficiency,,19,0,0,0,0,0,19,0,0,0,0,0,0
,Hiv Nephropathy,,257,257,0,0,0,0,0,0,0,0,0,0,0
,
,Hypersensitivity Pneumonitis,,54,0,0,0,0,0,54,0,0,0,0,0,0
,Hypertensive Nephrosclerosis,,"16,923","16,908",0,2,44,0,0,0,0,0,0,0,0
,Hypertrophic Cardiomyopathy,,144,0,0,0,0,144,0,0,0,0,0,0,0
,Hypoplasia/Dysplasia/Dysgensis/Agenesis,,534,534,0,0,0,0,0,0,0,0,0,0,0
,Idio/Post-Inf Crescentic Glomerulonephri,,91,91,0,0,0,0,0,0,0,0,0,0,0
,Iga Nephropathy,,"3,937","3,934",0,1,8,0,0,0,0,0,0,0,0
,Alport'S Syndrome,,556,556,0,1,2,0,0,0,0,0,0,0,0
,Iip: Boop/Cop,,3,0,0,0,0,0,3,0,0,0,0,0,0
,Iip: Idiopathic Pulmonary Fibrosis (Ipf),,243,0,0,0,0,0,243,2,0,0,0,0,0
,Iip: Nonspecific Interstitial Pneumonia,,43,0,0,0,0,0,43,0,0,0,0,0,0
,Incidental Carcinoma,,2,2,0,0,0,0,0,0,0,0,0,0,0
,Intestinal Disease Other Specify,,6,0,0,0,0,0,0,0,6,0,0,0,0
,Lithium Toxicity,,415,415,0,0,0,0,0,0,0,0,0,0,0
,Lung Re-Tx/Gf: Non-Specific,,1,0,0,0,0,0,1,0,0,0,0,0,0
,Lung Re-Tx/Gf: Obliterative Bronchiolitis-Obstruc,,26,0,0,0,0,0,26,0,0,0,0,0,0
,Lung Re-Tx/Gf: Obliterative Bronchiolitis-Restric,,6,0,0,0,0,0,6,0,0,0,0,0,0
,Lung Re-Tx/Gf: Obstructive,,6,0,0,0,0,0,6,0,0,0,0,0,0
,Lung Re-Tx/Gf: Other Specify,,3,0,0,0,0,0,3,0,0,0,0,0,0
,Lung Re-Tx/Gf: Primary Graft Failure,,3,0,0,0,0,0,3,0,0,0,0,0,0
,Lung Re-Tx/Gf: Restrictive,,3,0,0,0,0,0,3,0,0,0,0,0,0
,Lupus,,1,0,0,0,0,0,1,0,0,0,0,0,0
,Lymphangioleiomyomatosis,,3,0,0,0,0,0,3,1,0,0,0,0,0
,Lymphoma,,6,6,0,0,0,0,0,0,0,0,0,0,0
,Malignant Hypertension,,554,554,0,0,1,0,0,0,0,0,0,0,0
,Medullary Cystic Disease,,103,103,0,0,1,0,0,0,0,0,0,0,0
,Membranous Glomerulonephritis,,490,490,0,0,0,0,0,0,0,0,0,0,0
,Membranous Nephropathy,,453,453,0,0,1,0,0,0,0,0,0,0,0
,Mesangio-Capillary 1. Glomerulonephritis,,36,36,0,0,0,0,0,0,0,0,0,0,0
,Mesangio-Capillary 2. Glomerulonephritis,,15,15,0,0,0,0,0,0,0,0,0,0,0
,Metdis: Alpha-1-Antitrypsin Defic A-1-A,,25,0,25,0,0,0,0,0,0,0,0,0,0
