,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,VCA - abdominal wall,VCA - head and neck,VCA - upper limb,VCA - uterus
All Center States,All Donation Service Areas,,"109,402","95,156","8,800",831,"2,386","4,045","1,028",29,168,1,2,2,4
,ALOB-OP1 Legacy of Hope,,"1,215",984,204,2,21,23,11,0,0,0,0,0,2
,AROR-OP1 Southern Legacy of Life,,429,375,22,0,7,28,0,0,0,0,0,0,0
,AZOB-OP1 Donor Network of Arizona,,"2,442","2,132",220,2,42,67,16,0,0,0,0,0,0
,CADN-OP1 Donor Network West,,"7,786","7,037",502,48,174,89,51,3,4,0,0,0,0
,CAGS-OP1 Sierra Donor Services,,"1,933","1,910",16,0,0,7,0,0,0,0,0,0,0
,CAOP-OP1 OneLegacy,,"8,827","7,720",783,47,191,196,44,1,34,0,0,0,0
,CASD-IO1 Lifesharing - A Donate Life Organization,,"1,787","1,617",114,5,18,65,7,0,0,0,0,0,0
,CORS-OP1 Donor Alliance,,"1,492","1,295",155,13,12,52,5,0,0,0,0,0,0
,FLFH-IO1 OurLegacy,,987,823,84,3,14,62,7,0,0,0,0,0,0
,FLMP-OP1 South Florida Donor Network,,"1,953","1,630",237,16,49,76,4,0,14,0,0,0,0
,FLUF-IO1 LifeQuest Organ Recovery Services,,"1,788","1,518",121,7,38,118,26,2,0,0,0,0,0
,FLWC-OP1 LifeLink of Florida,,"1,910","1,761",97,0,16,55,7,0,0,0,0,0,0
,GALL-OP1 LifeLink of Georgia,,"3,323","3,000",196,1,41,157,5,0,0,0,0,0,0
,HIOP-OP1 Legacy of Life Hawaii,,366,337,29,0,5,0,0,0,0,0,0,0,0
,IAOP-OP1 Iowa Donor Network,,606,546,18,3,24,18,6,0,0,0,0,0,0
,ILIP-OP1 Gift of Hope Organ & Tissue Donor Network,,"4,499","3,907",211,80,162,210,42,0,12,0,0,0,0
,INOP-OP1 Indiana Donor Network,,"1,467","1,263",111,10,42,92,6,0,15,0,0,0,0
,KYDA-OP1 Network for Hope,,"1,560","1,292",135,14,27,96,24,2,5,0,0,0,0
,LAOP-OP1 Louisiana Organ Procurement Agency,,"2,032","1,772",166,4,68,46,4,0,0,0,0,0,0
,MAOB-OP1 New England Organ Bank,,"5,977","5,325",456,30,40,181,36,0,1,0,1,0,0
,MDPC-OP1 Infinite Legacy,,"4,004","3,300",560,49,85,122,52,2,14,0,0,1,0
,MIOP-OP1 Gift of Life Michigan,,"2,607","2,312",101,24,35,119,82,1,2,0,0,0,0
,MNOP-OP1 LifeSource Upper Midwest Organ Procurement Organization,,"2,827","2,446",181,78,219,120,35,1,0,0,0,0,0
,MOMA-OP1 Mid-America Transplant Services,,"1,465","1,268",103,0,45,48,19,0,0,0,0,0,0
,MSOP-OP1 Mississippi Organ Recovery Agency,,551,497,41,0,11,11,0,0,0,0,0,0,0
,MWOB-OP1 Midwest Transplant Network,,"1,271","1,073",153,1,33,44,0,0,0,0,0,0,0
,NCCM-IO1 LifeShare Carolinas,,"1,681","1,576",34,70,78,56,0,0,0,0,0,0,0
,NCNC-OP1 HonorBridge,,"2,408","2,204",66,5,40,108,14,3,3,1,0,0,0
,NEOR-OP1 Live On Nebraska,,460,358,54,8,2,51,3,0,9,0,0,0,0
,NJTO-OP1 New Jersey Organ and Tissue Sharing Network OPO,,"2,509","2,330",88,16,53,40,4,0,0,0,0,0,0
,NMOP-OP1 New Mexico Donor Services,,446,442,0,0,6,0,0,0,0,0,0,0,0
,NVLV-OP1 Nevada Donor Network,,415,414,0,0,21,0,0,0,0,0,0,0,0
,NYAP-OP1 Center for Donation and Transplant,,217,215,0,2,1,0,0,0,0,0,0,0,0
