,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,VCA - abdominal wall,VCA - head and neck,VCA - upper limb,VCA - uterus
All Center States,All Centers,,"109,402","95,156","8,800",831,"2,386","4,045","1,028",29,168,1,2,2,4
,ALCH-TX1 Children's of Alabama,,30,21,3,0,0,6,0,0,0,0,0,0,0
,ALUA-TX1 University of Alabama Hospital,,"1,185",963,201,2,21,17,11,0,0,0,0,0,2
,ARBH-TX1 Baptist Medical Center,,24,0,0,0,0,24,0,0,0,0,0,0,0
,ARCH-TX1 Arkansas Children's Hospital,,13,9,0,0,0,4,0,0,0,0,0,0,0
,ARUA-TX1 UAMS Medical Center,,392,366,22,0,7,0,0,0,0,0,0,0,0
,AZCH-TX1 Phoenix Children's Hospital,,50,37,3,0,0,10,0,0,0,0,0,0,0
,AZGS-TX1 Banner-University Medical Center Phoenix,,536,466,34,2,13,32,0,0,0,0,0,0,0
,AZHH-TX1 Phoenix Regional Medical Center,,11,11,0,0,0,0,0,0,0,0,0,0,0
,AZMC-TX1 Mayo Clinic Hospital Arizona,,"1,483","1,281",169,0,26,25,5,0,0,0,0,0,0
,AZSJ-TX1 St. Joseph's Hospital and Medical Center,,141,122,9,0,0,0,11,0,0,0,0,0,0
,AZSM-TX1 Scottsdale Healthcare Osborn,,10,10,0,0,0,0,0,0,0,0,0,0,0
,AZUA-TX1 Banner University Medical Center-Tucson,,234,225,8,0,3,0,0,0,0,0,0,0,0
,CABE-TX1 Saint Bernardine Medical Center,,1,1,0,0,0,0,0,0,0,0,0,0,0
,CACH-TX1 Rady Children's Hospital and Health Center,,51,39,4,0,0,9,0,0,0,0,0,0,0
,CACL-TX1 Children's Hospital Los Angeles,,115,79,20,0,0,16,0,0,0,0,0,0,0
,CACS-TX1 Cedars-Sinai Medical Center,,"1,422","1,231",88,4,21,100,20,1,0,0,0,0,0
,CAGH-TX1 Scripps Green Hospital,,362,334,26,2,8,0,0,0,0,0,0,0,0
,CAIM-TX1 University of California Irvine Medical Center,,635,616,0,1,18,0,0,0,0,0,0,0,0
,CALA-TX1 Harbor UCLA Medical Center,,576,576,0,0,0,0,0,0,0,0,0,0,0
,CALB-TX1 St Mary Medical Center,,1,1,0,0,0,0,0,0,0,0,0,0,0
,CALL-TX1 Loma Linda University Medical Center,,"2,015","1,801",69,11,123,31,0,0,0,0,0,0,0
,CAMB-TX1 UCSF Medical Center at Mission Bay,,69,53,8,0,0,8,0,0,0,0,0,0,0
,CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,,188,140,30,5,0,17,4,0,4,0,0,0,0
,CAPM-TX1 California Pacific Medical Center-Van Ness Campus,,"1,392","1,341",47,2,16,5,0,0,0,0,0,0,0
,CASD-TX1 University of California San Diego Medical Center,,756,633,84,0,0,52,7,0,0,0,0,0,0
,CASF-TX1 University of California San Francisco Medical Center,,"4,377","3,871",314,40,143,39,22,1,0,0,0,0,0
,CASG-TX1 Sutter Medical Center Sacramento,,7,0,0,0,0,7,0,0,0,0,0,0,0
,CASH-TX1 Sharp Memorial Hospital,,623,616,0,3,10,4,0,0,0,0,0,0,0
,CASJ-TX1 Saint Joseph Hospital,,277,272,0,0,7,0,0,0,0,0,0,0,0
,CASM-TX1 University of California Davis Medical Center,,"1,926","1,910",16,0,0,0,0,0,0,0,0,0,0
,CASU-TX1 Stanford Health Care,,"1,853","1,719",106,1,15,20,25,2,0,0,0,0,0
,CASV-TX1 St. Vincent Medical Center,,1,1,0,0,0,0,0,0,0,0,0,0,0
,CAUC-TX1 University of California at Los Angeles Medical Center,,"2,455","2,048",390,23,3,24,17,0,34,0,0,0,0
,CAUH-TX1 Keck Hospital of USC,,"1,402","1,161",218,8,20,26,7,0,0,0,0,0,0
,COCH-TX1 Children's Hospital Colorado,,35,20,3,0,0,12,0,0,0,0,0,0,0
,COPM-TX1 AdventHealth Porter,,346,328,20,0,0,0,0,0,0,0,0,0,0
,COSL-TX1 Presbyterian/St Luke's Medical Center,,245,241,4,0,0,0,0,0,0,0,0,0,0
,COUC-TX1 University of Colorado Hospital/Health Science Center,,885,725,128,13,12,40,5,0,0,0,0,0,0
,CTHH-TX1 Hartford Hospital,,490,418,63,0,0,17,0,0,0,0,0,0,0
,CTYN-TX1 Yale New Haven Hospital,,737,635,84,2,0,25,0,0,0,0,1,0,0
