,,All Donation Service Areas,CADN-OP1 Donor Network West,CAOP-OP1 OneLegacy,FLMP-OP1 South Florida Donor Network,INOP-OP1 Indiana Donor Network,KYDA-OP1 Network for Hope,MDPC-OP1 Infinite Legacy,MIOP-OP1 Gift of Life Michigan,NCNC-OP1 HonorBridge,NEOR-OP1 Live On Nebraska,NYRT-OP1 LiveOnNY,OHLB-OP1 Lifebanc,PATF-OP1 Center for Organ Recovery and Education
All Centers,,37,1,1,9,2,1,5,2,2,6,4,1,3
CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,,1,1,0,0,0,0,0,0,0,0,0,0,0
CAUC-TX1 University of California at Los Angeles Medical Center,,1,0,1,0,0,0,0,0,0,0,0,0,0
DCGU-TX1 Medstar Georgetown Transplant Institute,,5,0,0,0,0,0,5,0,0,0,0,0,0
FLJM-TX1 Jackson Memorial Hospital University of Miami School of Medicine,,9,0,0,9,0,0,0,0,0,0,0,0,0
INIM-TX1 Indiana University Health,,2,0,0,0,2,0,0,0,0,0,0,0,0
MIHF-TX1 Henry Ford Hospital,,2,0,0,0,0,0,0,2,0,0,0,0,0
NCDU-TX1 Duke University Hospital,,2,0,0,0,0,0,0,0,2,0,0,0,0
NEUN-TX1 The Nebraska Medical Center,,6,0,0,0,0,0,0,0,0,6,0,0,0
NYCP-TX1 NY Presbyterian Hospital/Columbia Univ. Medical Center,,1,0,0,0,0,0,0,0,0,0,1,0,0
NYMS-TX1 Mount Sinai Medical Center,,3,0,0,0,0,0,0,0,0,0,3,0,0
OHCC-TX1 The Cleveland Clinic Foundation,,1,0,0,0,0,0,0,0,0,0,0,1,0
OHCM-TX1 Children's Hospital Medical Center,,1,0,0,0,0,1,0,0,0,0,0,0,0
PACH-TX1 UPMC Children's Hospital of Pittsburgh,,1,0,0,0,0,0,0,0,0,0,0,0,1
PAPT-TX1 University of Pittsburgh Medical Center,,2,0,0,0,0,0,0,0,0,0,0,0,2
