,,All Donation Service Areas,CASD-IO1 Lifesharing - A Donate Life Organization,CORS-OP1 Donor Alliance,FLUF-IO1 LifeQuest Organ Recovery Services,ILIP-OP1 Gift of Hope Organ & Tissue Donor Network,KYDA-OP1 Network for Hope,MAOB-OP1 New England Organ Bank,MNOP-OP1 LifeSource Upper Midwest Organ Procurement Organization,NYRT-OP1 LiveOnNY,TXGC-OP1 LifeGift Organ Donation Center
All Centers,,16,1,1,1,7,1,1,1,1,2
CASD-TX1 University of California San Diego Medical Center,,1,1,0,0,0,0,0,0,0,0
COUC-TX1 University of Colorado Hospital/Health Science Center,,1,0,1,0,0,0,0,0,0,0
FLUF-TX1 UF Health Shands Hospital,,1,0,0,1,0,0,0,0,0,0
ILLU-TX1 Loyola University Medical Center,,1,0,0,0,1,0,0,0,0,0
ILNM-TX1 Northwestern Memorial Hospital,,6,0,0,0,6,0,0,0,0,0
KYUK-TX1 University of Kentucky Medical Center,,1,0,0,0,0,1,0,0,0,0
MAMG-TX1 Massachusetts General Hospital,,1,0,0,0,0,0,1,0,0,0
MNMC-TX1 Mayo Clinic Hospital Minnesota,,1,0,0,0,0,0,0,1,0,0
NYUC-TX1 NYU Langone Health,,1,0,0,0,0,0,0,0,1,0
TXMH-TX1 Houston Methodist Hospital,,2,0,0,0,0,0,0,0,0,2
