,,All Donation Service Areas,CADN-OP1 Donor Network West,CASD-IO1 Lifesharing - A Donate Life Organization,FLUF-IO1 LifeQuest Organ Recovery Services,FLWC-OP1 LifeLink of Florida,ILIP-OP1 Gift of Hope Organ & Tissue Donor Network,MAOB-OP1 New England Organ Bank,MDPC-OP1 Infinite Legacy,MIOP-OP1 Gift of Life Michigan,NCNC-OP1 HonorBridge,NYRT-OP1 LiveOnNY,OHLB-OP1 Lifebanc,TNDS-OP1 Tennessee Donor Services,TXGC-OP1 LifeGift Organ Donation Center,WALC-OP1 LifeCenter Northwest
All Centers,,39,1,3,6,1,4,1,1,1,1,8,4,2,5,1
CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CASD-TX1 University of California San Diego Medical Center,,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
FLSL-TX1 Mayo Clinic Hospital Florida,,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0
FLTG-TX1 Tampa General Hospital,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FLUF-TX1 UF Health Shands Hospital,,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ILNM-TX1 Northwestern Memorial Hospital,,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0
MAMG-TX1 Massachusetts General Hospital,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MDJH-TX1 Johns Hopkins Hospital,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MIHF-TX1 Henry Ford Hospital,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NCDU-TX1 Duke University Hospital,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NYCP-TX1 NY Presbyterian Hospital/Columbia Univ. Medical Center,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NYMA-TX1 Montefiore Medical Center,,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
NYMS-TX1 Mount Sinai Medical Center,,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0
NYUC-TX1 NYU Langone Health,,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
OHCC-TX1 The Cleveland Clinic Foundation,,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0
TNVU-TX1 Vanderbilt University Medical Center,,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0
TXHI-TX1 CHI St. Luke's Health Baylor College of Medicine Medical Center,,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
TXMH-TX1 Houston Methodist Hospital,,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0
WAUW-TX1 University of Washington Medical Center,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
