,,All Donation Service Areas,NA,ALOB-OP1 Legacy of Hope,AROR-OP1 Southern Legacy of Life,AZOB-OP1 Donor Network of Arizona,CADN-OP1 Donor Network West,CAGS-OP1 Sierra Donor Services,CAOP-OP1 OneLegacy,CASD-IO1 Lifesharing - A Donate Life Organization,CORS-OP1 Donor Alliance,FLFH-IO1 OurLegacy,FLMP-OP1 South Florida Donor Network,FLUF-IO1 LifeQuest Organ Recovery Services,FLWC-OP1 LifeLink of Florida,GALL-OP1 LifeLink of Georgia,HIOP-OP1 Legacy of Life Hawaii,IAOP-OP1 Iowa Donor Network,ILIP-OP1 Gift of Hope Organ & Tissue Donor Network,INOP-OP1 Indiana Donor Network,KYDA-OP1 Network for Hope,LAOP-OP1 Louisiana Organ Procurement Agency,MAOB-OP1 New England Organ Bank,MDPC-OP1 Infinite Legacy,MIOP-OP1 Gift of Life Michigan,MNOP-OP1 LifeSource Upper Midwest Organ Procurement Organization,MOMA-OP1 Mid-America Transplant Services,MSOP-OP1 Mississippi Organ Recovery Agency,MWOB-OP1 Midwest Transplant Network,NCCM-IO1 LifeShare Carolinas,NCNC-OP1 HonorBridge,NEOR-OP1 Live On Nebraska,NJTO-OP1 New Jersey Organ and Tissue Sharing Network OPO,NMOP-OP1 New Mexico Donor Services,NVLV-OP1 Nevada Donor Network,NYAP-OP1 Center for Donation and Transplant,NYFL-IO1 Finger Lakes Donor Recovery Network,NYRT-OP1 LiveOnNY,NYWN-OP1 Upstate New York Transplant Services Inc,OHLB-OP1 Lifebanc,OHLC-OP1 Life Connection of Ohio,OHLP-OP1 Lifeline of Ohio,OKOP-OP1 LifeShare Transplant Donor Services of Oklahoma,ORUO-IO1 Cascade Life Alliance,PADV-OP1 Gift of Life Donor Program,PATF-OP1 Center for Organ Recovery and Education,PRLL-OP1 LifeLink of Puerto Rico,SCOP-OP1 We Are Sharing Hope SC,TNDS-OP1 Tennessee Donor Services,TNMS-OP1 Mid-South Transplant Foundation,TXGC-OP1 LifeGift Organ Donation Center,TXSA-OP1 Texas Organ Sharing Alliance,TXSB-OP1 Southwest Transplant Alliance,UTOP-OP1 DonorConnect,VATB-OP1 LifeNet Health,WALC-OP1 LifeCenter Northwest,"WIDN-OP1 Versiti Blood Health, Inc.",WIUW-IO1 UW Health Organ and Tissue Donation
All Centers,,"12,344",709,184,106,321,332,102,468,114,202,146,165,231,265,351,36,73,368,327,235,275,483,207,325,248,200,94,245,179,235,90,203,69,209,100,44,388,44,167,106,109,163,157,510,316,86,212,342,67,316,179,357,166,180,318,83,137
ALCH-TX1 Children's of Alabama,,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALUA-TX1 University of Alabama Hospital,,153,0,41,2,0,0,0,0,0,1,2,2,11,3,27,0,0,4,1,2,7,0,1,0,0,2,5,1,4,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,3,12,7,2,0,6,0,2,0,0,0
ARUA-TX1 UAMS Medical Center,,48,0,1,21,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,2,0,0,0,0,1,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,8,2,1,0,0,0,0,0,0
AZCH-TX1 Phoenix Children's Hospital,,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AZGS-TX1 Banner-University Medical Center Phoenix,,68,0,0,0,29,0,0,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,7,0,2,0,0
AZMC-TX1 Mayo Clinic Hospital Arizona,,322,0,1,0,136,10,6,19,8,17,0,0,0,0,0,0,1,6,0,1,0,0,0,2,9,0,0,0,0,1,2,0,28,17,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,3,8,17,0,20,1,0
AZSJ-TX1 St. Joseph's Hospital and Medical Center,,21,0,0,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CACH-TX1 Rady Children's Hospital and Health Center,,7,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CACL-TX1 Children's Hospital Los Angeles,,29,1,0,0,7,4,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
CACS-TX1 Cedars-Sinai Medical Center,,145,0,0,0,19,16,4,64,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CAGH-TX1 Scripps Green Hospital,,12,0,0,0,1,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALL-TX1 Loma Linda University Medical Center,,97,0,0,0,8,3,1,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
CAMB-TX1 UCSF Medical Center at Mission Bay,,10,5,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,,17,0,0,0,1,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0
