,,All Donation Service Areas,NA,ALOB-OP1 Legacy of Hope,AROR-OP1 Southern Legacy of Life,AZOB-OP1 Donor Network of Arizona,CADN-OP1 Donor Network West,CAGS-OP1 Sierra Donor Services,CAOP-OP1 OneLegacy,CASD-IO1 Lifesharing - A Donate Life Organization,CORS-OP1 Donor Alliance,FLFH-IO1 OurLegacy,FLMP-OP1 South Florida Donor Network,FLUF-IO1 LifeQuest Organ Recovery Services,FLWC-OP1 LifeLink of Florida,GALL-OP1 LifeLink of Georgia,HIOP-OP1 Legacy of Life Hawaii,IAOP-OP1 Iowa Donor Network,ILIP-OP1 Gift of Hope Organ & Tissue Donor Network,INOP-OP1 Indiana Donor Network,KYDA-OP1 Network for Hope,LAOP-OP1 Louisiana Organ Procurement Agency,MAOB-OP1 New England Organ Bank,MDPC-OP1 Infinite Legacy,MIOP-OP1 Gift of Life Michigan,MNOP-OP1 LifeSource Upper Midwest Organ Procurement Organization,MOMA-OP1 Mid-America Transplant Services,MSOP-OP1 Mississippi Organ Recovery Agency,MWOB-OP1 Midwest Transplant Network,NCCM-IO1 LifeShare Carolinas,NCNC-OP1 HonorBridge,NEOR-OP1 Live On Nebraska,NJTO-OP1 New Jersey Organ and Tissue Sharing Network OPO,NMOP-OP1 New Mexico Donor Services,NVLV-OP1 Nevada Donor Network,NYAP-OP1 Center for Donation and Transplant,NYFL-IO1 Finger Lakes Donor Recovery Network,NYRT-OP1 LiveOnNY,NYWN-OP1 Upstate New York Transplant Services Inc,OHLB-OP1 Lifebanc,OHLC-OP1 Life Connection of Ohio,OHLP-OP1 Lifeline of Ohio,OKOP-OP1 LifeShare Transplant Donor Services of Oklahoma,ORUO-IO1 Cascade Life Alliance,PADV-OP1 Gift of Life Donor Program,PATF-OP1 Center for Organ Recovery and Education,PRLL-OP1 LifeLink of Puerto Rico,SCOP-OP1 We Are Sharing Hope SC,TNDS-OP1 Tennessee Donor Services,TNMS-OP1 Mid-South Transplant Foundation,TXGC-OP1 LifeGift Organ Donation Center,TXSA-OP1 Texas Organ Sharing Alliance,TXSB-OP1 Southwest Transplant Alliance,UTOP-OP1 DonorConnect,VATB-OP1 LifeNet Health,WALC-OP1 LifeCenter Northwest,"WIDN-OP1 Versiti Blood Health, Inc.",WIUW-IO1 UW Health Organ and Tissue Donation
All Centers,,"4,587",14,66,52,116,115,37,154,66,143,55,80,78,99,144,8,34,161,126,84,103,151,78,94,99,79,39,112,59,96,43,59,28,74,40,20,88,26,58,47,43,81,79,179,134,22,52,141,31,148,86,178,72,76,146,38,56
ALCH-TX1 Children's of Alabama,,8,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
ALUA-TX1 University of Alabama Hospital,,22,0,3,1,0,0,0,0,0,0,1,0,0,3,3,0,0,1,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0
ARBH-TX1 Baptist Medical Center,,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
ARCH-TX1 Arkansas Children's Hospital,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
AZCH-TX1 Phoenix Children's Hospital,,12,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
AZGS-TX1 Banner-University Medical Center Phoenix,,35,2,0,0,14,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,3,0,0
AZMC-TX1 Mayo Clinic Hospital Arizona,,31,0,0,0,12,3,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0
CACH-TX1 Rady Children's Hospital and Health Center,,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CACL-TX1 Children's Hospital Los Angeles,,7,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
