,,All Donation Service Areas,NA,ALOB-OP1 Legacy of Hope,AROR-OP1 Southern Legacy of Life,AZOB-OP1 Donor Network of Arizona,CADN-OP1 Donor Network West,CAGS-OP1 Sierra Donor Services,CAOP-OP1 OneLegacy,CASD-IO1 Lifesharing - A Donate Life Organization,CORS-OP1 Donor Alliance,FLFH-IO1 OurLegacy,FLMP-OP1 South Florida Donor Network,FLUF-IO1 LifeQuest Organ Recovery Services,FLWC-OP1 LifeLink of Florida,GALL-OP1 LifeLink of Georgia,HIOP-OP1 Legacy of Life Hawaii,IAOP-OP1 Iowa Donor Network,ILIP-OP1 Gift of Hope Organ & Tissue Donor Network,INOP-OP1 Indiana Donor Network,KYDA-OP1 Network for Hope,LAOP-OP1 Louisiana Organ Procurement Agency,MAOB-OP1 New England Organ Bank,MDPC-OP1 Infinite Legacy,MIOP-OP1 Gift of Life Michigan,MNOP-OP1 LifeSource Upper Midwest Organ Procurement Organization,MOMA-OP1 Mid-America Transplant Services,MSOP-OP1 Mississippi Organ Recovery Agency,MWOB-OP1 Midwest Transplant Network,NCCM-IO1 LifeShare Carolinas,NCNC-OP1 HonorBridge,NEOR-OP1 Live On Nebraska,NJTO-OP1 New Jersey Organ and Tissue Sharing Network OPO,NMOP-OP1 New Mexico Donor Services,NVLV-OP1 Nevada Donor Network,NYAP-OP1 Center for Donation and Transplant,NYFL-IO1 Finger Lakes Donor Recovery Network,NYRT-OP1 LiveOnNY,NYWN-OP1 Upstate New York Transplant Services Inc,OHLB-OP1 Lifebanc,OHLC-OP1 Life Connection of Ohio,OHLP-OP1 Lifeline of Ohio,OKOP-OP1 LifeShare Transplant Donor Services of Oklahoma,ORUO-IO1 Cascade Life Alliance,PADV-OP1 Gift of Life Donor Program,PATF-OP1 Center for Organ Recovery and Education,PRLL-OP1 LifeLink of Puerto Rico,SCOP-OP1 We Are Sharing Hope SC,TNDS-OP1 Tennessee Donor Services,TNMS-OP1 Mid-South Transplant Foundation,TXGC-OP1 LifeGift Organ Donation Center,TXSA-OP1 Texas Organ Sharing Alliance,TXSB-OP1 Southwest Transplant Alliance,UTOP-OP1 DonorConnect,VATB-OP1 LifeNet Health,WALC-OP1 LifeCenter Northwest,"WIDN-OP1 Versiti Blood Health, Inc.",WIUW-IO1 UW Health Organ and Tissue Donation
All Centers,,"3,490",2,50,32,76,89,36,172,47,85,63,74,57,70,140,7,25,134,112,46,82,88,60,87,71,61,38,83,33,53,22,39,10,89,19,9,57,11,53,38,18,48,59,136,68,22,43,100,20,119,77,211,33,63,79,21,53
ALUA-TX1 University of Alabama Hospital,,31,0,5,0,0,0,0,0,0,0,0,0,1,2,2,0,0,1,0,0,0,0,0,1,2,0,1,1,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,1,2,0,0,1,0,1,1,2,0,0,0,1,1
AZMC-TX1 Mayo Clinic Hospital Arizona,,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AZSJ-TX1 St. Joseph's Hospital and Medical Center,,80,0,0,1,13,10,2,8,3,2,0,0,1,0,1,0,0,2,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,4,5,4,3,0,3,0,0
AZUA-TX1 Banner University Medical Center-Tucson,,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CACS-TX1 Cedars-Sinai Medical Center,,93,0,0,1,7,8,1,24,5,2,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,8,0,0,0,0,1,0,0,1,7,0,0,0,0,2,0,4,4,3,3,0,3,2,0
CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,,7,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
CASD-TX1 University of California San Diego Medical Center,,54,0,0,1,5,2,2,5,7,2,2,0,0,1,0,2,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,4,4,1,0,1,0,3
CASF-TX1 University of California San Francisco Medical Center,,89,0,0,0,3,19,7,12,2,3,0,1,1,0,0,0,0,0,3,0,0,0,0,1,1,0,0,2,1,0,0,1,0,10,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,1,2,5,2,0,5,0,1
CASU-TX1 Stanford Health Care,,70,0,0,0,2,14,2,13,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,2,2,2,4,0,4,1,2
