,,All Donation Service Areas,ALOB-OP1 Legacy of Hope,AZOB-OP1 Donor Network of Arizona,CADN-OP1 Donor Network West,CAGS-OP1 Sierra Donor Services,CAOP-OP1 OneLegacy,CORS-OP1 Donor Alliance,FLFH-IO1 OurLegacy,FLMP-OP1 South Florida Donor Network,GALL-OP1 LifeLink of Georgia,ILIP-OP1 Gift of Hope Organ & Tissue Donor Network,INOP-OP1 Indiana Donor Network,KYDA-OP1 Network for Hope,MAOB-OP1 New England Organ Bank,MIOP-OP1 Gift of Life Michigan,MNOP-OP1 LifeSource Upper Midwest Organ Procurement Organization,MOMA-OP1 Mid-America Transplant Services,MWOB-OP1 Midwest Transplant Network,NCCM-IO1 LifeShare Carolinas,NJTO-OP1 New Jersey Organ and Tissue Sharing Network OPO,NVLV-OP1 Nevada Donor Network,NYAP-OP1 Center for Donation and Transplant,NYRT-OP1 LiveOnNY,OHLC-OP1 Life Connection of Ohio,OHLP-OP1 Lifeline of Ohio,ORUO-IO1 Cascade Life Alliance,PADV-OP1 Gift of Life Donor Program,TNDS-OP1 Tennessee Donor Services,TXGC-OP1 LifeGift Organ Donation Center,TXSB-OP1 Southwest Transplant Alliance,UTOP-OP1 DonorConnect,VATB-OP1 LifeNet Health,WIUW-IO1 UW Health Organ and Tissue Donation
All Centers,,61,1,1,5,1,5,2,2,3,1,1,1,2,2,1,4,1,1,1,1,4,1,2,2,1,3,1,3,3,1,1,2,1
CASF-TX1 University of California San Francisco Medical Center,,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CASU-TX1 Stanford Health Care,,12,0,0,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
CAUC-TX1 University of California at Los Angeles Medical Center,,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
FLFH-TX1 AdventHealth Orlando,,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FLSL-TX1 Mayo Clinic Hospital Florida,,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILLU-TX1 Loyola University Medical Center,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILNM-TX1 Northwestern Memorial Hospital,,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILUC-TX1 University of Chicago Medical Center,,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
MIHF-TX1 Henry Ford Hospital,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNMC-TX1 Mayo Clinic Hospital Minnesota,,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCDU-TX1 Duke University Hospital,,5,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
NYCP-TX1 NY Presbyterian Hospital/Columbia Univ. Medical Center,,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
NYNS-TX1 North Shore University Hospital/Northwell Health,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NYUC-TX1 NYU Langone Health,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
OHCC-TX1 The Cleveland Clinic Foundation,,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAPT-TX1 University of Pittsburgh Medical Center,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PATJ-TX1 Thomas Jefferson University Hospital,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
PATU-TX1 Temple University Hospital,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TNVU-TX1 Vanderbilt University Medical Center,,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
TXHI-TX1 CHI St. Luke's Health Baylor College of Medicine Medical Center,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TXMH-TX1 Houston Methodist Hospital,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
WIUW-TX1 University of Wisconsin Hospital and Clinics,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
