id,type,name,state,region,flow_total,current_lat,current_lon,coordinate_status,suggested_search,manual_city,manual_state,manual_lat,manual_lon,review_notes
TNVU-TX1,transplant_center,Vanderbilt University Medical Center,Tennessee,Region  11,893,36.1409,-86.8016,facility_or_city,"Vanderbilt University Medical Center, Tennessee, transplant center",,,,,
FLTG-TX1,transplant_center,Tampa General Hospital,Florida,Region  3,760,27.9375,-82.4589,facility_or_city,"Tampa General Hospital, Florida, transplant center",,,,,
SCMU-TX1,transplant_center,Medical University of South Carolina,South Carolina,Region  11,612,32.7902,-79.9576,facility_or_city,"Medical University of South Carolina, South Carolina, transplant center",,,,,
NCDU-TX1,transplant_center,Duke University Hospital,North Carolina,Region  11,611,36.007,-78.9373,facility_or_city,"Duke University Hospital, North Carolina, transplant center",,,,,
CACS-TX1,transplant_center,Cedars-Sinai Medical Center,California,Region  5,597,34.0752,-118.3811,facility_or_city,"Cedars-Sinai Medical Center, California, transplant center",,,,,
ILNM-TX1,transplant_center,Northwestern Memorial Hospital,Illinois,Region  7,592,41.8946,-87.6215,facility_or_city,"Northwestern Memorial Hospital, Illinois, transplant center",,,,,
GAPH-TX1,transplant_center,Piedmont Hospital,Georgia,Region  3,565,33.4713,-81.9824,facility_or_city,"Piedmont Hospital, Georgia, transplant center",,,,,
MOBH-TX1,transplant_center,Barnes-Jewish Hospital,Missouri,Region  8,551,38.6372,-90.2644,facility_or_city,"Barnes-Jewish Hospital, Missouri, transplant center",,,,,
OHOU-TX1,transplant_center,Ohio State University Medical Center,Ohio,Region  11,530,39.99532765,-83.01800713,manual,"Ohio State University Medical Center, Ohio, transplant center",,,,,
PAUP-TX1,transplant_center,Hospital of the University of Pennsylvania,Pennsylvania,Region  2,523,39.9499,-75.1941,facility_or_city,"Hospital of the University of Pennsylvania, Pennsylvania, transplant center",,,,,
NYUC-TX1,transplant_center,NYU Langone Health,New York,Region  9,503,40.7434,-73.9722,facility_or_city,"NYU Langone Health, New York, transplant center",,,,,
DCGU-TX1,transplant_center,Medstar Georgetown Transplant Institute,District of Columbia,Region  2,502,39.01895865,-77.00368746,manual,"Medstar Georgetown Transplant Institute, District of Columbia, transplant center",,,,,
NYMS-TX1,transplant_center,Mount Sinai Medical Center,New York,Region  9,496,40.7332,-73.982,facility_or_city,"Mount Sinai Medical Center, New York, transplant center",,,,,
MAMG-TX1,transplant_center,Massachusetts General Hospital,Massachusetts,Region  1,495,42.3629,-71.0688,facility_or_city,"Massachusetts General Hospital, Massachusetts, transplant center",,,,,
VAMC-TX1,transplant_center,"VCU Health System Authority, VCUMC",Virginia,Region  11,490,38.9746776,-77.01194674,manual,"VCU Health System Authority, VCUMC, Virginia, transplant center",,,,,
FLSL-TX1,transplant_center,Mayo Clinic Hospital Florida,Florida,Region  3,470,30.2605,-81.4448,facility_or_city,"Mayo Clinic Hospital Florida, Florida, transplant center",,,,,
UTLD-TX1,transplant_center,Intermountain Medical Center,Utah,Region  5,438,40.6596,-111.8912,facility_or_city,"Intermountain Medical Center, Utah, transplant center",,,,,
WIUW-TX1,transplant_center,University of Wisconsin Hospital and Clinics,Wisconsin,Region  7,438,43.07700626,-89.43127545,manual,"University of Wisconsin Hospital and Clinics, Wisconsin, transplant center",,,,,
