id,type,name,state,total_flow,lat,lon,coordinate_status,geocode_priority,why_still_needs_work,geocode_query
NYRT-OP1,source_dsa,LiveOnNY,New York,1234,,,missing,1,blank_lat_lon,"LiveOnNY, New York (organ procurement)"
PATF-OP1,source_dsa,Center for Organ Recovery and Education,West Virginia,1093,,,missing,1,blank_lat_lon,"Center for Organ Recovery and Education, West Virginia (organ procurement)"
KYDA-OP1,source_dsa,Network for Hope,Ohio,798,,,missing,1,blank_lat_lon,"Network for Hope, Ohio (organ procurement)"
FLUF-IO1,source_dsa,LifeQuest Organ Recovery Services,Florida,772,,,missing,1,blank_lat_lon,"LifeQuest Organ Recovery Services, Florida (organ procurement)"
MDPC-OP1,source_dsa,Infinite Legacy,Virginia,687,,,missing,1,blank_lat_lon,"Infinite Legacy, Virginia (organ procurement)"
NVLV-OP1,source_dsa,Nevada Donor Network,Nevada,679,,,missing,1,blank_lat_lon,"Nevada Donor Network, Nevada (organ procurement)"
NJTO-OP1,source_dsa,New Jersey Organ and Tissue Sharing Network OPO,New Jersey,657,,,missing,1,blank_lat_lon,"New Jersey Organ and Tissue Sharing Network OPO, New Jersey (organ procurement)"
ORUO-IO1,source_dsa,Cascade Life Alliance,Oregon,623,,,missing,1,blank_lat_lon,"Cascade Life Alliance, Oregon (organ procurement)"
OKOP-OP1,source_dsa,LifeShare Transplant Donor Services of Oklahoma,Oklahoma,618,,,missing,1,blank_lat_lon,"LifeShare Transplant Donor Services of Oklahoma, Oklahoma (organ procurement)"
NCCM-IO1,source_dsa,LifeShare Carolinas,North Carolina,590,,,missing,1,blank_lat_lon,"LifeShare Carolinas, North Carolina (organ procurement)"
FLFH-IO1,source_dsa,OurLegacy,Florida,556,,,missing,1,blank_lat_lon,"OurLegacy, Florida (organ procurement)"
OHOU-TX1,transplant_center,Ohio State University Medical Center,Ohio,530,,,missing,1,blank_lat_lon,"Ohio State University Medical Center, Ohio (transplant center hospital)"
WIUW-IO1,source_dsa,UW Health Organ and Tissue Donation,Wisconsin,530,,,missing,1,blank_lat_lon,"UW Health Organ and Tissue Donation, Wisconsin (organ procurement)"
DCGU-TX1,transplant_center,Medstar Georgetown Transplant Institute,District of Columbia,502,,,missing,1,blank_lat_lon,"Medstar Georgetown Transplant Institute, District of Columbia (transplant center hospital)"
VAMC-TX1,transplant_center,"VCU Health System Authority, VCUMC",Virginia,490,,,missing,1,blank_lat_lon,"VCU Health System Authority, VCUMC, Virginia (transplant center hospital)"
CASD-IO1,source_dsa,Lifesharing - A Donate Life Organization,California,463,,,missing,1,blank_lat_lon,"Lifesharing - A Donate Life Organization, California (organ procurement)"
WIUW-TX1,transplant_center,University of Wisconsin Hospital and Clinics,Wisconsin,438,,,missing,1,blank_lat_lon,"University of Wisconsin Hospital and Clinics, Wisconsin (transplant center hospital)"
NYCP-TX1,transplant_center,NY Presbyterian Hospital/Columbia Univ. Medical Center,New York,424,,,missing,1,blank_lat_lon,"NY Presbyterian Hospital/Columbia Univ. Medical Center, New York (transplant center hospital)"
OHLC-OP1,source_dsa,Life Connection of Ohio,Ohio,409,,,missing,1,blank_lat_lon,"Life Connection of Ohio, Ohio (organ procurement)"
AROR-OP1,source_dsa,Southern Legacy of Life,Arkansas,400,,,missing,1,blank_lat_lon,"Southern Legacy of Life, Arkansas (organ procurement)"
OHLP-OP1,source_dsa,Lifeline of Ohio,Ohio,382,,,missing,1,blank_lat_lon,"Lifeline of Ohio, Ohio (organ procurement)"
CAGS-OP1,source_dsa,Sierra Donor Services,California,377,,,missing,1,blank_lat_lon,"Sierra Donor Services, California (organ procurement)"
NYNS-TX1,transplant_center,North Shore University Hospital/Northwell Health,New York,373,,,missing,1,blank_lat_lon,"North Shore University Hospital/Northwell Health, New York (transplant center hospital)"
NYAP-OP1,source_dsa,Center for Donation and Transplant,New York,346,,,missing,1,blank_lat_lon,"Center for Donation and Transplant, New York (organ procurement)"
VAUV-TX1,transplant_center,University of Virginia Health Sciences Center,Virginia,333,,,missing,1,blank_lat_lon,"University of Virginia Health Sciences Center, Virginia (transplant center hospital)"
WIDN-OP1,source_dsa,"Versiti Blood Health, Inc.",Wisconsin,317,,,missing,1,blank_lat_lon,"Versiti Blood Health, Inc., Wisconsin (organ procurement)"
MSOP-OP1,source_dsa,Mississippi Organ Recovery Agency,Mississippi,314,,,missing,1,blank_lat_lon,"Mississippi Organ Recovery Agency, Mississippi (organ procurement)"
TXBC-TX1,transplant_center,"University Hospital, University of Texas Health Science Center",Texas,288,,,missing,1,blank_lat_lon,"University Hospital, University of Texas Health Science Center, Texas (transplant center hospital)"
NYNY-TX1,transplant_center,New York-Presbyterian Hospital/Weill Cornell Medical Center,New York,251,,,missing,1,blank_lat_lon,"New York-Presbyterian Hospital/Weill Cornell Medical Center, New York (transplant center hospital)"
