id,type,name,state,region,total_inflow,total_outflow,total_flow,edge_count,lat,lon,coordinate_status,geocode_priority,geocode_query,notes
MAOB-OP1,source_dsa,New England Organ Bank,Rhode Island,Region  1,0,1580,1580,109,42.39484928,-71.26684871,manual,1,"New England Organ Bank, Rhode Island (organ procurement)",
ILIP-OP1,source_dsa,Gift of Hope Organ & Tissue Donor Network,Illinois,Region  7,0,1386,1386,129,41.96585537,-88.02764348,manual,1,"Gift of Hope Organ & Tissue Donor Network, Illinois (organ procurement)",
INOP-OP1,source_dsa,Indiana Donor Network,Indiana,Region  10,0,1247,1247,124,39.82306352,-86.2224039,manual,1,"Indiana Donor Network, Indiana (organ procurement)",
NYRT-OP1,source_dsa,LiveOnNY,New York,Region  9,0,1234,1234,103,40.7429828,-73.93605254,manual,1,"LiveOnNY, New York (organ procurement)",
PATF-OP1,source_dsa,Center for Organ Recovery and Education,West Virginia,Region  2,0,1093,1093,123,40.50468733,-79.86555062,manual,1,"Center for Organ Recovery and Education, West Virginia (organ procurement)",
MIOP-OP1,source_dsa,Gift of Life Michigan,Michigan,Region  10,0,1077,1077,125,43.3266,-84.5361,state_centroid,1,"Gift of Life Michigan, Michigan (organ procurement)",
MWOB-OP1,source_dsa,Midwest Transplant Network,Missouri,Region  8,0,980,980,123,38.4561,-92.2884,state_centroid,1,"Midwest Transplant Network, Missouri (organ procurement)",
FLWC-OP1,source_dsa,LifeLink of Florida,Florida,Region  3,0,909,909,80,27.7663,-81.6868,state_centroid,1,"LifeLink of Florida, Florida (organ procurement)",
LAOP-OP1,source_dsa,Louisiana Organ Procurement Agency,Louisiana,Region  3,0,894,894,92,31.1695,-91.8678,state_centroid,1,"Louisiana Organ Procurement Agency, Louisiana (organ procurement)",
TNVU-TX1,transplant_center,Vanderbilt University Medical Center,Tennessee,Region  11,893,0,893,53,36.1409,-86.8016,facility_or_city,1,"Vanderbilt University Medical Center, Tennessee (transplant center hospital)",nominatim_batch;review
NCNC-OP1,source_dsa,HonorBridge,North Carolina,Region  11,0,822,822,102,35.6301,-79.8064,state_centroid,1,"HonorBridge, North Carolina (organ procurement)",
OHCC-TX1,transplant_center,The Cleveland Clinic Foundation,Ohio,Region  11,803,0,803,50,40.3888,-82.7649,state_centroid,1,"The Cleveland Clinic Foundation, Ohio (transplant center hospital)",
KYDA-OP1,source_dsa,Network for Hope,Ohio,Region  11,0,798,798,110,,,missing,1,"Network for Hope, Ohio (organ procurement)",
FLUF-IO1,source_dsa,LifeQuest Organ Recovery Services,Florida,Region  3,0,772,772,81,,,missing,1,"LifeQuest Organ Recovery Services, Florida (organ procurement)",
FLTG-TX1,transplant_center,Tampa General Hospital,Florida,Region  3,760,0,760,47,27.9375,-82.4589,facility_or_city,1,"Tampa General Hospital, Florida (transplant center hospital)",nominatim_batch;review
MOMA-OP1,source_dsa,Mid-America Transplant Services,Missouri,Region  8,0,719,719,96,38.4561,-92.2884,state_centroid,1,"Mid-America Transplant Services, Missouri (organ procurement)",
SCOP-OP1,source_dsa,We Are Sharing Hope SC,South Carolina,Region  11,0,713,713,93,33.8569,-80.945,state_centroid,1,"We Are Sharing Hope SC, South Carolina (organ procurement)",
TXSA-OP1,source_dsa,Texas Organ Sharing Alliance,Texas,Region  4,0,701,701,94,31.0545,-97.5635,state_centroid,1,"Texas Organ Sharing Alliance, Texas (organ procurement)",
VATB-OP1,source_dsa,LifeNet Health,Virginia,Region  11,0,690,690,102,36.7795,-76.093,facility_or_city,1,"LifeNet Health, Virginia (organ procurement)",nominatim_batch;review
MDPC-OP1,source_dsa,Infinite Legacy,Virginia,Region  11,0,687,687,100,,,missing,1,"Infinite Legacy, Virginia (organ procurement)",
NVLV-OP1,source_dsa,Nevada Donor Network,Nevada,Region  5,0,679,679,75,,,missing,1,"Nevada Donor Network, Nevada (organ procurement)",
NJTO-OP1,source_dsa,New Jersey Organ and Tissue Sharing Network OPO,New Jersey,Region  2,0,657,657,96,,,missing,1,"New Jersey Organ and Tissue Sharing Network OPO, New Jersey (organ procurement)",
FLMP-OP1,source_dsa,South Florida Donor Network,Florida,Region  3,0,635,635,62,27.7663,-81.6868,state_centroid,1,"South Florida Donor Network, Florida (organ procurement)",
