id,name,state,reason
MAOB-OP1,New England Organ Bank,Rhode Island,no OSM match
ILIP-OP1,Gift of Hope Organ & Tissue Donor Network,Illinois,no OSM match
INOP-OP1,Indiana Donor Network,Indiana,no OSM match
NYRT-OP1,LiveOnNY,New York,no OSM match
PATF-OP1,Center for Organ Recovery and Education,West Virginia,no OSM match
MIOP-OP1,Gift of Life Michigan,Michigan,no OSM match
MWOB-OP1,Midwest Transplant Network,Missouri,no OSM match
FLWC-OP1,LifeLink of Florida,Florida,no OSM match
LAOP-OP1,Louisiana Organ Procurement Agency,Louisiana,no OSM match
NCNC-OP1,HonorBridge,North Carolina,no OSM match
KYDA-OP1,Network for Hope,Ohio,no OSM match
FLUF-IO1,LifeQuest Organ Recovery Services,Florida,no OSM match
MOMA-OP1,Mid-America Transplant Services,Missouri,no OSM match
SCOP-OP1,We Are Sharing Hope SC,South Carolina,no OSM match
TXSA-OP1,Texas Organ Sharing Alliance,Texas,no OSM match
MDPC-OP1,Infinite Legacy,Virginia,no OSM match
NVLV-OP1,Nevada Donor Network,Nevada,no OSM match
NJTO-OP1,New Jersey Organ and Tissue Sharing Network OPO,New Jersey,no OSM match
FLMP-OP1,South Florida Donor Network,Florida,no OSM match
ORUO-IO1,Cascade Life Alliance,Oregon,no OSM match
OKOP-OP1,LifeShare Transplant Donor Services of Oklahoma,Oklahoma,no OSM match
NCCM-IO1,LifeShare Carolinas,North Carolina,no OSM match
ALOB-OP1,Legacy of Hope,Alabama,no OSM match
OHLB-OP1,Lifebanc,Ohio,no OSM match
FLFH-IO1,OurLegacy,Florida,no OSM match
WIUW-IO1,UW Health Organ and Tissue Donation,Wisconsin,no OSM match
CASD-IO1,Lifesharing - A Donate Life Organization,California,no OSM match
OHLC-OP1,Life Connection of Ohio,Ohio,no OSM match
AROR-OP1,Southern Legacy of Life,Arkansas,no OSM match
OHLP-OP1,Lifeline of Ohio,Ohio,no OSM match
CAGS-OP1,Sierra Donor Services,California,no OSM match
NYAP-OP1,Center for Donation and Transplant,New York,no OSM match
NEOR-OP1,Live On Nebraska,Nebraska,no OSM match
WIDN-OP1,"Versiti Blood Health, Inc.",Wisconsin,no OSM match
MSOP-OP1,Mississippi Organ Recovery Agency,Mississippi,no OSM match
TNMS-OP1,Mid-South Transplant Foundation,Tennessee,no OSM match
PRLL-OP1,LifeLink of Puerto Rico,Puerto Rico,no OSM match
NYWN-OP1,Upstate New York Transplant Services Inc,New York,no OSM match
NYFL-IO1,Finger Lakes Donor Recovery Network,New York,no OSM match
HIOP-OP1,Legacy of Life Hawaii,Hawaii,no OSM match
