id,type,name,state,total_flow,lat,lon,coordinate_status,geocode_priority,why_still_needs_work,geocode_query
TNVU-TX1,transplant_center,Vanderbilt University Medical Center,Tennessee,893,36.1409,-86.8016,facility_or_city,1,batch_hit_needs_spot_check,"Vanderbilt University Medical Center, Tennessee (transplant center hospital)"
FLTG-TX1,transplant_center,Tampa General Hospital,Florida,760,27.9375,-82.4589,facility_or_city,1,batch_hit_needs_spot_check,"Tampa General Hospital, Florida (transplant center hospital)"
VATB-OP1,source_dsa,LifeNet Health,Virginia,690,36.7795,-76.093,facility_or_city,1,batch_hit_needs_spot_check,"LifeNet Health, Virginia (organ procurement)"
SCMU-TX1,transplant_center,Medical University of South Carolina,South Carolina,612,32.7902,-79.9576,facility_or_city,1,batch_hit_needs_spot_check,"Medical University of South Carolina, South Carolina (transplant center hospital)"
NCDU-TX1,transplant_center,Duke University Hospital,North Carolina,611,36.007,-78.9373,facility_or_city,1,batch_hit_needs_spot_check,"Duke University Hospital, North Carolina (transplant center hospital)"
CACS-TX1,transplant_center,Cedars-Sinai Medical Center,California,597,34.0752,-118.3811,facility_or_city,1,batch_hit_needs_spot_check,"Cedars-Sinai Medical Center, California (transplant center hospital)"
ILNM-TX1,transplant_center,Northwestern Memorial Hospital,Illinois,592,41.8946,-87.6215,facility_or_city,1,batch_hit_needs_spot_check,"Northwestern Memorial Hospital, Illinois (transplant center hospital)"
GAPH-TX1,transplant_center,Piedmont Hospital,Georgia,565,33.4713,-81.9824,facility_or_city,1,batch_hit_needs_spot_check,"Piedmont Hospital, Georgia (transplant center hospital)"
MOBH-TX1,transplant_center,Barnes-Jewish Hospital,Missouri,551,38.6372,-90.2644,facility_or_city,1,batch_hit_needs_spot_check,"Barnes-Jewish Hospital, Missouri (transplant center hospital)"
PAUP-TX1,transplant_center,Hospital of the University of Pennsylvania,Pennsylvania,523,39.9499,-75.1941,facility_or_city,1,batch_hit_needs_spot_check,"Hospital of the University of Pennsylvania, Pennsylvania (transplant center hospital)"
NYUC-TX1,transplant_center,NYU Langone Health,New York,503,40.7434,-73.9722,facility_or_city,1,batch_hit_needs_spot_check,"NYU Langone Health, New York (transplant center hospital)"
NYMS-TX1,transplant_center,Mount Sinai Medical Center,New York,496,40.7332,-73.982,facility_or_city,1,batch_hit_needs_spot_check,"Mount Sinai Medical Center, New York (transplant center hospital)"
MAMG-TX1,transplant_center,Massachusetts General Hospital,Massachusetts,495,42.3629,-71.0688,facility_or_city,1,batch_hit_needs_spot_check,"Massachusetts General Hospital, Massachusetts (transplant center hospital)"
FLSL-TX1,transplant_center,Mayo Clinic Hospital Florida,Florida,470,30.2605,-81.4448,facility_or_city,1,batch_hit_needs_spot_check,"Mayo Clinic Hospital Florida, Florida (transplant center hospital)"
UTLD-TX1,transplant_center,Intermountain Medical Center,Utah,438,40.6596,-111.8912,facility_or_city,1,batch_hit_needs_spot_check,"Intermountain Medical Center, Utah (transplant center hospital)"
INIM-TX1,transplant_center,Indiana University Health,Indiana,429,39.7807,-86.159,facility_or_city,1,batch_hit_needs_spot_check,"Indiana University Health, Indiana (transplant center hospital)"
MIUM-TX1,transplant_center,University of Michigan Medical Center,Michigan,425,42.2836,-83.7312,facility_or_city,1,batch_hit_needs_spot_check,"University of Michigan Medical Center, Michigan (transplant center hospital)"
MNMC-TX1,transplant_center,Mayo Clinic Hospital Minnesota,Minnesota,425,44.0193,-92.481,facility_or_city,1,batch_hit_needs_spot_check,"Mayo Clinic Hospital Minnesota, Minnesota (transplant center hospital)"
CASU-TX1,transplant_center,Stanford Health Care,California,419,37.2535,-121.9516,facility_or_city,1,batch_hit_needs_spot_check,"Stanford Health Care, California (transplant center hospital)"
FLUF-TX1,transplant_center,UF Health Shands Hospital,Florida,406,30.3485,-81.6649,facility_or_city,1,batch_hit_needs_spot_check,"UF Health Shands Hospital, Florida (transplant center hospital)"
ALUA-TX1,transplant_center,University of Alabama Hospital,Alabama,401,30.6983,-88.0775,facility_or_city,1,batch_hit_needs_spot_check,"University of Alabama Hospital, Alabama (transplant center hospital)"
TXTX-TX1,transplant_center,Baylor University Medical Center,Texas,400,32.7899,-96.7779,facility_or_city,1,batch_hit_needs_spot_check,"Baylor University Medical Center, Texas (transplant center hospital)"
